Dataset,Attack,Resolution,AddressSize,TrainTime_s,InferTime_Adv_s,Acc_Drop_pp,Clean_Acc,Clean_Precision,Clean_Recall,Clean_F1,Clean_MCC,Clean_FAR,Clean_ASR,Clean_AUC,Clean_PR_AUC,Clean_Miss_Attack,Adv_Acc,Adv_Precision,Adv_Recall,Adv_F1,Adv_MCC,Adv_FAR,Adv_ASR,Adv_AUC,Adv_PR_AUC,Adv_Miss_Attack
CICIDS,FGSM,1,5,3.6372114000841975,0.991702500032261,5.223633395550142,0.9284182715099246,0.9861251511367466,0.584350297748388,0.7338446788111218,0.7274248155576309,0.0016705965461609692,0.4156497022516121,0.7913398506011134,0.8203343522386046,0.4156497022516121,0.8761819375544232,0.9573568494805509,0.27924922773347116,0.43237885662844516,0.47905591479314474,0.002527373917692095,0.7207507722665288,0.6383609269078896,0.6791617892590974,0.7207507722665288
CICIDS,RANDOM_LINF,1,5,3.6372114000841975,0.9388656001538038,11.205968053222149,0.9284182715099246,0.9861251511367466,0.584350297748388,0.7338446788111218,0.7274248155576309,0.0016705965461609692,0.4156497022516121,0.7913398506011134,0.8203343522386046,0.4156497022516121,0.8163585909777031,0.2294664922227068,0.03708053888347291,0.06384420154301951,0.027089013705809413,0.02529999140836062,0.962919461116527,0.5058902737375562,0.2145805049273051,0.962919461116527
CICIDS,RANDOM_L2,1,5,3.6372114000841975,1.0446391999721527,11.381709051454825,0.9284182715099246,0.9861251511367466,0.584350297748388,0.7338446788111218,0.7274248155576309,0.0016705965461609692,0.4156497022516121,0.7913398506011134,0.8203343522386046,0.4156497022516121,0.8146011809953764,0.20557047928743108,0.03415590974758924,0.05857883869668127,0.016641808906593593,0.0268202342653671,0.9658440902524108,0.5036678377411111,0.20141713371429842,0.9658440902524108
CICIDS,FGSM,1,10,3.3388766997959465,1.3356189001351595,12.247719433265036,0.9502986208497057,0.9451705640022524,0.7491513877306523,0.8358220690468546,0.8145682379725627,0.00883029602970798,0.2508486122693478,0.8701605458504722,0.8683421299254546,0.2508486122693478,0.8278214265170554,0.4840685101904124,0.297102385510753,0.36821113003479045,0.28609067883761213,0.06434183269214247,0.702897614489247,0.6163802764093054,0.4499367136419825,0.702897614489247
CICIDS,RANDOM_LINF,1,10,3.3388766997959465,1.1653273997362703,14.515492382242623,0.9502986208497057,0.9451705640022524,0.7491513877306523,0.8358220690468546,0.8145682379725627,0.00883029602970798,0.2508486122693478,0.8701605458504722,0.8683421299254546,0.2508486122693478,0.8051436970272795,0.2628892107168718,0.08528406488213393,0.12878794597327042,0.060414100284951075,0.04858810726184453,0.9147159351178661,0.5183479788101448,0.25132341804986436,0.9147159351178661
CICIDS,RANDOM_L2,1,10,3.3388766997959465,1.1973473001271486,14.878478868434254,0.9502986208497057,0.9451705640022524,0.7491513877306523,0.8358220690468546,0.8145682379725627,0.00883029602970798,0.2508486122693478,0.8701605458504722,0.8683421299254546,0.2508486122693478,0.8015138321653632,0.21402298850574714,0.06561035483151083,0.100432402304947,0.028157567651583323,0.048958025068494455,0.9343896451684892,0.5083261648815082,0.21871466056481284,0.9343896451684892
CICIDS,FGSM,1,15,3.106181300012395,1.6776553997769952,24.440296657152327,0.9515026252055436,0.9335981595530343,0.7674038924582154,0.8423821250370676,0.819509858382904,0.01109037450001432,0.2325961075417846,0.8781567589791006,0.8701409751478462,0.2325961075417846,0.7070996586340204,0.21660819985677898,0.2806704330565311,0.24451288767919452,0.06743173210114388,0.20625423615552776,0.719329566943469,0.5372080984505017,0.3093780633796999,0.719329566943469
CICIDS,RANDOM_LINF,1,15,3.106181300012395,1.3767716998700052,12.249107906163037,0.9515026252055436,0.9335981595530343,0.7674038924582154,0.8423821250370676,0.819509858382904,0.01109037450001432,0.2325961075417846,0.8781567589791006,0.8701409751478462,0.2325961075417846,0.8290115461439133,0.3883881785789143,0.021764408790331105,0.04121899677455233,0.05727049049567975,0.006964001030996725,0.9782355912096689,0.5074002038796671,0.28767654638669016,0.9782355912096689
CICIDS,RANDOM_L2,1,15,3.106181300012395,1.3294009999372065,12.344714182853956,0.9515026252055436,0.9335981595530343,0.7674038924582154,0.8423821250370676,0.819509858382904,0.01109037450001432,0.2325961075417846,0.8781567589791006,0.8701409751478462,0.2325961075417846,0.8280554833770041,0.2872077028885832,0.01226230047334359,0.023520400117151417,0.026917052445179522,0.006183593787290101,0.9877376995266564,0.5030393533430267,0.23313759336480416,0.9877376995266564
CICIDS,FGSM,1,20,3.0526519000995904,1.5977484995964915,8.513520750727466,0.9630309173243731,0.9130137751996721,0.86334112451403,0.8874829455586009,0.8658701705226381,0.016713125161093238,0.13665887548597,0.9233139996764683,0.8997166514055933,0.13665887548597,0.8778957098170984,0.9876737260092654,0.28045901408285273,0.436865937885926,0.4905041400314448,0.0007111968153656697,0.7195409859171472,0.6398739086337435,0.6948229687635068,0.7195409859171472
