Dataset,Attack,Resolution,AddressSize,TrainTime_s,InferTime_Adv_s,Acc_Drop_pp,Clean_Acc,Clean_Precision,Clean_Recall,Clean_F1,Clean_MCC,Clean_FAR,Clean_ASR,Clean_AUC,Clean_PR_AUC,Clean_F1_Macro,Clean_Miss_bots,Clean_Miss_brute force,Clean_Miss_ddos,Clean_Miss_dos,Clean_Miss_port scanning,Clean_Miss_web attacks,Adv_Acc,Adv_Precision,Adv_Recall,Adv_F1,Adv_MCC,Adv_FAR,Adv_ASR,Adv_AUC,Adv_PR_AUC,Adv_F1_Macro,Adv_Miss_bots,Adv_Miss_brute force,Adv_Miss_ddos,Adv_Miss_dos,Adv_Miss_port scanning,Adv_Miss_web attacks
CICIDS,FGSM,1,5,3.7566881000529975,1.3728718000929803,11.269242746716756,0.9284361233043275,0.9320524869435323,0.9284361233043275,0.90845254701428,0.7390033498352303,0.0008639370710146726,0.4187857503611741,0.671832708910341,0.40069721408901027,0.45000749960882974,1.0,0.6978142076502732,0.22993399211029958,0.24769671475392913,0.9964716908319091,1.0,0.8157436958371599,0.7616944718499526,0.8157436958371599,0.7628474416959123,0.14256391890231632,0.01898274989737764,0.7782567331070367,0.510804730291299,0.14723138185327006,0.13219235306457483,0.9640102827763496,1.0,0.7464359645354061,0.9959482825363235,0.32664424720216106,0.9953379953379954
CICIDS,RANDOM_LINF,1,5,3.7566881000529975,0.9746711000334471,10.549815432281196,0.9284361233043275,0.9320524869435323,0.9284361233043275,0.90845254701428,0.7390033498352303,0.0008639370710146726,0.4187857503611741,0.671832708910341,0.40069721408901027,0.45000749960882974,1.0,0.6978142076502732,0.22993399211029958,0.24769671475392913,0.9964716908319091,1.0,0.8229379689815155,0.745511883631342,0.8229379689815155,0.7545800853027811,0.02742608039149638,0.01250083529827308,0.9775660977930208,0.5018350085472556,0.14338592029640648,0.13599876199519845,0.987146529562982,0.9710382513661202,0.983673788227942,0.9712508709902191,0.9827443629748057,0.9836829836829837
CICIDS,RANDOM_L2,1,5,3.7566881000529975,0.9442716999910772,10.636297458499532,0.9284361233043275,0.9320524869435323,0.9284361233043275,0.90845254701428,0.7390033498352303,0.0008639370710146726,0.4187857503611741,0.671832708910341,0.40069721408901027,0.45000749960882974,1.0,0.6978142076502732,0.22993399211029958,0.24769671475392913,0.9964716908319091,1.0,0.8220731487193321,0.7092370446721684,0.8220731487193321,0.7535919995623734,0.01925576722375388,0.01313566198581425,0.9796920330283418,0.5012841912168281,0.14318708176124417,0.134854388017375,0.9845758354755784,0.980327868852459,0.9832050931531461,0.975612273865132,0.9832956612823198,0.9790209790209791
CICIDS,FGSM,1,10,3.424587700050324,1.507611399749294,31.350924623773434,0.9482535986242218,0.9454174261697467,0.9482535986242218,0.9433908138090529,0.8161619864350432,0.007212203946426355,0.2708746872761014,0.7247076882690663,0.4714713118669755,0.5465675434163441,1.0,0.6978142076502732,0.15576299652384487,0.1937082247283801,0.5222448867081978,1.0,0.6347443523864874,0.7391136678454954,0.6347443523864874,0.6814284935939346,0.10069111024651972,0.23730107968268213,0.49048027343520595,0.5368116350327938,0.14869006112630426,0.11905149642904718,0.4652956298200514,0.04316939890710383,0.39335234152247783,0.6982889881029188,0.21853464909862727,0.9463869463869464
CICIDS,RANDOM_LINF,1,10,3.424587700050324,1.219704800285399,34.90799383518034,0.9482535986242218,0.9454174261697467,0.9482535986242218,0.9433908138090529,0.8161619864350432,0.007212203946426355,0.2708746872761014,0.7247076882690663,0.4714713118669755,0.5465675434163441,1.0,0.6978142076502732,0.15576299652384487,0.1937082247283801,0.5222448867081978,1.0,0.5991736602724184,0.7168998050724408,0.5991736602724184,0.6500212882673796,0.022897650386969993,0.28871726824052774,0.6826953570044281,0.5073250664702251,0.14487155534048599,0.1326150420372125,0.6966580976863753,0.6699453551912569,0.7015584111236964,0.6890758471186353,0.6450741496223606,0.6130536130536131
CICIDS,RANDOM_L2,1,10,3.424587700050324,1.1770452000200748,38.38314314560519,0.9482535986242218,0.9454174261697467,0.9482535986242218,0.9433908138090529,0.8161619864350432,0.007212203946426355,0.2708746872761014,0.7247076882690663,0.4714713118669755,0.5465675434163441,1.0,0.6978142076502732,0.15576299652384487,0.1937082247283801,0.5222448867081978,1.0,0.5644221671681698,0.7088454304756522,0.5644221671681698,0.626548398486874,0.011181062744388034,0.32742260364858283,0.6559156203385053,0.5012816349137121,0.14362306032339575,0.12215599910111148,0.7095115681233933,0.6475409836065574,0.6588681013943678,0.6686882242122377,0.6250068912288439,0.62004662004662
CICIDS,FGSM,1,15,3.12896170001477,1.6272997001651675,80.62564588783916,0.9527522508137443,0.9492097594977215,0.9527522508137443,0.9482920374043948,0.8334925461195178,0.009376819756952069,0.23298370899352824,0.7330071325815214,0.47981908251325933,0.5520675997147109,1.0,0.6978142076502732,0.15408350583915947,0.11156416939791995,0.5222448867081978,1.0,0.1464957919353527,0.8312354173087282,0.1464957919353527,0.2467891172365056,0.06373031639892572,0.8251291132473533,0.03333372484995126,0.5192534452419036,0.14633900039277345,0.04418548982163228,0.028277634961439587,0.022404371584699455,0.00023434753739796118,0.007251800046452811,0.13738353823253763,0.016317016317016316
CICIDS,RANDOM_LINF,1,15,3.12896170001477,1.396319500170648,86.23507639576238,0.9527522508137443,0.9492097594977215,0.9527522508137443,0.9482920374043948,0.8334925461195178,0.009376819756952069,0.23298370899352824,0.7330071325815214,0.47981908251325933,0.5520675997147109,1.0,0.6978142076502732,0.15408350583915947,0.11156416939791995,0.5222448867081978,1.0,0.09040148685612048,0.7088998924422425,0.09040148685612048,0.15907046973389102,-0.0008043185180808417,0.8945591057058032,0.11716134791341218,0.5011616098867337,0.1433236357145304,0.03475232286036497,0.10539845758354756,0.10327868852459017,0.11194000703042613,0.127874267723038,0.10419538012018303,0.07925407925407925
CICIDS,RANDOM_L2,1,15,3.12896170001477,1.3657873999327421,87.73641230504352,0.9527522508137443,0.9492097594977215,0.9527522508137443,0.9482920374043948,0.8334925461195178,0.009376819756952069,0.23298370899352824,0.7330071325815214,0.47981908251325933,0.5520675997147109,1.0,0.6978142076502732,0.15408350583915947,0.11156416939791995,0.5222448867081978,1.0,0.07538812776330901,0.6995181626386916,0.07538812776330901,0.13486670156169983,-0.003035003208299291,0.9115061143833589,0.0981218947838241,0.49997850524134035,0.1428964459997664,0.02740540518813414,0.09254498714652956,0.0912568306010929,0.08862242705932899,0.1097576711657075,0.08809746954076851,0.07226107226107226
CICIDS,FGSM,1,20,2.9807474999688566,1.4766884995624423,87.2318015832558,0.9632768753805904,0.9643355550031125,0.9632768753805904,0.9620816639150968,0.8748431006479161,0.01600192834572757,0.13706996793478898,0.7733044475348034,0.5316749915015352,0.597832428457375,1.0,0.6961748633879782,0.14959184470569856,0.10681565975896153,0.08964110480180826,0.9603729603729604,0.09095885954803223,0.9617393058838024,0.09095885954803223,0.16315617143142797,0.07375006545225822,0.8935161761476998,0.0007517119064118676,0.5169740416941953,0.14865566822480533,0.038967914966275066,0.0,0.000546448087431694,0.0,0.0014193914681669205,0.00044103864601135676,0.0
