Dataset,Attack,Resolution,AddressSize,TrainTime_s,InferTime_Adv_s,Acc_Drop_pp,Clean_Acc,Clean_Precision,Clean_Recall,Clean_F1,Clean_MCC,Clean_FAR,Clean_ASR,Clean_AUC,Clean_PR_AUC,Clean_Miss_Attack,Adv_Acc,Adv_Precision,Adv_Recall,Adv_F1,Adv_MCC,Adv_FAR,Adv_ASR,Adv_AUC,Adv_PR_AUC,Adv_Miss_Attack
Bot-IoT,FGSM,1,5,0.18468642234802246,0.23270249366760254,0.01362942501998976,0.99997274114996,0.9999727381774562,1.0,0.9999863689029239,0.894414999059142,0.2,0.0,0.9,0.9999863690887281,0.0,0.9998364468997601,0.9998637020344743,0.9999727374342291,0.999918216761929,-6.0957626672876073e-05,1.0,2.7262565770939922e-05,0.49998636871711455,0.9999318491593717,2.7262565770939922e-05
Bot-IoT,RANDOM_LINF,1,5,0.18468642234802246,0.15746235847473145,0.05996947008796161,0.99997274114996,0.9999727381774562,1.0,0.9999863689029239,0.894414999059142,0.2,0.0,0.9,0.9999863690887281,0.0,0.9993730464490804,0.9998909051238227,0.9994820112503522,0.9996864163754278,0.09976140585016155,0.8,0.0005179887496478585,0.5997410056251761,0.9999454172624672,0.0005179887496478585
Bot-IoT,RANDOM_L2,1,5,0.18468642234802246,0.16941118240356445,0.5115577524169579,0.99997274114996,0.9999727381774562,1.0,0.9999863689029239,0.894414999059142,0.2,0.0,0.9,0.9999863690887281,0.0,0.9948571636257905,0.9998812796230171,0.9949746003762234,0.9974219056034836,0.021145641773821874,0.8666666666666667,0.005025399623776593,0.5641539668547784,0.9999402973449716,0.005025399623776593
Bot-IoT,FGSM,1,10,0.16198444366455078,0.14727997779846191,0.014538053354662406,0.99997274114996,0.9999727381774562,1.0,0.9999863689029239,0.894414999059142,0.2,0.0,0.9,0.9999863690887281,0.0,0.9998273606164134,0.9998637007959873,0.9999636499123055,0.9999136728564743,-7.038812413015508e-05,1.0,3.635008769458656e-05,0.49998182495615273,0.9999318479208397,3.635008769458656e-05
Bot-IoT,RANDOM_LINF,1,10,0.16198444366455078,0.1404116153717041,0.3570909355237406,0.99997274114996,0.9999727381774562,1.0,0.9999863689029239,0.894414999059142,0.2,0.0,0.9,0.9999863690887281,0.0,0.9964018317947226,0.9998723477975436,0.996528566625167,0.9981976569540403,0.01252731409371582,0.9333333333333333,0.003471433374833017,0.5315976166459168,0.9999359373305673,0.003471433374833017
Bot-IoT,RANDOM_L2,1,10,0.16198444366455078,0.20080876350402832,1.3638511303336487,0.99997274114996,0.9999727381774562,1.0,0.9999863689029239,0.894414999059142,0.2,0.0,0.9,0.9999863690887281,0.0,0.9863342298466236,0.9998710449960853,0.9864595923337665,0.9931200424508019,0.005364736417149631,0.9333333333333333,0.013540407666233495,0.5265631295002166,0.9999345997581875,0.013540407666233495
Bot-IoT,FGSM,1,15,0.2301955223083496,0.15723800659179688,0.017263938358647035,0.9999636548666133,0.9999636512335862,1.0,0.9999818252864789,0.8563332748242921,0.26666666666666666,0.0,0.8666666666666667,0.9999818256167932,0.0,0.9997910154830268,0.999881865435644,0.9999091247807635,0.9998954949224164,0.14896756631094715,0.8666666666666667,9.087521923646641e-05,0.5666212290570485,0.999940926524937,9.087521923646641e-05
Bot-IoT,RANDOM_LINF,1,15,0.2301955223083496,0.1544628143310547,0.2435123936904815,0.9999636548666133,0.9999636512335862,1.0,0.9999818252864789,0.8563332748242921,0.26666666666666666,0.0,0.8666666666666667,0.9999818256167932,0.0,0.9975285309297085,0.9998815975226558,0.9976463318217755,0.998762714023181,0.03143512809298277,0.8666666666666667,0.00235366817822448,0.5654898325775544,0.9999406383656081,0.00235366817822448
Bot-IoT,RANDOM_L2,1,15,0.2301955223083496,0.1302497386932373,1.4229119720869376,0.9999636548666133,0.9999636512335862,1.0,0.9999818252864789,0.8563332748242921,0.26666666666666666,0.0,0.8666666666666667,0.9999818256167932,0.0,0.9857345351457439,0.9998893958246924,0.9858416408429586,0.9928158289709704,0.018346769782858326,0.8,0.014158359157041467,0.5929208204214793,0.9999437330608736,0.014158359157041467
Bot-IoT,FGSM,1,20,0.27721285820007324,0.2664682865142822,0.01362942501998976,0.9999636548666133,0.9999636512335862,1.0,0.9999818252864789,0.8563332748242921,0.26666666666666666,0.0,0.8666666666666667,0.9999818256167932,0.0,0.9998273606164134,0.9998818697295726,0.9999454748684581,0.9999136712875246,0.18249371986124,0.8666666666666667,5.4525131541879844e-05,0.5666394041008957,0.9999409311490554,5.4525131541879844e-05
Bot-IoT,RANDOM_LINF,1,20,0.27721285820007324,0.1500682830810547,0.22988296867049174,0.9999636548666133,0.9999636512335862,1.0,0.9999818252864789,0.8563332748242921,0.26666666666666666,0.0,0.8666666666666667,0.9999818256167932,0.0,0.9976648251799084,0.9998725093796671,0.9977917321725539,0.9988310371020637,0.015998622580735835,0.9333333333333333,0.0022082678274461336,0.5322291994196102,0.9999361042027297,0.0022082678274461336
Bot-IoT,RANDOM_L2,1,20,0.27721285820007324,0.1772150993347168,1.7309369775386996,0.9999636548666133,0.9999636512335862,1.0,0.9999818252864789,0.8563332748242921,0.26666666666666666,0.0,0.8666666666666667,0.9999818256167932,0.0,0.9826542850912263,0.9998705621301776,0.9827791459546896,0.9912511858332455,0.004436085485910065,0.9333333333333333,0.017220854045310385,0.5247229063106781,0.9999341075133937,0.017220854045310385
Bot-IoT,FGSM,2,5,0.27460598945617676,0.197357177734375,0.006360398342653006,0.99991822344988,0.9999182189913676,1.0,0.9999591078235821,0.6324296700792484,0.6,0.0,0.7,0.9999591094956838,0.0,0.9998546194664535,0.9998727885655093,0.9999818249561527,0.9999273037883813,0.1490224326202171,0.9333333333333333,1.817504384729328e-05,0.5333242458114097,0.9999363930441776,1.817504384729328e-05
