Dataset,Attack,Resolution,AddressSize,TrainTime_s,InferTime_Adv_s,Acc_Drop_pp,Clean_Acc,Clean_Precision,Clean_Recall,Clean_F1,Clean_MCC,Clean_FAR,Clean_ASR,Clean_AUC,Clean_PR_AUC,Clean_Miss_Attack,Adv_Acc,Adv_Precision,Adv_Recall,Adv_F1,Adv_MCC,Adv_FAR,Adv_ASR,Adv_AUC,Adv_PR_AUC,Adv_Miss_Attack
CICIDS,FGSM,1,5,3.648376799887046,1.1976308997254819,0.10433382062120522,0.8461512523033774,0.7337982965066041,0.1396422321145421,0.2346335639079938,0.2747697700842623,0.010293261290846085,0.8603577678854579,0.564674485411848,0.5093671498666863,0.8603577678854579,0.8451079140971653,0.7956718671363865,0.11141779912848401,0.1954647077610987,0.2603755621140259,0.005813675980640172,0.888582200871516,0.5528020615739219,0.5285749332413312,0.888582200871516
CICIDS,RANDOM_LINF,1,5,3.648376799887046,1.0666096997447312,1.3868860718316611,0.8461512523033774,0.7337982965066041,0.1396422321145421,0.2346335639079938,0.2747697700842623,0.010293261290846085,0.8603577678854579,0.564674485411848,0.5093671498666863,0.8603577678854579,0.8322823915850608,0.6862244897959183,0.012638156426549524,0.024819218748197956,0.07713215314921545,0.0011741907153017097,0.9873618435734505,0.5057319828556238,0.4328021782716918,0.9873618435734505
CICIDS,RANDOM_L2,1,5,3.648376799887046,1.0370838001836091,1.8460738945276334,0.8461512523033774,0.7337982965066041,0.1396422321145421,0.2346335639079938,0.2747697700842623,0.010293261290846085,0.8603577678854579,0.564674485411848,0.5093671498666863,0.8603577678854579,0.8276905133581011,0.3651238896680692,0.027519703073796968,0.05118179037965835,0.05947788402279023,0.009722871898656841,0.9724802969262031,0.5088984155875701,0.27843608355870025,0.9724802969262031
CICIDS,FGSM,1,10,3.0839380000252277,1.1421449000481516,0.2441728767770046,0.8485334750898045,0.7926251917050077,0.13961874111746672,0.2374171127266917,0.29152279756771576,0.007422221797943734,0.8603812588825333,0.5660982596597615,0.5387708355000618,0.8603812588825333,0.8460917463220344,0.830154007700385,0.11142954462702169,0.19648534178342497,0.26881339964988676,0.0046323255658549155,0.8885704553729783,0.5533986095305834,0.5458208845062436,0.8885704553729783
CICIDS,RANDOM_LINF,1,10,3.0839380000252277,1.0606998002622277,1.6475222701135217,0.8485334750898045,0.7926251917050077,0.13961874111746672,0.2374171127266917,0.29152279756771576,0.007422221797943734,0.8603812588825333,0.5660982596597615,0.5387708355000618,0.8603812588825333,0.8320582523886693,0.7585071350164654,0.008116139489540633,0.016060429982568274,0.06696303914371642,0.0005250446287934474,0.9918838605104594,0.5037955474303736,0.46706432246041113,0.9918838605104594
CICIDS,RANDOM_L2,1,10,3.0839380000252277,1.015718799782917,1.8056098272144716,0.8485334750898045,0.7926251917050077,0.13961874111746672,0.2374171127266917,0.29152279756771576,0.007422221797943734,0.8603812588825333,0.5660982596597615,0.5387708355000618,0.8603812588825333,0.8304773768176598,0.41375661375661377,0.009184979856470007,0.01797102115386825,0.04009624692486349,0.0026443156759233624,0.99081502014353,0.5032703320902734,0.29513323127557994,0.99081502014353
CICIDS,FGSM,1,15,3.0024498000275344,1.1847589001990855,0.10433382062120522,0.8461512523033774,0.7337982965066041,0.1396422321145421,0.2346335639079938,0.2747697700842623,0.010293261290846085,0.8603577678854579,0.564674485411848,0.5093671498666863,0.8603577678854579,0.8451079140971653,0.7956718671363865,0.11141779912848401,0.1954647077610987,0.2603755621140259,0.005813675980640172,0.888582200871516,0.5528020615739219,0.5285749332413312,0.888582200871516
CICIDS,RANDOM_LINF,1,15,3.0024498000275344,1.1252093999646604,1.385299245662519,0.8461512523033774,0.7337982965066041,0.1396422321145421,0.2346335639079938,0.2747697700842623,0.010293261290846085,0.8603577678854579,0.564674485411848,0.5093671498666863,0.8603577678854579,0.8322982598467522,0.6818181818181818,0.01303750337683083,0.025585764173015085,0.07792930093908217,0.0012362414441591172,0.9869624966231691,0.5059006309663359,0.4307649777018699,0.9869624966231691
CICIDS,RANDOM_L2,1,15,3.0024498000275344,1.1365265999920666,1.65644816731495,0.8461512523033774,0.7337982965066041,0.1396422321145421,0.2346335639079938,0.2747697700842623,0.010293261290846085,0.8603577678854579,0.564674485411848,0.5093671498666863,0.8603577678854579,0.8295867706302279,0.4140988694302815,0.021940591268396387,0.041673173452314555,0.06219449255940159,0.006307695245004916,0.9780594087316036,0.5078164480116957,0.30060510655607064,0.9780594087316036
CICIDS,FGSM,1,20,2.8580565000884235,1.5886955002788454,0.2441728767770046,0.8485334750898045,0.7926251917050077,0.13961874111746672,0.2374171127266917,0.29152279756771576,0.007422221797943734,0.8603812588825333,0.5660982596597615,0.5387708355000618,0.8603812588825333,0.8460917463220344,0.830154007700385,0.11142954462702169,0.19648534178342497,0.26881339964988676,0.0046323255658549155,0.8885704553729783,0.5533986095305834,0.5458208845062436,0.8885704553729783
