Dataset,Attack,Resolution,AddressSize,BloomSize,Hash,TrainTime_s,InferTime_Adv_s,Acc_Drop_pp,Clean_Acc,Clean_Precision,Clean_Recall,Clean_F1,Clean_MCC,Clean_FAR,Clean_ASR,Clean_AUC,Clean_PR_AUC,Clean_F1_Macro,Clean_Miss_ddos,Clean_Miss_dos,Clean_Miss_reconnaissance,Clean_Miss_theft,Adv_Acc,Adv_Precision,Adv_Recall,Adv_F1,Adv_MCC,Adv_FAR,Adv_ASR,Adv_AUC,Adv_PR_AUC,Adv_F1_Macro,Adv_Miss_ddos,Adv_Miss_dos,Adv_Miss_reconnaissance,Adv_Miss_theft
Bot-IoT,FGSM,1,5,1024,2,4.094629526138306,13.925642013549805,1.4092825470669479,0.5494112088391364,0.6991982228243201,0.5494112088391364,0.41367624942087444,0.1701307460605382,0.2,0.0,0.6984459608825404,0.27661220325304314,0.3981533158760518,0.0,0.0,0.0,0.0,0.5353183833684669,0.5481152782094489,0.5353183833684669,0.42707923662871056,0.062423555331547656,0.9333333333333333,0.0,0.6881815307480272,0.4789723894529576,0.21829531758366955,0.0,0.0,0.0,0.0
Bot-IoT,RANDOM_LINF,1,5,1024,2,4.094629526138306,17.48524785041809,1.3638511303336487,0.5494112088391364,0.6991982228243201,0.5494112088391364,0.41367624942087444,0.1701307460605382,0.2,0.0,0.6984459608825404,0.27661220325304314,0.3981533158760518,0.0,0.0,0.0,0.0,0.5357726975357999,0.5513786592505774,0.5357726975357999,0.4255569602613218,0.06681686077390124,0.7333333333333333,0.0,0.6700144254097061,0.24931231749779062,0.2918549139422114,0.0,0.0,0.0,0.0
Bot-IoT,RANDOM_L2,1,5,1024,2,4.094629526138306,13.198679447174072,4.4813549465726465,0.5494112088391364,0.6991982228243201,0.5494112088391364,0.41367624942087444,0.1701307460605382,0.2,0.0,0.6984459608825404,0.27661220325304314,0.3981533158760518,0.0,0.0,0.0,0.0,0.50459765937341,0.5140335784901251,0.50459765937341,0.4363124456516742,0.04788581551686102,0.7333333333333333,0.0026353813578575257,0.697590040669767,0.22340900924305132,0.1997429618485058,0.002146108447705914,0.0032278889606197547,0.0022279985146676567,0.0
Bot-IoT,FGSM,1,5,1024,3,3.8245022296905518,11.917176246643066,26.02129824816457,0.7018245256960093,0.7995882252698269,0.7018245256960093,0.665945023067725,0.48681774302723135,0.2,0.0,0.6549222832806587,0.26069948280690775,0.5074387649971159,0.0,0.0,0.0,0.0,0.4416115432143636,0.4323318973233344,0.4416115432143636,0.4171050382264689,-0.12678887094305039,0.9333333333333333,0.0,0.6303313667482884,0.45511184162907714,0.2182064996944845,0.0,0.0,0.0,0.0
Bot-IoT,RANDOM_LINF,1,5,1024,3,3.8245022296905518,17.49557065963745,13.612161081631168,0.7018245256960093,0.7995882252698269,0.7018245256960093,0.665945023067725,0.48681774302723135,0.2,0.0,0.6549222832806587,0.26069948280690775,0.5074387649971159,0.0,0.0,0.0,0.0,0.5657029148796976,0.5680977842830566,0.5657029148796976,0.5616019118624583,0.14908115236716135,0.8,1.817504384729328e-05,0.6620403208278909,0.4315395261181191,0.33298180744319034,0.0,0.0,0.0007426661715558856,0.0
Bot-IoT,RANDOM_L2,1,5,1024,3,3.8245022296905518,12.357455730438232,18.457875990404883,0.7018245256960093,0.7995882252698269,0.7018245256960093,0.665945023067725,0.48681774302723135,0.2,0.0,0.6549222832806587,0.26069948280690775,0.5074387649971159,0.0,0.0,0.0,0.0,0.5172457657919605,0.5314584907677887,0.5172457657919605,0.5184147368511515,0.09596349743918861,0.8666666666666667,0.003416908243291137,0.6689906785713702,0.2131385673621624,0.23490487292023685,0.0025441769501029785,0.004418173014848289,0.003713330857779428,0.0
Bot-IoT,FGSM,1,5,2048,2,3.9827632904052734,11.903929471969604,-5.58170385985316,0.6583103147488552,0.7796284643065665,0.6583103147488552,0.6043216628490643,0.4121697718934186,0.2,0.0,0.6455361121514538,0.2615344695692566,0.4809822660943183,0.0,0.0,0.0,0.0,0.7141273533473868,0.7229011786841353,0.7141273533473868,0.704617386454053,0.43940876420452063,0.9333333333333333,0.0,0.6201949042814376,0.4382523494375456,0.3391419698958765,0.0,0.0,0.0,0.0
Bot-IoT,RANDOM_LINF,1,5,2048,2,3.9827632904052734,16.556154251098633,13.080613505851568,0.6583103147488552,0.7796284643065665,0.6583103147488552,0.6043216628490643,0.4121697718934186,0.2,0.0,0.6455361121514538,0.2615344695692566,0.4809822660943183,0.0,0.0,0.0,0.0,0.5275041796903395,0.5371814494148854,0.5275041796903395,0.5241379933063302,0.07528516243318527,0.7333333333333333,9.08752192364664e-06,0.6535249808998662,0.431011231988981,0.335152805274573,0.0,0.0,0.0003713330857779428,0.0
Bot-IoT,RANDOM_L2,1,5,2048,2,3.9827632904052734,11.195512533187866,15.424874609289818,0.6583103147488552,0.7796284643065665,0.6583103147488552,0.6043216628490643,0.4121697718934186,0.2,0.0,0.6455361121514538,0.2615344695692566,0.4809822660943183,0.0,0.0,0.0,0.0,0.504061568655957,0.5133759032367482,0.504061568655957,0.5025545727281725,0.06479714270373406,0.8666666666666667,0.0023354931343771866,0.6825395420589297,0.22338573227614028,0.22936002573582162,0.001817269250073556,0.002884925758553906,0.0033419977720014855,0.0
Bot-IoT,FGSM,1,5,2048,3,3.9168684482574463,12.747529029846191,7.532528894381047,0.5357817838191467,0.6110902758467804,0.5357817838191467,0.38460011627711316,0.11630660355595752,0.2,0.0,0.6760075510368674,0.2699306027030174,0.3854507070088827,0.0,0.0,0.0,0.0,0.4604564948753362,0.48814441750877746,0.4604564948753362,0.38685021000974507,0.025396638798395467,0.9333333333333333,0.0,0.665072378580749,0.45570074009945155,0.19190147231597676,0.0,0.0,0.0,0.0
