Dataset,Attack,Resolution,AddressSize,BloomSize,Hash,TrainTime_s,InferTime_Adv_s,Acc_Drop_pp,Clean_Acc,Clean_Precision,Clean_Recall,Clean_F1,Clean_MCC,Clean_FAR,Clean_ASR,Clean_AUC,Clean_PR_AUC,Clean_F1_Macro,Clean_Miss_bots,Clean_Miss_brute force,Clean_Miss_ddos,Clean_Miss_dos,Clean_Miss_port scanning,Clean_Miss_web attacks,Adv_Acc,Adv_Precision,Adv_Recall,Adv_F1,Adv_MCC,Adv_FAR,Adv_ASR,Adv_AUC,Adv_PR_AUC,Adv_F1_Macro,Adv_Miss_bots,Adv_Miss_brute force,Adv_Miss_ddos,Adv_Miss_dos,Adv_Miss_port scanning,Adv_Miss_web attacks
CICIDS,FGSM,1,5,1024,2,132.50718307495117,57.10918831825256,-14.036667585703489,0.6542722319305129,0.8579618482748131,0.6542722319305129,0.707390900393236,0.41226981589465667,0.37045955724418395,0.13130292815278544,0.7634695547559642,0.19982789312596763,0.42879561088074986,0.08226221079691516,0.06830601092896176,0.0020310119907823304,0.005109809285400914,0.5932521087160263,0.02564102564102564,0.7946389077875478,0.693164879940532,0.7946389077875478,0.7399300024055437,-0.019510289351543916,0.046466449648220096,0.9685220639190031,0.489107339790927,0.14802800233419885,0.13195727714011457,0.9897172236503856,1.0,0.9566457055813772,0.9722573485767375,0.972931253101053,1.0
CICIDS,RANDOM_LINF,1,5,1024,2,132.50718307495117,18.110109329223633,-17.123639544501547,0.6542722319305129,0.8579618482748131,0.6542722319305129,0.707390900393236,0.41226981589465667,0.37045955724418395,0.13130292815278544,0.7634695547559642,0.19982789312596763,0.42879561088074986,0.08226221079691516,0.06830601092896176,0.0020310119907823304,0.005109809285400914,0.5932521087160263,0.02564102564102564,0.8255086273755283,0.7020076841247592,0.8255086273755283,0.7538551507460567,0.011433366374324957,0.008076141017441028,0.9893350873277816,0.5187456701608506,0.14607245468733707,0.13291844847617987,0.9922879177377892,0.994535519125683,0.9924618208803656,0.9854963999070944,0.9924472131870555,0.993006993006993
CICIDS,RANDOM_L2,1,5,1024,2,132.50718307495117,12.288227081298828,-17.144268284700416,0.6542722319305129,0.8579618482748131,0.6542722319305129,0.707390900393236,0.41226981589465667,0.37045955724418395,0.13130292815278544,0.7634695547559642,0.19982789312596763,0.42879561088074986,0.08226221079691516,0.06830601092896176,0.0020310119907823304,0.005109809285400914,0.5932521087160263,0.02564102564102564,0.825714914777517,0.7022913351696524,0.825714914777517,0.7536683743858849,0.00879056522411541,0.007613147117504988,0.9902982182078718,0.5081484073655556,0.14374957691809018,0.13236410736010693,0.987146529562982,0.994535519125683,0.9926961684177635,0.9877674262561614,0.9917856552180385,0.9976689976689976
CICIDS,FGSM,1,5,1024,3,134.53012371063232,68.50811576843262,-11.94622246112772,0.6521121648077659,0.8566539974253056,0.6521121648077659,0.7057307831420963,0.4084049917464403,0.37305136845722797,0.13876131972421568,0.7580407625974438,0.2046243571338888,0.4290418743683979,0.10282776349614396,0.06557377049180328,0.0015623169159864078,0.004903352344576634,0.629086498704449,0.030303030303030304,0.7715743894190431,0.6877546002521351,0.7715743894190431,0.72717798651242,-0.046292761334054515,0.0737281987150726,0.9680639894760333,0.4953648518584376,0.14636848162429925,0.12824016282711656,1.0,0.9841530054644809,0.9526617974456119,0.9775478076853596,0.9665361927338884,0.9976689976689976
CICIDS,RANDOM_LINF,1,5,1024,3,134.53012371063232,18.360658168792725,-17.13097861553384,0.6521121648077659,0.8566539974253056,0.6521121648077659,0.7057307831420963,0.4084049917464403,0.37305136845722797,0.13876131972421568,0.7580407625974438,0.2046243571338888,0.4290418743683979,0.10282776349614396,0.06557377049180328,0.0015623169159864078,0.004903352344576634,0.629086498704449,0.030303030303030304,0.8234219509631043,0.7072434319126683,0.8234219509631043,0.7539342387685525,0.018466667440113875,0.011331417715960402,0.9830160091145068,0.5210948618716923,0.147042097769922,0.1346357404482726,0.987146529562982,0.9907103825136612,0.9864859586767176,0.9771607009213141,0.9898009813109874,0.9813519813519813
CICIDS,RANDOM_L2,1,5,1024,3,134.53012371063232,13.460718870162964,-17.13990451273527,0.6521121648077659,0.8566539974253056,0.6521121648077659,0.7057307831420963,0.4084049917464403,0.37305136845722797,0.13876131972421568,0.7580407625974438,0.2046243571338888,0.4290418743683979,0.10282776349614396,0.06557377049180328,0.0015623169159864078,0.004903352344576634,0.629086498704449,0.030303030303030304,0.8235112099351186,0.7030299073958165,0.8235112099351186,0.7532288685969248,0.010006228704051602,0.010710910427386328,0.9866218771655763,0.5096247390216282,0.1444078357388671,0.1334418788208124,0.9948586118251928,0.9907103825136612,0.9896105925086904,0.9828640739115848,0.9898561111417388,0.986013986013986
CICIDS,FGSM,1,5,2048,2,131.7418110370636,46.248854875564575,-14.7757318739822,0.6473358180386432,0.856620700133289,0.6473358180386432,0.7014218746415627,0.4069819174478988,0.37894618769868166,0.13360504586617178,0.7490615246641308,0.19577225674214419,0.42793721539728263,0.07969151670951156,0.06284153005464481,0.0017185486075850485,0.0045678598157371806,0.6062627487733613,0.02564102564102564,0.7950931367784652,0.6941437015953409,0.7950931367784652,0.7408057332691399,-0.009620711020330056,0.045557167813809626,0.95534361455972,0.47802889779221724,0.14404695095619965,0.1313750013605634,0.9974293059125964,1.0,0.9028238878256454,0.9761800304523988,0.978719885329952,0.9906759906759907
CICIDS,RANDOM_LINF,1,5,2048,2,131.7418110370636,18.22821879386902,-17.741311630840762,0.6473358180386432,0.856620700133289,0.6473358180386432,0.7014218746415627,0.4069819174478988,0.37894618769868166,0.13360504586617178,0.7490615246641308,0.19577225674214419,0.42793721539728263,0.07969151670951156,0.06284153005464481,0.0017185486075850485,0.0045678598157371806,0.6062627487733613,0.02564102564102564,0.8247489343470508,0.7091891292740263,0.8247489343470508,0.7538253675466247,0.013897299660030707,0.009181121304401784,0.9868685326348677,0.5283856769766532,0.1469358299142519,0.1333888774758177,0.9897172236503856,0.9885245901639345,0.9896105925086904,0.9831737593228213,0.9907381884337615,0.9836829836829837
CICIDS,RANDOM_L2,1,5,2048,2,131.7418110370636,14.62423324584961,-17.71691417849017,0.6473358180386432,0.856620700133289,0.6473358180386432,0.7014218746415627,0.4069819174478988,0.37894618769868166,0.13360504586617178,0.7490615246641308,0.19577225674214419,0.42793721539728263,0.07969151670951156,0.06284153005464481,0.0017185486075850485,0.0045678598157371806,0.6062627487733613,0.02564102564102564,0.8245049598235449,0.7006536827016009,0.8245049598235449,0.7531261317018326,0.005965660988030573,0.009088045211115671,0.9893468328263193,0.5139016685031764,0.14437620624435293,0.13228127725786934,0.9922879177377892,0.9918032786885246,0.9912510252704761,0.987431933727322,0.9904625392800044,0.9883449883449883
CICIDS,FGSM,1,5,2048,3,132.05090832710266,48.809818744659424,-12.788232097129637,0.6552263111647105,0.8493442097375382,0.6552263111647105,0.7054110894355703,0.40299670838618423,0.36929013966187124,0.1674673181503189,0.7606172295389959,0.20141886547698107,0.4306139320042229,0.09511568123393316,0.06885245901639345,0.0016794906846853885,0.005187230638210018,0.76310711726115,0.02097902097902098,0.7831086321360069,0.6906920944251554,0.7831086321360069,0.7338152168037477,-0.03158039105607589,0.06022261892260842,0.9650806328474613,0.4691687643711959,0.1459650086799984,0.1302354810170687,1.0,1.0,0.9326250829980861,0.9734960902216832,0.9878163074039362,1.0
