Dataset,Attack,Resolution,AddressSize,TrainTime_s,InferTime_Adv_s,Acc_Drop_pp,Clean_Acc,Clean_Precision,Clean_Recall,Clean_F1,Clean_MCC,Clean_FAR,Clean_ASR,Clean_AUC,Clean_PR_AUC,Clean_F1_Macro,Clean_Miss_ddos,Clean_Miss_dos,Clean_Miss_reconnaissance,Clean_Miss_theft,Adv_Acc,Adv_Precision,Adv_Recall,Adv_F1,Adv_MCC,Adv_FAR,Adv_ASR,Adv_AUC,Adv_PR_AUC,Adv_F1_Macro,Adv_Miss_ddos,Adv_Miss_dos,Adv_Miss_reconnaissance,Adv_Miss_theft
Bot-IoT,FGSM,1,5,0.15340757369995117,1.3272736072540283,69.99164061932107,0.9030311841244457,0.9135631441602159,0.9030311841244457,0.90301633854892,0.8247372052402849,0.3333333333333333,0.0,0.8299198460143499,0.6786919472455584,0.7200334165605499,0.0,0.0,0.0,0.0,0.203114777931235,0.23698493326289286,0.203114777931235,0.21067245584235844,-0.3068411812143944,0.9333333333333333,0.014221971810506993,0.4816028313669946,0.19030916513161145,0.11564915156672498,0.01036708838851486,0.019064719173660427,0.007797994801336799,0.0
Bot-IoT,RANDOM_LINF,1,5,0.15340757369995117,0.9679460525512695,45.382350803227446,0.9030311841244457,0.9135631441602159,0.9030311841244457,0.90301633854892,0.8247372052402849,0.3333333333333333,0.0,0.8299198460143499,0.6786919472455584,0.7200334165605499,0.0,0.0,0.0,0.0,0.44920767609217127,0.523906645338319,0.44920767609217127,0.47696715960007247,0.08261394375801191,0.8666666666666667,0.006470315609636408,0.5760014504258903,0.21636384460603603,0.22555982848571982,0.005313349140691255,0.007525016139444803,0.01188265874489417,0.0
Bot-IoT,RANDOM_L2,1,5,0.15340757369995117,0.8070762157440186,46.78527295195173,0.9030311841244457,0.9135631441602159,0.9030311841244457,0.90301633854892,0.8247372052402849,0.3333333333333333,0.0,0.8299198460143499,0.6786919472455584,0.7200334165605499,0.0,0.0,0.0,0.0,0.4351784546049284,0.5134424657361512,0.4351784546049284,0.46569543403338487,0.06148077207876993,0.9333333333333333,0.005416163066493398,0.5503223323691363,0.21023876417994813,0.21334654468143666,0.004638363419235362,0.006132989025177534,0.008911994058670627,0.0
Bot-IoT,FGSM,1,10,0.15770912170410156,0.16110682487487793,81.36766736933924,0.8944446463618522,0.8981463716102229,0.8944446463618522,0.8945901455402878,0.8014698026481921,0.13333333333333333,0.0,0.8454880641507202,0.712901811337323,0.7422814900763414,0.0,0.0,0.0,0.0,0.0807679726684597,0.5288728422306586,0.0807679726684597,0.13241868677710905,0.015800042325979174,0.8666666666666667,0.1717541643569215,0.45490327452996626,0.20228960525799677,0.06696117474298555,0.30922999705775456,0.01460619754680439,0.11474192350538433,0.0
Bot-IoT,RANDOM_LINF,1,10,0.15770912170410156,0.21254849433898926,73.00374354873883,0.8944446463618522,0.8981463716102229,0.8944446463618522,0.8945901455402878,0.8014698026481921,0.13333333333333333,0.0,0.8454880641507202,0.712901811337323,0.7422814900763414,0.0,0.0,0.0,0.0,0.16440721087446392,0.5005484759634224,0.16440721087446392,0.23844375739832127,0.02142985429771813,0.8666666666666667,0.040048709117510746,0.4863235292502678,0.2046207343574679,0.11799977149662082,0.03366274944183873,0.04660264686894771,0.05644262903824731,0.0
Bot-IoT,RANDOM_L2,1,10,0.15770912170410156,0.17684316635131836,74.23493494221124,0.8944446463618522,0.8981463716102229,0.8944446463618522,0.8945901455402878,0.8014698026481921,0.13333333333333333,0.0,0.8454880641507202,0.712901811337323,0.7422814900763414,0.0,0.0,0.0,0.0,0.15209529693973978,0.4931077870980488,0.15209529693973978,0.22528303957684542,0.01289294140700635,0.8666666666666667,0.03356930598595069,0.47200026389904404,0.202204165319768,0.10697961529709517,0.02997628896311809,0.037161071659134924,0.04455997029335314,0.0
Bot-IoT,FGSM,1,15,0.13242840766906738,0.1536109447479248,94.61728574543868,0.9488078796249182,0.9497485156318973,0.9488078796249182,0.9488634511994978,0.9027582043501474,0.06666666666666667,9.08752192364664e-06,0.8733210423580328,0.743417539124107,0.7655084657469704,0.0,0.0,0.0003713330857779428,0.0,0.002635022170531366,0.2650096415123594,0.002635022170531366,0.004710371974584494,-0.00950926696962368,0.9333333333333333,2.7262565770939922e-05,0.5094520811962433,0.20327076507009964,0.029344707307125815,0.0,0.0,0.0011139992573338284,0.0
Bot-IoT,RANDOM_LINF,1,15,0.13242840766906738,0.15262508392333984,92.49927309733226,0.9488078796249182,0.9497485156318973,0.9488078796249182,0.9488634511994978,0.9027582043501474,0.06666666666666667,9.08752192364664e-06,0.8733210423580328,0.743417539124107,0.7655084657469704,0.0,0.0,0.0003713330857779428,0.0,0.023815148651595553,0.516321791297623,0.023815148651595553,0.04505165040401869,0.010534478208112827,1.0,0.0024354558755372998,0.5094489755647243,0.2011471697821682,0.030620077524384753,0.001644195988161789,0.0031270174306003875,0.006683995544002971,0.0
Bot-IoT,RANDOM_L2,1,15,0.13242840766906738,0.15334320068359375,93.08715562986116,0.9488078796249182,0.9497485156318973,0.9488078796249182,0.9488634511994978,0.9027582043501474,0.06666666666666667,9.08752192364664e-06,0.8733210423580328,0.743417539124107,0.7655084657469704,0.0,0.0,0.0003713330857779428,0.0,0.017936323326306607,0.5115772549366494,0.017936323326306607,0.03436329864677699,0.007802341931385384,1.0,0.0019356421697367344,0.5068957837886421,0.2006812491184311,0.023058307475633453,0.0016268886619706122,0.0021788250484183346,0.004084663943557371,0.0
Bot-IoT,FGSM,1,20,0.12729334831237793,0.1457991600036621,96.20465944610017,0.9655538998328124,0.9655470572165357,0.9655538998328124,0.9655415373217818,0.9338629953404936,0.06666666666666667,1.817504384729328e-05,0.879281081394554,0.7419635031391938,0.7662601590624741,0.0,0.0,0.0007426661715558856,0.0,0.0035073053718107147,0.5733306925609104,0.0035073053718107147,0.006950174697215445,0.0144249374578889,1.0,9.08752192364664e-06,0.5011557446151393,0.20066415036693197,0.0038481580947860193,0.0,0.0,0.0003713330857779428,0.0
Bot-IoT,RANDOM_LINF,1,20,0.12729334831237793,0.14577698707580566,96.26735480119211,0.9655538998328124,0.9655470572165357,0.9655538998328124,0.9655415373217818,0.9338629953404936,0.06666666666666667,1.817504384729328e-05,0.879281081394554,0.7419635031391938,0.7662601590624741,0.0,0.0,0.0007426661715558856,0.0,0.0028803518208911825,0.5929075037897222,0.0028803518208911825,0.005709270839187489,0.008126225697485476,1.0,9.996274116011305e-05,0.5011818639453476,0.20029012069883048,0.004229711036371897,6.92293047647069e-05,0.00014122014202711428,0.0,0.0
Bot-IoT,RANDOM_L2,1,20,0.12729334831237793,0.14990520477294922,96.38456785636403,0.9655538998328124,0.9655470572165357,0.9655538998328124,0.9655415373217818,0.9338629953404936,0.06666666666666667,1.817504384729328e-05,0.879281081394554,0.7419635031391938,0.7662601590624741,0.0,0.0,0.0007426661715558856,0.0,0.001708221269172058,0.4977699543704607,0.001708221269172058,0.0033848979503211577,0.0019097331087758287,1.0,4.5437609618233205e-05,0.5005352846588508,0.20005014893106937,0.002043337849407294,5.192197857353018e-05,4.034861200774693e-05,0.0,0.0
Bot-IoT,FGSM,2,5,0.2484269142150879,0.4522557258605957,56.9646361852148,0.8054172421312786,0.8069691657467084,0.8054172421312786,0.8041280125990059,0.6268120916467952,0.4666666666666667,0.0,0.7735144443810242,0.6001403040613015,0.6577192814062689,0.0,0.0,0.0,0.0,0.23577088027913062,0.23027319264239754,0.23577088027913062,0.21829181935605546,-0.194679139242782,1.0,0.004089384865640988,0.5136871162651154,0.1964489212723161,0.10842748724060078,0.001384586095294138,0.0074644932214331826,0.0,0.0
Bot-IoT,RANDOM_LINF,2,5,0.2484269142150879,0.6704607009887695,41.41437086574108,0.8054172421312786,0.8069691657467084,0.8054172421312786,0.8041280125990059,0.6268120916467952,0.4666666666666667,0.0,0.7735144443810242,0.6001403040613015,0.6577192814062689,0.0,0.0,0.0,0.0,0.39127353347386784,0.506353640047023,0.39127353347386784,0.41884884284847085,0.06278190967403259,0.9333333333333333,0.0030806699321162113,0.5814686560581918,0.21435916714780112,0.19642811037167093,0.0029249381263088663,0.0034094577146546157,0.0003713330857779428,0.0
Bot-IoT,RANDOM_L2,2,5,0.2484269142150879,0.6343271732330322,44.194773569819,0.8054172421312786,0.8069691657467084,0.8054172421312786,0.8041280125990059,0.6268120916467952,0.4666666666666667,0.0,0.7735144443810242,0.6001403040613015,0.6577192814062689,0.0,0.0,0.0,0.0,0.3634695064330886,0.4944799744008968,0.3634695064330886,0.39525596898411497,0.03956008797454278,1.0,0.0033351205459783173,0.5544683999627799,0.2081349068062876,0.17977165902592587,0.0031672406929853405,0.0035708521626856035,0.0025993316004456,0.0
Bot-IoT,FGSM,2,10,0.2539088726043701,0.738037109375,71.33005015628406,0.8257614305444501,0.8306474712708004,0.8257614305444501,0.8259757676374594,0.6713494605191218,0.13333333333333333,0.0,0.8180561513940111,0.6784554532174865,0.7140844672744788,0.0,0.0,0.0,0.0,0.11246092898160936,0.16805528460840094,0.11246092898160936,0.11193070749155871,-0.30528593617455946,0.9333333333333333,0.11683826937232486,0.4693642826118162,0.19436170871345626,0.06761844625352473,0.2053860399106942,0.019226113621691413,0.013739324173783884,0.0
Bot-IoT,RANDOM_LINF,2,10,0.2539088726043701,3.853639602661133,44.38104237842552,0.8257614305444501,0.8306474712708004,0.8257614305444501,0.8259757676374594,0.6713494605191218,0.13333333333333333,0.0,0.8180561513940111,0.6784554532174865,0.7140844672744788,0.0,0.0,0.0,0.0,0.38195100676019483,0.5037463559683417,0.38195100676019483,0.42650560589257697,0.04075873693345124,0.8,0.04494688343435629,0.5483581515848968,0.2067494330563052,0.1919364780493101,0.0391145571920594,0.0519286636539703,0.0415893056071296,0.0
Bot-IoT,RANDOM_L2,2,10,0.2539088726043701,2.463615894317627,47.13782074580213,0.8257614305444501,0.8306474712708004,0.8257614305444501,0.8259757676374594,0.6713494605191218,0.13333333333333333,0.0,0.8180561513940111,0.6784554532174865,0.7140844672744788,0.0,0.0,0.0,0.0,0.3543832230864287,0.48986625433905784,0.3543832230864287,0.40408536441553183,0.018575049809290065,0.8666666666666667,0.05675157441317327,0.5233061894912577,0.20279288931594958,0.17783218359254432,0.051921978573530175,0.06284296320206585,0.04827330115113257,0.0
Bot-IoT,FGSM,2,15,0.27063751220703125,0.2892131805419922,71.86341498873301,0.8420713091517046,0.8435564936820457,0.8420713091517046,0.8412273461809431,0.6974432805932473,0.13333333333333333,0.0,0.8218316800790108,0.6847898981060466,0.7199009762165967,0.0,0.0,0.0,0.0,0.1234371592643745,0.2605343305031162,0.1234371592643745,0.12554349924650068,-0.1425805370267723,0.8666666666666667,0.047982115756854266,0.4434034223394976,0.19100855038818937,0.069687553121441,0.06706588899080981,0.025117010974822464,0.05941329372447085,0.0
Bot-IoT,RANDOM_LINF,2,15,0.27063751220703125,0.2970387935638428,57.69153885294759,0.8420713091517046,0.8435564936820457,0.8420713091517046,0.8412273461809431,0.6974432805932473,0.13333333333333333,0.0,0.8218316800790108,0.6847898981060466,0.7199009762165967,0.0,0.0,0.0,0.0,0.2651559206222287,0.5164655589981907,0.2651559206222287,0.3307920370446893,0.03808596108786712,0.6666666666666666,0.07024654446978854,0.5322536076877807,0.2080037743790168,0.16268559305435265,0.05593727824988318,0.08513557133634603,0.1032305978462681,0.0
Bot-IoT,RANDOM_L2,2,15,0.27063751220703125,0.26230931282043457,63.32049138620339,0.8420713091517046,0.8435564936820457,0.8420713091517046,0.8412273461809431,0.6974432805932473,0.13333333333333333,0.0,0.8218316800790108,0.6847898981060466,0.7199009762165967,0.0,0.0,0.0,0.0,0.20886639528967071,0.49943985418664266,0.20886639528967071,0.28593350820903907,0.020279194196524523,0.6,0.07908870330149671,0.6148158902610869,0.2041290469230404,0.13851260265595416,0.07076965679572163,0.0871328276307295,0.10954326030449313,0.0
Bot-IoT,FGSM,2,20,0.2494955062866211,0.23017311096191406,86.96754379588573,0.8772533982699716,0.8776025559886246,0.8772533982699716,0.8769618548361174,0.7643638991193105,0.13333333333333333,9.08752192364664e-06,0.8365195109270793,0.6901697470734668,0.7282987171460169,0.0,0.0,0.0003713330857779428,0.0,0.007577960311114342,0.4084203772296647,0.007577960311114342,0.014590506903377294,-0.047487712266328676,1.0,0.11043156641615398,0.4977628258993446,0.2006656289623124,0.006817667294027471,0.20587064504404715,0.005144448030987734,0.0007426661715558856,0.0
Bot-IoT,RANDOM_LINF,2,20,0.2494955062866211,0.23066234588623047,82.40622955586247,0.8772533982699716,0.8776025559886246,0.8772533982699716,0.8769618548361174,0.7643638991193105,0.13333333333333333,9.08752192364664e-06,0.8365195109270793,0.6901697470734668,0.7282987171460169,0.0,0.0,0.0003713330857779428,0.0,0.05319110271134695,0.5109397211616248,0.05319110271134695,0.09204879839868096,0.015509040543099241,0.8,0.019792622749702383,0.5481973297248239,0.20287193819620247,0.0600407634252633,0.01796500458644144,0.021929470626210458,0.01968065354623097,0.0
Bot-IoT,RANDOM_L2,2,20,0.2494955062866211,0.22985363006591797,84.08719197499454,0.8772533982699716,0.8776025559886246,0.8772533982699716,0.8769618548361174,0.7643638991193105,0.13333333333333333,9.08752192364664e-06,0.8365195109270793,0.6901697470734668,0.7282987171460169,0.0,0.0,0.0003713330857779428,0.0,0.03638147852002617,0.5024622718764298,0.03638147852002617,0.06464635418845564,0.009212860318363998,0.9333333333333333,0.014540035077834626,0.5258672643888265,0.20114850014478516,0.041687807519436855,0.01320548988386784,0.01605874757908328,0.015224656516895656,0.0
