Dataset,Mode,Attack,surrogate_success_rate,l2_mean,l2_median,l2_max,l2_min,batch_size,binary_search_steps,max_iterations,confidence,learning_rate,initial_const,abort_early
UNSW-NB15,binary,C&W,1.2145945683330904e-05,0.00012725888518616557,0.0,0.9610877633094788,0.0,128,5,500,0.0,0.005,0.01,True
UNSW-NB15,multiclass,C&W,1.2145945683330904e-05,0.00012725888518616557,0.0,0.9610877633094788,0.0,128,5,500,0.0,0.005,0.01,True
