Dataset;Attack;Binarization;Resolution;AddressSize;BloomSize;Hash;TrainTime_s;InferTime_Adv_s;Acc_Drop_pp;Clean_Acc;Clean_Precision;Clean_Recall;Clean_F1;Clean_MCC;Clean_FAR;Clean_ASR;Clean_AUC;Clean_PR_AUC;Clean_Miss_Attack;Adv_Acc;Adv_Precision;Adv_Recall;Adv_F1;Adv_MCC;Adv_FAR;Adv_ASR;Adv_AUC;Adv_PR_AUC;Adv_Miss_Attack
CICIDS;RANDOM_L2;distributive;1;5;2048;3;133,57765555381775;6,888245344161987;0,2628180842644378;0,8325997568188895;0,996;0,008773887407651;0,0173945441209002;0,0852172179540661;7,159699483547011e-06;0,9912261125923488;0,6643222628468874;0,6161688657233692;0,9912261125923488;0,8299715759762452;0,2014388489208633;0,0023021177133863;0,0045522110739502;0,0038220928693528;0,0018543621662386;0,9976978822866136;0,5167380353746068;0,1793144479856678;0,9976978822866136
CICIDS;FGSM;distributive;1;10;1024;2;108,45729470252992;13,92937469482422;4,125351333231519;0,841773595609252;0,9964860366191972;0,0632847461210491;0,1190113312570406;0,2300107987529509;4,534476339579773e-05;0,9367152538789508;0,7322644779686635;0,6377018063323847;0,9367152538789508;0,8005200822769368;0,1003056836433345;0,0227392851689589;0,0370739180390654;-0,0365178697214806;0,0414427271772646;0,977260714831041;0,6071962069570755;0,3637901583553871;0,977260714831041
CICIDS;RANDOM_LINF;distributive;1;10;1024;2;108,45729470252992;10,51879620552063;1,5667924887583284;0,841773595609252;0,9964860366191972;0,0632847461210491;0,1190113312570406;0,2300107987529509;4,534476339579773e-05;0,9367152538789508;0,7322644779686635;0,6377018063323847;0,9367152538789508;0,8261056707216687;0,2484089101034208;0,0146701276735691;0,0277041489680259;0,0213070778663891;0,0090188347827747;0,9853298723264308;0,5484423315790113;0,1905328853469035;0,9853298723264308
CICIDS;RANDOM_L2;distributive;1;10;1024;2;108,45729470252992;8,735638618469238;1,5626270700643263;0,841773595609252;0,9964860366191972;0,0632847461210491;0,1190113312570406;0,2300107987529509;4,534476339579773e-05;0,9367152538789508;0,7322644779686635;0,6377018063323847;0,9367152538789508;0,8261473249086088;0,2139110604332953;0,0110172776283489;0,0209552745632456;0,0112599226505093;0,0082264947065955;0,9889827223716512;0,5224780499729655;0,1766748896217362;0,9889827223716512
CICIDS;FGSM;distributive;1;10;1024;3;109,14141178131104;19,67155814170837;3,044326005502318;0,8449750174054995;0,9950375726641144;0,0824299087374763;0,1522474835126692;0,2626721684296564;8,352982730804846e-05;0,9175700912625236;0,73405579857968;0,6384063178692831;0,9175700912625236;0,8145317573504763;0,2064706295178609;0,0345552566978705;0,0592023181873063;0,0171138067842438;0,0269849073534886;0,9654447433021296;0,5555113604990177;0,1572312941808752;0,9654447433021296
CICIDS;RANDOM_LINF;distributive;1;10;1024;3;109,14141178131104;8,270614862442017;1,929580621678817;0,8449750174054995;0,9950375726641144;0,0824299087374763;0,1522474835126692;0,2626721684296564;8,352982730804846e-05;0,9175700912625236;0,73405579857968;0,6384063178692831;0,9175700912625236;0,8256792111887113;0,2510429892980229;0,0162557699761566;0,0305343511450381;0,0230611977230817;0,0098541330558552;0,9837442300238434;0,5504563697714376;0,1921968027970685;0,9837442300238434
CICIDS;RANDOM_L2;distributive;1;10;1024;3;109,14141178131104;6,759341716766357;2,011103816118576;0,8449750174054995;0,9950375726641144;0,0824299087374763;0,1522474835126692;0,2626721684296564;8,352982730804846e-05;0,9175700912625236;0,73405579857968;0,6384063178692831;0,9175700912625236;0,8248639792443138;0,2047155688622754;0,0128495754002278;0,024181337930882;0,0099017729693842;0,0101429076016915;0,987150424599772;0,5230620636411355;0,1778594381694739;0,987150424599772
CICIDS;FGSM;distributive;1;10;2048;2;108,7651903629303;17,976206302642822;5,118902868386654;0,8495252414455193;0,9973196097351774;0,1092566273975498;0,1969385810767895;0,3035929606556164;5,966416236289176e-05;0,8907433726024501;0,7429940928751363;0,6419247674884878;0,8907433726024501;0,7983362127616528;0,1396180343594663;0,0376090863176687;0,0592562434650652;-0,0170489074504597;0,0470917300697832;0,9623909136823312;0,5226606216931048;0,1840273611675575;0,9623909136823312
CICIDS;RANDOM_LINF;distributive;1;10;2048;2;108,7651903629303;7,8252527713775635;2,680149399683829;0,8495252414455193;0,9973196097351774;0,1092566273975498;0,1969385810767895;0,3035929606556164;5,966416236289176e-05;0,8907433726024501;0,7429940928751363;0,6419247674884878;0,8907433726024501;0,822723747448681;0,2524839275277615;0,0253702768414005;0,0461075415714987;0,0293208626233691;0,0152620927324277;0,9746297231585994;0,5486749694915937;0,1942861909601288;0,9746297231585994
CICIDS;RANDOM_L2;distributive;1;10;2048;2;108,7651903629303;7,886356830596924;2,779921095068738;0,8495252414455193;0,9973196097351774;0,1092566273975498;0,1969385810767895;0,3035929606556164;5,966416236289176e-05;0,8907433726024501;0,7429940928751363;0,6419247674884878;0,8907433726024501;0,821726030494832;0,2035785785785785;0,0191099261208141;0,0349400307094308;0,0117560732486445;0,0151904957375922;0,9808900738791858;0,5237198611608316;0,1788543454707954;0,9808900738791858
