Dataset;Attack;Binarization;Resolution;AddressSize;BloomSize;Hash;TrainTime_s;InferTime_Adv_s;Acc_Drop_pp;Clean_Acc;Clean_Precision;Clean_Recall;Clean_F1;Clean_MCC;Clean_FAR;Clean_ASR;Clean_AUC;Clean_PR_AUC;Clean_F1_Macro;Clean_Miss_analysis;Clean_Miss_backdoor;Clean_Miss_dos;Clean_Miss_exploits;Clean_Miss_fuzzers;Clean_Miss_generic;Clean_Miss_reconnaissance;Clean_Miss_shellcode;Clean_Miss_worms;Adv_Acc;Adv_Precision;Adv_Recall;Adv_F1;Adv_MCC;Adv_FAR;Adv_ASR;Adv_AUC;Adv_PR_AUC;Adv_F1_Macro;Adv_Miss_analysis;Adv_Miss_backdoor;Adv_Miss_dos;Adv_Miss_exploits;Adv_Miss_fuzzers;Adv_Miss_generic;Adv_Miss_reconnaissance;Adv_Miss_shellcode;Adv_Miss_worms
UNSW-NB15;RANDOM_LINF;gaussian;10;10;2048;3;22,34281277656555;58,80099701881409;48,509692464655295;0,6108074624690278;0,7638438551810615;0,6108074624690278;0,6495105008622705;0,519753203039266;0,399027027027027;0,0158607606106061;0,6338534094160213;0,1670601280885256;0,2722748298299166;0,0295420974889217;0,0034305317324185;0,0092932257275617;0,0225476104922745;0,0522929726162982;0,0019076890466853;0,0140160183066361;0,0158730158730158;0,0;0,1257105378224748;0,0549681716867811;0,1257105378224748;0,0381907171011795;0,0024624671810274;1,0;0,0;0,5698856403861623;0,1111544933759312;0,0348730991582905;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
UNSW-NB15;RANDOM_L2;gaussian;10;10;2048;3;22,34281277656555;57,54958510398865;48,50726327551863;0,6108074624690278;0,7638438551810615;0,6108074624690278;0,6495105008622705;0,519753203039266;0,399027027027027;0,0158607606106061;0,6338534094160213;0,1670601280885256;0,2722748298299166;0,0295420974889217;0,0034305317324185;0,0092932257275617;0,0225476104922745;0,0522929726162982;0,0019076890466853;0,0140160183066361;0,0158730158730158;0,0;0,1257348297138415;0,0646426441734088;0,1257348297138415;0,0379105785843377;0,0028313614963525;1,0;0,0;0,5699598493079256;0,1107469428986127;0,0343845086749815;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
UNSW-NB15;FGSM;gaussian;10;15;1024;2;15,87451958656311;123,18577671051024;51,49638050818637;0,6274231161638245;0,7621886173098125;0,6274231161638245;0,652033794227816;0,5366535179304057;0,3984594594594595;0,0190814435718697;0,6556182498620087;0,1914885648961362;0,2738667257089251;0,0679468242245199;0,006861063464837;0,0193201271704573;0,0326086956521739;0,0410755526228967;0,0025965767579884;0,0185926773455377;0,0238095238095238;0,0227272727272727;0,1124593110819608;0,1601598239591092;0,1124593110819608;0,1066861245194106;-0,0571586063904684;0,8765405405405405;0,2471322685961351;0,4684132699733577;0,1041621805711586;0,0414530094524546;0,9438700147710488;0,8765008576329331;0,7006603081438004;0,3505210204814948;0,4366545694490267;0,006570928938583;0,1341533180778032;0,1058201058201058;0,1363636363636363
UNSW-NB15;RANDOM_LINF;gaussian;10;15;1024;2;15,87451958656311;82,66847205162048;49,41335082349512;0,6274231161638245;0,7621886173098125;0,6274231161638245;0,652033794227816;0,5366535179304057;0,3984594594594595;0,0190814435718697;0,6556182498620087;0,1914885648961362;0,2738667257089251;0,0679468242245199;0,006861063464837;0,0193201271704573;0,0326086956521739;0,0410755526228967;0,0025965767579884;0,0185926773455377;0,0238095238095238;0,0227272727272727;0,1332896079288733;0,3684204682751865;0,1332896079288733;0,0584393810603974;0,0123152994768738;0,9889189189189188;0,007323744816024;0,5614493561285904;0,1115284613649445;0,0444107154136093;0,001477104874446;0,0017152658662092;0,0048911714355588;0,0109593963348904;0,0049488617617947;0,0076307561867415;0,0037185354691075;0,0026455026455026;0,0
UNSW-NB15;RANDOM_L2;gaussian;10;15;1024;2;15,87451958656311;79,4170470237732;49,55910217169509;0,6274231161638245;0,7621886173098125;0,6274231161638245;0,652033794227816;0,5366535179304057;0,3984594594594595;0,0190814435718697;0,6556182498620087;0,1914885648961362;0,2738667257089251;0,0679468242245199;0,006861063464837;0,0193201271704573;0,0326086956521739;0,0410755526228967;0,0025965767579884;0,0185926773455377;0,0238095238095238;0,0227272727272727;0,1318320944468736;0,3593972222956933;0,1318320944468736;0,0566588048217471;0,0089898117165007;0,989162162162162;0,0076546369010853;0,5595704453554801;0,1104669192060323;0,0432680441607286;0,0044313146233382;0,0034305317324185;0,0051357300073367;0,0106899029823931;0,0059386341141537;0,0075247734619257;0,0062929061784897;0,0052910052910052;0,0
UNSW-NB15;FGSM;gaussian;10;15;1024;3;20,934502840042114;141,13714742660522;46,33556818733907;0,6074308895690619;0,7412965234334894;0,6074308895690619;0,6369458085363261;0,513256334824088;0,3961621621621621;0,0197652872143298;0,6575962371383216;0,1778715398795702;0,2590657524369773;0,0147710487444608;0,0;0,0085595500122279;0,017696730147323;0,0656548993731441;0,010174341582322;0,0174485125858123;0,0079365079365079;0,0;0,1440752076956712;0,1755702903781744;0,1440752076956712;0,129275470993521;-0,0588684662083232;0,8347837837837838;0,2690152651548575;0,491512898899478;0,1437197407046176;0,0479227543759004;0,9335302806499262;0,8610634648370498;0,6872095866960137;0,3855551563061444;0,4533157373804025;0,0051401621535689;0,2989130434782608;0,1613756613756613;0,1818181818181818
UNSW-NB15;RANDOM_LINF;gaussian;10;15;1024;3;20,934502840042114;84,5647120475769;47,0339600641306;0,6074308895690619;0,7412965234334894;0,6074308895690619;0,6369458085363261;0,513256334824088;0,3961621621621621;0,0197652872143298;0,6575962371383216;0,1778715398795702;0,2590657524369773;0,0147710487444608;0,0;0,0085595500122279;0,017696730147323;0,0656548993731441;0,010174341582322;0,0174485125858123;0,0079365079365079;0,0;0,1370912889277559;0,5031491931887896;0,1370912889277559;0,0569542425886532;0,0201312979715366;0,9899189189189188;0,0048530839142327;0,5783473857937157;0,1208147611980638;0,0431443146527642;0,0;0,0017152658662092;0,0034238200048911;0,0077254761049227;0,0054437479379742;0,0040273435430024;0,0022883295194508;0,0026455026455026;0,0227272727272727
UNSW-NB15;RANDOM_L2;gaussian;10;15;1024;3;20,934502840042114;83,82507419586182;47,29631249089054;0,6074308895690619;0,7412965234334894;0,6074308895690619;0,6369458085363261;0,513256334824088;0,3961621621621621;0,0197652872143298;0,6575962371383216;0,1778715398795702;0,2590657524369773;0,0147710487444608;0,0;0,0085595500122279;0,017696730147323;0,0656548993731441;0,010174341582322;0,0174485125858123;0,0079365079365079;0,0;0,1344677646601564;0,5138028087377354;0,1344677646601564;0,0546573790005471;0,0154359432893601;0,9903513513513512;0,0037942292420365;0,5818213469334393;0,1197558364145358;0,0415130145056236;0,001477104874446;0,0017152658662092;0,0041574957202249;0,0059288537549407;0,0029693170570768;0,0032324731068835;0,0022883295194508;0,0;0,0
UNSW-NB15;FGSM;gaussian;10;15;2048;2;15,868971347808838;87,167151927948;49,36962541903512;0,613090900257494;0,7547366432257142;0,613090900257494;0,6416766825479662;0,5223775970335759;0,3994864864864865;0,0173608047295508;0,6514132456467472;0,1926628879973598;0,2626439456548343;0,0147710487444608;0,0051457975986277;0,012227928588897;0,0267696730147323;0,0524579346750247;0,0018017063218695;0,0197368421052631;0,0105820105820105;0,0227272727272727;0,1193946460671427;0,15413971402659;0,1193946460671427;0,0965110941414958;-0,0500267236024974;0,9011351351351352;0,2182564193064501;0,423933475597563;0,08874912339299;0,0401602495858691;0,8670605612998523;0,7821612349914236;0,6409880166299828;0,2991376212720086;0,3802375453645661;0,0031794817444756;0,1387299771167048;0,1164021164021164;0,1363636363636363
UNSW-NB15;RANDOM_LINF;gaussian;10;15;2048;2;15,868971347808838;93,09124064445496;48,19632706602536;0,613090900257494;0,7547366432257142;0,613090900257494;0,6416766825479662;0,5223775970335759;0,3994864864864865;0,0173608047295508;0,6514132456467472;0,1926628879973598;0,2626439456548343;0,0147710487444608;0,0051457975986277;0,012227928588897;0,0267696730147323;0,0524579346750247;0,0018017063218695;0,0197368421052631;0,0105820105820105;0,0227272727272727;0,1311276295972404;0,341063050272705;0,1311276295972404;0,0500793217668025;0,0027565184010038;0,9884324324324324;0,0058237006970793;0,5727597236982284;0,1143478714726438;0,0377533001822328;0,0;0,0;0,0046466128637808;0,010600071864894;0,0044539755856153;0,0042393089926342;0,0054347826086956;0,0;0,0227272727272727
