Dataset;Attack;Binarization;Resolution;AddressSize;TrainTime_s;InferTime_Adv_s;Acc_Drop_pp;Clean_Acc;Clean_Precision;Clean_Recall;Clean_F1;Clean_MCC;Clean_FAR;Clean_ASR;Clean_AUC;Clean_PR_AUC;Clean_F1_Macro;Clean_Miss_analysis;Clean_Miss_backdoor;Clean_Miss_dos;Clean_Miss_exploits;Clean_Miss_fuzzers;Clean_Miss_generic;Clean_Miss_reconnaissance;Clean_Miss_shellcode;Clean_Miss_worms;Adv_Acc;Adv_Precision;Adv_Recall;Adv_F1;Adv_MCC;Adv_FAR;Adv_ASR;Adv_AUC;Adv_PR_AUC;Adv_F1_Macro;Adv_Miss_analysis;Adv_Miss_backdoor;Adv_Miss_dos;Adv_Miss_exploits;Adv_Miss_fuzzers;Adv_Miss_generic;Adv_Miss_reconnaissance;Adv_Miss_shellcode;Adv_Miss_worms
UNSW-NB15;FGSM;distributive;1;5;0,307748794555664;481,5728588104248;28,127581013457704;0,6533061264150026;0,6145147934176803;0,6533061264150026;0,6237725619851833;0,5104998428413834;0,2145135135135135;0,2478822906556075;0,5970205288425363;0,2043078154405807;0,2278102198759094;0,1299852289512555;0,0686106346483705;0,2384446074834923;0,3532159540064678;0,4800395908940943;0,0261777330295161;0,7136727688787186;0,7619047619047619;0,3409090909090909;0,3720303162804256;0,2317350608472576;0,3720303162804256;0,2813484257544544;0,0038261277580534;0,2217027027027027;0,7469999117621107;0,5012047935869433;0,1019682853493857;0,084104939161632;0,740029542097489;0,758147512864494;0,7163120567375887;0,7586237872799138;0,8746288353678654;0,6911663398865985;0,8215102974828375;0,8333333333333334;0,3181818181818182
UNSW-NB15;RANDOM_LINF;distributive;1;5;0,307748794555664;287,62052059173584;35,38356896467958;0,6533061264150026;0,6145147934176803;0,6533061264150026;0,6237725619851833;0,5104998428413834;0,2145135135135135;0,2478822906556075;0,5970205288425363;0,2043078154405807;0,2278102198759094;0,1299852289512555;0,0686106346483705;0,2384446074834923;0,3532159540064678;0,4800395908940943;0,0261777330295161;0,7136727688787186;0,7619047619047619;0,3409090909090909;0,2994704367682068;0,4712549503039822;0,2994704367682068;0,2594905520258064;0,0141757172419436;0,4414324324324324;0,5042133592164475;0,49941737399284;0,1011150811403906;0,0772742524588966;0,5036927621861153;0,4751286449399657;0,4993886035705551;0,5458138699245418;0,5344770702738371;0,4672778337131048;0,527745995423341;0,5185185185185185;0,5
UNSW-NB15;RANDOM_L2;distributive;1;5;0,307748794555664;285,7168476581573;35,46373220618957;0,6533061264150026;0,6145147934176803;0,6533061264150026;0,6237725619851833;0,5104998428413834;0,2145135135135135;0,2478822906556075;0,5970205288425363;0,2043078154405807;0,2278102198759094;0,1299852289512555;0,0686106346483705;0,2384446074834923;0,3532159540064678;0,4800395908940943;0,0261777330295161;0,7136727688787186;0,7619047619047619;0,3409090909090909;0,2986688043531069;0,24262482955925;0,2986688043531069;0,2586093084372978;0,012605209019994;0,4431891891891892;0,5069487337862878;0,4991941081528165;0,1010078974616252;0,0770788982617978;0,4963072378138848;0,5197255574614065;0,4962093421374419;0,5480596478620194;0,5427251732101617;0,4706692809072121;0,5225972540045767;0,4947089947089947;0,5909090909090909
UNSW-NB15;FGSM;distributive;1;10;0,2936141490936279;64,75694251060486;48,41252489918865;0,6677719477238497;0,6347361492734643;0,6677719477238497;0,6470372462122371;0,52534207221082;0,160027027027027;0,2331465631342098;0,6049392651327851;0,2097640497255719;0,2484629046619584;0,0915805022156573;0,1029159519725557;0,1565174859378821;0,4168163851958318;0,5404157043879908;0,0152615123734831;0,4021739130434782;0,5105820105820106;0,0909090909090909;0,1836466987319632;0,3816969033754127;0,1836466987319632;0,1538374690557552;-0,2055227760058753;0,6255945945945945;0,7829347921997706;0,4700476154834346;0,0939343976920355;0,0467932443089502;0,8552437223042836;0,8970840480274442;0,7813646368305209;0,6956521739130435;0,500329924117453;0,9748291028562344;0,5128718535469108;0,5978835978835979;0,0681818181818181
UNSW-NB15;RANDOM_LINF;distributive;1;10;0,2936141490936279;45,79386687278748;37,86255647864743;0,6677719477238497;0,6347361492734643;0,6677719477238497;0,6470372462122371;0,52534207221082;0,160027027027027;0,2331465631342098;0,6049392651327851;0,2097640497255719;0,2484629046619584;0,0915805022156573;0,1029159519725557;0,1565174859378821;0,4168163851958318;0,5404157043879908;0,0152615123734831;0,4021739130434782;0,5105820105820106;0,0909090909090909;0,2891463829373755;0,313370816741128;0,2891463829373755;0,2631425430139106;0,0258867287448701;0,4531891891891892;0,4857275213976881;0,5035415278810469;0,1019035025745575;0,0841532957083547;0,5642540620384048;0,5385934819897084;0,5201760821716801;0,4997305066475027;0,4859782250082481;0,4645752742303005;0,4919908466819222;0,4894179894179894;0,3409090909090909
UNSW-NB15;RANDOM_L2;distributive;1;10;0,2936141490936279;45,84029459953308;38,02895593450906;0,6677719477238497;0,6347361492734643;0,6677719477238497;0,6470372462122371;0,52534207221082;0,160027027027027;0,2331465631342098;0,6049392651327851;0,2097640497255719;0,2484629046619584;0,0915805022156573;0,1029159519725557;0,1565174859378821;0,4168163851958318;0,5404157043879908;0,0152615123734831;0,4021739130434782;0,5105820105820106;0,0909090909090909;0,2874823883787591;0,3018038654214204;0,2874823883787591;0,2621029073326629;0,0237406507313535;0,4547027027027027;0,4865216624018353;0,5031087490692522;0,1017527776711103;0,0842325946882322;0,534711964549483;0,5111492281303602;0,5138175593054537;0,4954186130075458;0,4828439458924447;0,4728419267659371;0,4971395881006865;0,4576719576719577;0,4090909090909091
UNSW-NB15;FGSM;distributive;1;15;0,2718989849090576;14,696049213409424;14,561774279745416;0,6041150463975125;0,6813235378302338;0,6041150463975125;0,6264480150526706;0,4839998634565238;0,3717837837837838;0,1037677578752316;0,6116789098697197;0,2183867631095133;0,2686631612465289;0,0960118168389955;0,0274442538593482;0,1098067987282954;0,3095580309019044;0,0859452325965028;0,0085316093476763;0,0117276887871853;0,0132275132275132;0,0;0,4584973036000583;0,4803867159905469;0,4584973036000583;0,415590875218212;0,1739797751084526;0,1714054054054054;0,5846642548310245;0,5207263316040706;0,1314728103946143;0,1230898187013554;0,9763663220088626;0,9691252144082332;0,9329909513328444;0,8695652173913043;0,7796106895414054;0,1715330401144613;0,977974828375286;0,9497354497354498;0,9545454545454546
UNSW-NB15;RANDOM_LINF;distributive;1;15;0,2718989849090576;11,94697332382202;19,22338823300781;0,6041150463975125;0,6813235378302338;0,6041150463975125;0,6264480150526706;0,4839998634565238;0,3717837837837838;0,1037677578752316;0,6116789098697197;0,2183867631095133;0,2686631612465289;0,0960118168389955;0,0274442538593482;0,1098067987282954;0,3095580309019044;0,0859452325965028;0,0085316093476763;0,0117276887871853;0,0132275132275132;0,0;0,4118811640674343;0,3526729164148084;0,4118811640674342;0,3067670000302734;0,0405783401507186;0,1362162162162162;0,8053692755669284;0,5042713436726679;0,10241326892273;0,0872365854285721;0,8286558345642541;0,8336192109777015;0,8310100269014429;0,8447718289615522;0,8434510062685582;0,7575645169837316;0,8278032036613272;0,8465608465608465;0,8409090909090909
UNSW-NB15;RANDOM_L2;distributive;1;15;0,2718989849090576;11,916892766952516;19,256182286352807;0,6041150463975125;0,6813235378302338;0,6041150463975125;0,6264480150526706;0,4839998634565238;0,3717837837837838;0,1037677578752316;0,6116789098697197;0,2183867631095133;0,2686631612465289;0,0960118168389955;0,0274442538593482;0,1098067987282954;0,3095580309019044;0,0859452325965028;0,0085316093476763;0,0117276887871853;0,0132275132275132;0,0;0,4115532235339844;0,3583968992248524;0,4115532235339844;0,3082048120944404;0,041744274544863;0,1397567567567567;0,8028765551927998;0,5046165475923164;0,1025930194037496;0,0885022458451053;0,8508124076809453;0,8456260720411664;0,8302763511861091;0,8419870643190801;0,8363576377433191;0,7542260611520322;0,829233409610984;0,8518518518518519;0,7954545454545454
UNSW-NB15;FGSM;distributive;1;20;0,2812883853912353;3,878663301467896;37,82611864159743;0,6605208181509012;0,6558168951476635;0,6605208181509012;0,6469169570329034;0,5347093455042481;0,2418648648648648;0,1576811082678902;0,6064318106971317;0,2142584431698599;0,243129277112803;0,0915805022156573;0,0651801029159519;0,1132306187331866;0,25;0,4940613658858462;0,0095384452334269;0,1524599542334096;0,2354497354497354;0,1136363636363636;0,2822596317349269;0,3309341016727213;0,2822596317349269;0,2857135603439608;0,110016225997891;0,4695135135135135;0,2174402188299656;0,5222520734644893;0,1133223953870029;0,0853314151124785;0,0841949778434268;0,144082332761578;0,1274150158963071;0,2658102766798419;0,2756516001319696;0,1091092151979227;0,6618993135011442;0,4841269841269841;0,2045454545454545
