Dataset;Attack;Binarization;Estimators;Criterion;MaxDepth;MinLeaf;MinSplit;TrainTime_s;InferTime_Adv_s;Acc_Drop_pp;Clean_Acc;Clean_Precision;Clean_Recall;Clean_F1;Clean_MCC;Clean_FAR;Clean_ASR;Clean_AUC;Clean_PR_AUC;Clean_Miss_Attack;Adv_Acc;Adv_Precision;Adv_Recall;Adv_F1;Adv_MCC;Adv_FAR;Adv_ASR;Adv_AUC;Adv_PR_AUC;Adv_Miss_Attack
UNSW-NB15;FGSM;N/A;100;gini;10;1;2;2,663158655166626;0,2304756641387939;36,40504299664772;0,8149808094058203;0,7486821884759655;0,999470572663902;0,8560874453230546;0,663241746508899;0,411054054054054;0,0005294273360981;0,97909675523048;0,9842916548530004;0,0005294273360981;0,4509303794393431;0,5011874246079614;0,5865834289243801;0,5405333983819165;-0,1337255281137626;0,7152702702702702;0,4134165710756198;0,3419816035924745;0,4312172020688837;0,4134165710756198
UNSW-NB15;RANDOM_LINF;N/A;100;gini;10;1;2;2,663158655166626;0,2543210983276367;9,402176553466449;0,8149808094058203;0,7486821884759655;0,999470572663902;0,8560874453230546;0,663241746508899;0,411054054054054;0,0005294273360981;0,97909675523048;0,9842916548530004;0,0005294273360981;0,7209590438711558;0,689886533496399;0,8959454689843819;0,7795286169436874;0,44357274567155;0,4934324324324324;0,1040545310156181;0,771740048793168;0,7609424141360963;0,1040545310156181
UNSW-NB15;RANDOM_L2;N/A;100;gini;10;1;2;2,663158655166626;0,2874271869659424;9,70946897925472;0,8149808094058203;0,7486821884759655;0,999470572663902;0,8560874453230546;0,663241746508899;0,411054054054054;0,0005294273360981;0,97909675523048;0,9842916548530004;0,0005294273360981;0,7178861196132731;0,6883424501133207;0,8910703255978117;0,7766956688939095;0,4361972263562214;0,4942972972972973;0,1089296744021883;0,7704334072226289;0,7620519187687007;0,1089296744021883
