Dataset;Attack;Binarization;Resolution;AddressSize;TrainTime_s;InferTime_Adv_s;Acc_Drop_pp;Clean_Acc;Clean_Precision;Clean_Recall;Clean_F1;Clean_MCC;Clean_FAR;Clean_ASR;Clean_AUC;Clean_PR_AUC;Clean_Miss_Attack;Adv_Acc;Adv_Precision;Adv_Recall;Adv_F1;Adv_MCC;Adv_FAR;Adv_ASR;Adv_AUC;Adv_PR_AUC;Adv_Miss_Attack
UNSW-NB15;FGSM;distributive;1;5;0,2902872562408447;18,98414635658264;36,73419812466599;0,7772797940047612;0,7376613315021218;0,9241595341039442;0,8204455324357405;0,5607829786699818;0,4026756756756757;0,0758404658960557;0,7607419292141342;0,8517893134326789;0,0758404658960557;0,4099378127581013;0,0045745654162854;0,0003308920850613;0,0006171442677583;-0,2235577729983241;0,0882162162162162;0,9996691079149388;0,4560573379344225;0,2776616390164266;0,9996691079149388
UNSW-NB15;RANDOM_LINF;distributive;1;5;0,2902872562408447;16,343847036361694;31,3280377010154;0,7772797940047612;0,7376613315021218;0,9241595341039442;0,8204455324357405;0,5607829786699818;0,4026756756756757;0,0758404658960557;0,7607419292141342;0,8517893134326789;0,0758404658960557;0,4639994169946072;0,6426198386331277;0,0597370510897379;0,1093125580268841;0,0429653637075292;0,0407027027027027;0,940262948910262;0,5095171741935176;0,610032839264581;0,940262948910262
UNSW-NB15;RANDOM_L2;distributive;1;5;0,2902872562408447;15,99377703666687;31,355973376087064;0,7772797940047612;0,7376613315021218;0,9241595341039442;0,8204455324357405;0,5607829786699818;0,4026756756756757;0,0758404658960557;0,7607419292141342;0,8517893134326789;0,0758404658960557;0,4637200602438905;0,6401902497027349;0,0593840995323391;0,1086864364010739;0,0417838534125044;0,0408918918918918;0,9406159004676607;0,5092461038202236;0,608738736586152;0,9406159004676607
UNSW-NB15;FGSM;distributive;1;10;0,3104524612426758;9,024556159973145;41,93752125540495;0,7355949084195695;0,6972888792136243;0,9185564281302392;0,7927728964578434;0,4791960392770512;0,4885675675675676;0,0814435718697608;0,7149944302813358;0,8303440694033605;0,0814435718697608;0,31621969586552;0,0059475533928088;0,0014559251742698;0,0023392227400804;-0,4321563597374296;0,2981351351351351;0,9985440748257302;0,3516603950195673;0,2786009279343677;0,9985440748257302
UNSW-NB15;RANDOM_LINF;distributive;1;10;0,3104524612426758;11,596830606460571;25,09109459262498;0,7355949084195695;0,6972888792136243;0,9185564281302392;0,7927728964578434;0,4791960392770512;0,4885675675675676;0,0814435718697608;0,7149944302813358;0,8303440694033605;0,0814435718697608;0,4846839624933197;0,5718525847143211;0,2550075002205947;0,3527239995728256;0,0243729757900867;0,2339189189189189;0,7449924997794053;0,5105442906508378;0,6185264812761836;0,7449924997794053
UNSW-NB15;RANDOM_L2;distributive;1;10;0,3104524612426758;9,323780059814451;25,38502647816159;0,7355949084195695;0,6972888792136243;0,9185564281302392;0,7927728964578434;0,4791960392770512;0,4885675675675676;0,0814435718697608;0,7149944302813358;0,8303440694033605;0,0814435718697608;0,4817446436379536;0,5671220446640117;0,248169063795994;0,3452561800856235;0,0187130363066013;0,232081081081081;0,751830936204006;0,5080439913574565;0,6146246146196448;0,751830936204006
UNSW-NB15;FGSM;distributive;1;15;0,287585973739624;1,975733757019043;11,119613273089444;0,7520648107661663;0,7150748304016847;0,9138136415776936;0,8023202889708801;0,5094675004770702;0,4461081081081081;0,0861863584223065;0,7338527667347926;0,838171340882076;0,0861863584223065;0,6408686780352718;0,6074339612354497;0,9830803847171976;0,7508972349997473;0,3268295148260333;0,7784054054054054;0,0169196152828024;0,6023374896558962;0,7999151431458811;0,0169196152828024
UNSW-NB15;RANDOM_LINF;distributive;1;15;0,287585973739624;2,8982934951782227;21,46310061701404;0,7520648107661663;0,7150748304016847;0,9138136415776936;0,8023202889708801;0,5094675004770702;0,4461081081081081;0,0861863584223065;0,7338527667347926;0,838171340882076;0,0861863584223065;0,5374338045960259;0,5616054125726719;0,7287787876114004;0,6343631790164942;0,0349998837074641;0,697;0,2712212123885996;0,5158893938057002;0,7198593011803129;0,2712212123885996
UNSW-NB15;RANDOM_L2;distributive;1;15;0,287585973739624;3,0040059089660645;21,074430355147456;0,7520648107661663;0,7150748304016847;0,9138136415776936;0,8023202889708801;0,5094675004770702;0,4461081081081081;0,0861863584223065;0,7338527667347926;0,838171340882076;0,0861863584223065;0,5413205072146917;0,5643384228244975;0,7321759463513633;0,6373936589019261;0,0436759238540324;0,6925135135135135;0,2678240536486367;0,5198312164189249;0,7219891478585906;0,2678240536486367
UNSW-NB15;FGSM;distributive;1;20;0,2850816249847412;2,551429510116577;34,04265656123986;0,7890492153719089;0,7359194141666385;0,962123885996647;0,8339547601292567;0,5971767950276303;0,423;0,037876114003353;0,7695619429983234;0,8594489444507823;0,037876114003353;0,4486226497595103;0,4978313906207644;0,1620488837906997;0,2445080548528824;-0,0495711706630685;0,2002702702702702;0,8379511162093003;0,4808893067602147;0,560628083569236;0,8379511162093003
