Dataset;Attack;Binarization;Resolution;AddressSize;BloomSize;Hash;TrainTime_s;InferTime_Adv_s;Acc_Drop_pp;Clean_Acc;Clean_Precision;Clean_Recall;Clean_F1;Clean_MCC;Clean_FAR;Clean_ASR;Clean_AUC;Clean_PR_AUC;Clean_Miss_Attack;Adv_Acc;Adv_Precision;Adv_Recall;Adv_F1;Adv_MCC;Adv_FAR;Adv_ASR;Adv_AUC;Adv_PR_AUC;Adv_Miss_Attack
Bot-IoT;C&W;gaussian;2;5;1024;2;30,87634920002893;1,0014647997450083;0,0;0,9999545685832668;0,9999545644548644;1,0;0,9999772817113232;0,8164780317333975;0,3333333333333333;0,0;0,9999897008084864;0,9999999985962328;0,0;0,9999545685832668;0,9999545644548644;1,0;0,9999772817113232;0,8164780317333975;0,3333333333333333;0,0;0,9999897008084864;0,9999999985962328;0,0
Bot-IoT;C&W;gaussian;2;5;1024;3;30,23443379998207;0,9492670998442918;0,0;0,9999545685832668;0,9999545644548644;1,0;0,9999772817113232;0,8164780317333975;0,3333333333333333;0,0;0,9999897008084864;0,9999999985962328;0,0;0,9999545685832668;0,9999545644548644;1,0;0,9999772817113232;0,8164780317333975;0,3333333333333333;0,0;0,9999897008084864;0,9999999985962328;0,0
Bot-IoT;C&W;gaussian;2;5;2048;2;29,9611903000623;0,9424389000050724;0,0;0,9999545685832668;0,9999545644548644;1,0;0,9999772817113232;0,8164780317333975;0,3333333333333333;0,0;0,9999897008084864;0,9999999985962328;0,0;0,9999545685832668;0,9999545644548644;1,0;0,9999772817113232;0,8164780317333975;0,3333333333333333;0,0;0,9999897008084864;0,9999999985962328;0,0
Bot-IoT;C&W;gaussian;2;5;2048;3;31,166047499980778;1,0111108997371048;0,0;0,9999545685832668;0,9999545644548644;1,0;0,9999772817113232;0,8164780317333975;0,3333333333333333;0,0;0,9999897008084864;0,9999999985962328;0,0;0,9999545685832668;0,9999545644548644;1,0;0,9999772817113232;0,8164780317333975;0,3333333333333333;0,0;0,9999897008084864;0,9999999985962328;0,0
Bot-IoT;C&W;gaussian;2;10;1024;2;23,66133069992065;0,600378500064835;0,0;0,9999818274333068;0,9999818252864788;1,0;0,9999909125606586;0,9309408763440792;0,1333333333333333;0,0;0,9999951533216408;0,999999999339352;0,0;0,9999818274333068;0,9999818252864788;1,0;0,9999909125606586;0,9309408763440792;0,1333333333333333;0,0;0,9999951533216408;0,999999999339352;0,0
Bot-IoT;C&W;gaussian;2;10;1024;3;23,827805100008845;0,6911639000754803;0,0;0,9999818274333068;0,9999818252864788;1,0;0,9999909125606586;0,9309408763440792;0,1333333333333333;0,0;0,9999951533216408;0,999999999339352;0,0;0,9999818274333068;0,9999818252864788;1,0;0,9999909125606586;0,9309408763440792;0,1333333333333333;0,0;0,9999951533216408;0,999999999339352;0,0
Bot-IoT;C&W;gaussian;2;10;2048;2;23,557589400094;0,7343836999498308;0,0;0,9999818274333068;0,9999818252864788;1,0;0,9999909125606586;0,9309408763440792;0,1333333333333333;0,0;0,9999951533216408;0,999999999339352;0,0;0,9999818274333068;0,9999818252864788;1,0;0,9999909125606586;0,9309408763440792;0,1333333333333333;0,0;0,9999951533216408;0,999999999339352;0,0
Bot-IoT;C&W;gaussian;2;10;2048;3;23,601134999888018;0,6153608001768589;0,0;0,9999818274333068;0,9999818252864788;1,0;0,9999909125606586;0,9309408763440792;0,1333333333333333;0,0;0,9999951533216408;0,999999999339352;0,0;0,9999818274333068;0,9999818252864788;1,0;0,9999909125606586;0,9309408763440792;0,1333333333333333;0,0;0,9999951533216408;0,999999999339352;0,0
Bot-IoT;C&W;gaussian;2;15;1024;2;22,00908019999042;0,5227701999247074;0,0;0,9999818274333068;0,9999818252864788;1,0;0,9999909125606586;0,9309408763440792;0,1333333333333333;0,0;0,999997273743423;0,9999999996283774;0,0;0,9999818274333068;0,9999818252864788;1,0;0,9999909125606586;0,9309408763440792;0,1333333333333333;0,0;0,999997273743423;0,9999999996283774;0,0
Bot-IoT;C&W;gaussian;2;15;1024;3;22,074342799838632;0,5378529999870807;0,0;0,9999818274333068;0,9999818252864788;1,0;0,9999909125606586;0,9309408763440792;0,1333333333333333;0,0;0,999997273743423;0,9999999996283774;0,0;0,9999818274333068;0,9999818252864788;1,0;0,9999909125606586;0,9309408763440792;0,1333333333333333;0,0;0,999997273743423;0,9999999996283774;0,0
Bot-IoT;C&W;gaussian;2;15;2048;2;23,459761700127277;0,591729000210762;0,0;0,9999818274333068;0,9999818252864788;1,0;0,9999909125606586;0,9309408763440792;0,1333333333333333;0,0;0,999997273743423;0,9999999996283774;0,0;0,9999818274333068;0,9999818252864788;1,0;0,9999909125606586;0,9309408763440792;0,1333333333333333;0,0;0,999997273743423;0,9999999996283774;0,0
Bot-IoT;C&W;gaussian;2;15;2048;3;21,836030999897048;0,529201100114733;0,0;0,9999818274333068;0,9999818252864788;1,0;0,9999909125606586;0,9309408763440792;0,1333333333333333;0,0;0,999997273743423;0,9999999996283774;0,0;0,9999818274333068;0,9999818252864788;1,0;0,9999909125606586;0,9309408763440792;0,1333333333333333;0,0;0,999997273743423;0,9999999996283774;0,0
Bot-IoT;C&W;gaussian;2;20;1024;2;21,308480700012296;0,689740400062874;0,0;0,9999818274333068;0,9999818252864788;1,0;0,9999909125606586;0,9309408763440792;0,1333333333333333;0,0;0,999997273743423;0,9999999996283776;0,0;0,9999818274333068;0,9999818252864788;1,0;0,9999909125606586;0,9309408763440792;0,1333333333333333;0,0;0,999997273743423;0,9999999996283776;0,0
Bot-IoT;C&W;gaussian;2;20;1024;3;20,765849499963224;0,5443440999370068;0,0;0,9999818274333068;0,9999818252864788;1,0;0,9999909125606586;0,9309408763440792;0,1333333333333333;0,0;0,999997273743423;0,9999999996283776;0,0;0,9999818274333068;0,9999818252864788;1,0;0,9999909125606586;0,9309408763440792;0,1333333333333333;0,0;0,999997273743423;0,9999999996283776;0,0
Bot-IoT;C&W;gaussian;2;20;2048;2;20,743813100038096;0,4723467999137938;0,0;0,9999818274333068;0,9999818252864788;1,0;0,9999909125606586;0,9309408763440792;0,1333333333333333;0,0;0,999997273743423;0,9999999996283776;0,0;0,9999818274333068;0,9999818252864788;1,0;0,9999909125606586;0,9309408763440792;0,1333333333333333;0,0;0,999997273743423;0,9999999996283776;0,0
