Dataset,Attack,Resolution,AddressSize,TrainTime_s,InferTime_Adv_s,Acc_Drop_pp,Clean_Acc,Clean_Precision,Clean_Recall,Clean_F1,Clean_MCC,Clean_FAR,Clean_ASR,Clean_AUC,Clean_PR_AUC,Clean_F1_Macro,Clean_Miss_analysis,Clean_Miss_backdoor,Clean_Miss_dos,Clean_Miss_exploits,Clean_Miss_fuzzers,Clean_Miss_generic,Clean_Miss_reconnaissance,Clean_Miss_shellcode,Clean_Miss_worms,Adv_Acc,Adv_Precision,Adv_Recall,Adv_F1,Adv_MCC,Adv_FAR,Adv_ASR,Adv_AUC,Adv_PR_AUC,Adv_F1_Macro,Adv_Miss_analysis,Adv_Miss_backdoor,Adv_Miss_dos,Adv_Miss_exploits,Adv_Miss_fuzzers,Adv_Miss_generic,Adv_Miss_reconnaissance,Adv_Miss_shellcode,Adv_Miss_worms
UNSW-NB15,FGSM,1,5,0.29482340812683105,1055.3958928585052,28.580624787445945,0.6987805470533935,0.7326201308038357,0.6987805470533935,0.6450166786156678,0.5714399421824954,0.15032432432432433,0.252250066178417,0.6045041001741825,0.21525611366983982,0.22724297531024423,0.08567208271787297,0.07890222984562607,0.12961604304230864,0.28790873158462094,0.697129660178159,0.019394838641301468,0.7505720823798627,0.9788359788359788,0.22727272727272727,0.4129742991789341,0.4453017988491359,0.4129742991789341,0.3186675131758811,0.05463899459707837,0.16245945945945947,0.8139945292508604,0.5096584368980149,0.10602633895618416,0.09900952800076399,0.7813884785819794,0.7564322469982847,0.7510393739300563,0.7724577793747754,0.8160673045199605,0.9090138307455885,0.5389016018306636,0.6402116402116402,0.75
UNSW-NB15,RANDOM_LINF,1,5,0.29482340812683105,820.798267364502,26.395569159014716,0.6987805470533935,0.7326201308038357,0.6987805470533935,0.6450166786156678,0.5714399421824954,0.15032432432432433,0.252250066178417,0.6045041001741825,0.21525611366983982,0.22724297531024423,0.08567208271787297,0.07890222984562607,0.12961604304230864,0.28790873158462094,0.697129660178159,0.019394838641301468,0.7505720823798627,0.9788359788359788,0.22727272727272727,0.4348248554632464,0.5288911659323053,0.4348248554632464,0.3811614872098629,0.1856097743092198,0.17370270270270272,0.510985617224036,0.5324875728237627,0.12037313009399016,0.1242111278905281,0.23929098966026588,0.25900514579759865,0.3570555147957936,0.6174092705713259,0.6369185087429892,0.43792061893911294,0.6072654462242563,0.6322751322751323,0.7045454545454546
UNSW-NB15,RANDOM_L2,1,5,0.29482340812683105,800.9048805236816,26.82189185249963,0.6987805470533935,0.7326201308038357,0.6987805470533935,0.6450166786156678,0.5714399421824954,0.15032432432432433,0.252250066178417,0.6045041001741825,0.21525611366983982,0.22724297531024423,0.08567208271787297,0.07890222984562607,0.12961604304230864,0.28790873158462094,0.697129660178159,0.019394838641301468,0.7505720823798627,0.9788359788359788,0.22727272727272727,0.43056162852839724,0.5245511876458502,0.43056162852839724,0.3780810694036368,0.17939513431466494,0.18172972972972973,0.5118018177005206,0.5315134183693321,0.11968973789473665,0.12306453389415313,0.24963072378138848,0.2555746140651801,0.34849596478356565,0.6228889687387711,0.6232266578686902,0.44348471199194534,0.6032608695652174,0.6349206349206349,0.6363636363636364
UNSW-NB15,FGSM,1,10,0.2822704315185547,607.9948296546936,44.489384443472765,0.6986347957051936,0.6534431554232801,0.6986347957051936,0.6451041193718704,0.5710287709157049,0.1501891891891892,0.2524927203741287,0.6044720215244166,0.21521774847303354,0.22745929999880338,0.08567208271787297,0.07890222984562607,0.12961604304230864,0.2876392382321236,0.6997690531177829,0.019394838641301468,0.75,0.9788359788359788,0.22727272727272727,0.2537409512704659,0.42571711101017035,0.2537409512704659,0.21543024048715018,0.030753020427290292,0.6822972972972973,0.36962851848583783,0.5132383393232406,0.1040925747342603,0.0830599750142145,0.07090103397341212,0.03773584905660377,0.07385668867693812,0.09656845131153431,0.3683602771362587,0.6763287584123788,0.07408466819221968,0.1111111111111111,0.2727272727272727
UNSW-NB15,RANDOM_LINF,1,10,0.2822704315185547,348.16668462753296,43.82135743088957,0.6986347957051936,0.6534431554232801,0.6986347957051936,0.6451041193718704,0.5710287709157049,0.1501891891891892,0.2524927203741287,0.6044720215244166,0.21521774847303354,0.22745929999880338,0.08567208271787297,0.07890222984562607,0.12961604304230864,0.2876392382321236,0.6997690531177829,0.019394838641301468,0.75,0.9788359788359788,0.22727272727272727,0.2604212213962979,0.490991263213316,0.2604212213962979,0.26031349491234557,0.07828728414273575,0.6574324324324324,0.26365481337686403,0.5209014533976577,0.11085754365622644,0.09640304132084802,0.029542097488921712,0.04631217838765009,0.10467106872095867,0.24326266618756737,0.2773012207192346,0.3163584335753272,0.2820366132723112,0.3201058201058201,0.25
UNSW-NB15,RANDOM_L2,1,10,0.2822704315185547,345.0014111995697,44.067920128261186,0.6986347957051936,0.6534431554232801,0.6986347957051936,0.6451041193718704,0.5710287709157049,0.1501891891891892,0.2524927203741287,0.6044720215244166,0.21521774847303354,0.22745929999880338,0.08567208271787297,0.07890222984562607,0.12961604304230864,0.2876392382321236,0.6997690531177829,0.019394838641301468,0.75,0.9788359788359788,0.22727272727272727,0.25795559442258176,0.48185931721306796,0.25795559442258176,0.2580859947060821,0.07254842653321988,0.655918918918919,0.27219182917144624,0.5191724211745308,0.11014921042907384,0.09461367653479928,0.03840472673559823,0.036020583190394515,0.10613842015162632,0.2548508803449515,0.28340481689211483,0.3279105505802554,0.27831807780320367,0.34656084656084657,0.25
UNSW-NB15,FGSM,1,15,0.2732846736907959,378.9149613380432,41.89258125637662,0.6987076713792936,0.7176188012206064,0.6987076713792936,0.6453418462636663,0.5711821964778101,0.15032432432432433,0.2523603635401041,0.6045641895422188,0.21528566035870123,0.22779503017428948,0.08567208271787297,0.07890222984562607,0.12961604304230864,0.2876392382321236,0.698779280765424,0.019394838641301468,0.75,0.9788359788359788,0.22727272727272727,0.27978185881552736,0.27901772705337546,0.27978185881552736,0.24496736915108558,0.04052434968581383,0.6102972972972973,0.40812229771463865,0.5139579367418401,0.10470052057649244,0.08990556566490708,0.0930576070901034,0.04974271012006861,0.09953533871362191,0.17454186130075458,0.4660178159023425,0.6600074187907371,0.19336384439359267,0.24603174603174602,0.22727272727272727
UNSW-NB15,RANDOM_LINF,1,15,0.2732846736907959,266.49846720695496,41.682456396054995,0.6987076713792936,0.7176188012206064,0.6987076713792936,0.6453418462636663,0.5711821964778101,0.15032432432432433,0.2523603635401041,0.6045641895422188,0.21528566035870123,0.22779503017428948,0.08567208271787297,0.07890222984562607,0.12961604304230864,0.2876392382321236,0.698779280765424,0.019394838641301468,0.75,0.9788359788359788,0.22727272727272727,0.2818831074187436,0.3953042081562799,0.2818831074187436,0.28560643486170056,0.07331759865053152,0.5688108108108109,0.3132665666637254,0.5162109551906843,0.1073998834768134,0.10050800587091083,0.04874446085672083,0.0634648370497427,0.15138175593054537,0.34890406036651095,0.35252391949851536,0.3208097080175931,0.36498855835240274,0.38095238095238093,0.38636363636363635
UNSW-NB15,RANDOM_L2,1,15,0.2732846736907959,263.8384041786194,41.78448233979498,0.6987076713792936,0.7176188012206064,0.6987076713792936,0.6453418462636663,0.5711821964778101,0.15032432432432433,0.2523603635401041,0.6045641895422188,0.21528566035870123,0.22779503017428948,0.08567208271787297,0.07890222984562607,0.12961604304230864,0.2876392382321236,0.698779280765424,0.019394838641301468,0.75,0.9788359788359788,0.22727272727272727,0.2808628479813438,0.3852364576652626,0.2808628479813438,0.2845999628110738,0.07039022008713637,0.5694324324324325,0.3176564016588723,0.515515640216652,0.10694617673919375,0.09997180087840477,0.04579025110782865,0.048027444253859346,0.14575690877965272,0.3558210564139418,0.3606070603761135,0.3276455937682158,0.35755148741418763,0.3941798941798942,0.36363636363636365
UNSW-NB15,FGSM,1,20,0.2689485549926758,203.07438039779663,29.317883690424136,0.6985983578681436,0.6968050796879841,0.6985983578681436,0.6443664701092106,0.5705709296440494,0.15075675675675676,0.25165446042530665,0.6045633083763596,0.21424246548378573,0.22758170696729593,0.08567208271787297,0.07890222984562607,0.12790413303986306,0.2871900826446281,0.6963048498845266,0.01934184727889354,0.7488558352402745,0.9788359788359788,0.22727272727272727,0.40541952096390227,0.46930597528677687,0.40541952096390227,0.3144974282356383,0.07649461686312381,0.17124324324324325,0.7027927291979176,0.5112636979147492,0.10595254092208346,0.09258313357956671,0.7740029542097489,0.7478559176672385,0.7388114453411592,0.75700682716493,0.754041570438799,0.6872449790684119,0.488558352402746,0.48148148148148145,0.4772727272727273
