Dataset,Attack,Resolution,AddressSize,TrainTime_s,InferTime_Adv_s,Acc_Drop_pp,Clean_Acc,Clean_Precision,Clean_Recall,Clean_F1,Clean_MCC,Clean_FAR,Clean_ASR,Clean_AUC,Clean_PR_AUC,Clean_F1_Macro,Clean_Miss_ddos,Clean_Miss_dos,Clean_Miss_reconnaissance,Clean_Miss_theft,Adv_Acc,Adv_Precision,Adv_Recall,Adv_F1,Adv_MCC,Adv_FAR,Adv_ASR,Adv_AUC,Adv_PR_AUC,Adv_F1_Macro,Adv_Miss_ddos,Adv_Miss_dos,Adv_Miss_reconnaissance,Adv_Miss_theft
Bot-IoT,FGSM,1,5,0.2835514545440674,1.0300862789154053,51.20574980010177,0.9822454023406266,0.9825230917640336,0.9822454023406266,0.9788456576517686,0.9660166882624515,1.0,0.0,0.7333096647108726,0.4704522129867764,0.505095148835186,0.0,0.0,0.0,0.0,0.47018790433960894,0.3963889472865174,0.47018790433960894,0.37702270774960656,-0.13804843226243568,1.0,0.0,0.4817932346183963,0.19345671715274892,0.14767532334306238,0.0,0.0,0.0,0.0
Bot-IoT,RANDOM_LINF,1,5,0.2835514545440674,0.962803840637207,45.236970269680896,0.9822454023406266,0.9825230917640336,0.9822454023406266,0.9788456576517686,0.9660166882624515,1.0,0.0,0.7333096647108726,0.4704522129867764,0.505095148835186,0.0,0.0,0.0,0.0,0.5298756996438176,0.5199282749685392,0.5298756996438176,0.41508378609129165,0.039021350272291824,1.0,1.817504384729328e-05,0.5042261126654484,0.20232469819925133,0.16303712360659753,1.7307326191176726e-05,2.0174306003873465e-05,0.0,0.0
Bot-IoT,RANDOM_L2,1,5,0.2835514545440674,0.6549539566040039,45.56316784182598,0.9822454023406266,0.9825230917640336,0.9822454023406266,0.9788456576517686,0.9660166882624515,1.0,0.0,0.7333096647108726,0.4704522129867764,0.505095148835186,0.0,0.0,0.0,0.0,0.5266137239223668,0.5038326837400693,0.5266137239223668,0.4085256466086689,0.025483204163210392,1.0,9.08752192364664e-06,0.5026170148697013,0.20134305657300264,0.15947933382864027,0.0,2.0174306003873465e-05,0.0,0.0
Bot-IoT,FGSM,1,10,0.14983224868774414,0.31174135208129883,67.29755760703642,0.9991277167987207,0.9991182147731024,0.9991277167987207,0.999100509217049,0.9983255513069579,0.6,0.0,0.8368605153702777,0.6734069004140618,0.7108568033199616,0.0,0.0,0.0,0.0,0.32615214072835647,0.24994720470884954,0.32615214072835647,0.2783120493995105,-0.39775589452799764,1.0,1.817504384729328e-05,0.4283288588917971,0.18440610036966315,0.1088006744863181,0.0,4.034861200774693e-05,0.0,0.0
Bot-IoT,RANDOM_LINF,1,10,0.14983224868774414,0.44654321670532227,47.39587119284728,0.9991277167987207,0.9991182147731024,0.9991277167987207,0.999100509217049,0.9983255513069579,0.6,0.0,0.8368605153702777,0.6734069004140618,0.7108568033199616,0.0,0.0,0.0,0.0,0.5251690048702479,0.5057223493375951,0.5251690048702479,0.46819384043405154,0.04373399724771496,1.0,0.0003998509646404522,0.5110028612275446,0.2048363953621716,0.20107214724865036,0.0002942245452500043,0.00046400903808908975,0.0014853323431117712,0.0
Bot-IoT,RANDOM_L2,1,10,0.14983224868774414,0.46984243392944336,47.66573380824308,0.9991277167987207,0.9991182147731024,0.9991277167987207,0.999100509217049,0.9983255513069579,0.6,0.0,0.8368605153702777,0.6734069004140618,0.7108568033199616,0.0,0.0,0.0,0.0,0.5224703787162899,0.5009790528585515,0.5224703787162899,0.4633414692554429,0.03544626334149253,1.0,0.000354413355022219,0.5071133086992724,0.20309659337827163,0.19114820465251653,0.0002769172190588276,0.00046400903808908975,0.0,0.0
Bot-IoT,FGSM,1,15,0.1386568546295166,0.3415207862854004,87.53180199171331,0.994711783092244,0.9947346002515237,0.994711783092244,0.9944976778708466,0.9898568826933996,0.5333333333333333,0.0,0.8277290261302405,0.6560822412860143,0.7064098732645278,0.0,0.0,0.0,0.0,0.11939376317511086,0.12525581087315368,0.11939376317511086,0.12206597481995456,-0.6598896960502391,1.0,0.006361265346552648,0.35621684644304863,0.18279393082304213,0.0497712696417925,0.008324823897956005,0.004418173014848289,0.0,0.0
Bot-IoT,RANDOM_LINF,1,15,0.1386568546295166,0.18598437309265137,59.98582539797921,0.994711783092244,0.9947346002515237,0.994711783092244,0.9944976778708466,0.9898568826933996,0.5333333333333333,0.0,0.8277290261302405,0.6560822412860143,0.7064098732645278,0.0,0.0,0.0,0.0,0.39485352911245186,0.5054436277686347,0.39485352911245186,0.4391631201849549,0.04015450765221427,1.0,0.03365109368326351,0.5173724115630043,0.2068566025285361,0.20085347460371866,0.030512816075044566,0.037665429309231765,0.027107315261789826,0.0
Bot-IoT,RANDOM_L2,1,15,0.1386568546295166,0.1766948699951172,60.54190593879479,0.994711783092244,0.9947346002515237,0.994711783092244,0.9944976778708466,0.9898568826933996,0.5333333333333333,0.0,0.8277290261302405,0.6560822412860143,0.7064098732645278,0.0,0.0,0.0,0.0,0.389292723704296,0.49696175528096026,0.389292723704296,0.4331883834544812,0.028061348544904798,0.9333333333333333,0.03244245326741851,0.5159686091890635,0.20455170720323906,0.19560657778452245,0.02997628896311809,0.03536555842479019,0.03156331229112514,0.0
Bot-IoT,FGSM,1,20,0.14019417762756348,0.14644336700439453,91.5688376826343,0.9976012211964818,0.997597095253534,0.9976012211964818,0.9975832987124583,0.995395405704883,0.13333333333333333,0.0,0.8812270187223147,0.7628261463383941,0.7801076823670808,0.0,0.0,0.0,0.0,0.08191284437013883,0.09679222093499937,0.08191284437013883,0.08677480874164387,-0.5558057764347891,0.8,0.03113385011041339,0.47620155624845817,0.18703634440412642,0.03728880715302361,0.044358677027985946,0.017349903163331182,0.0011139992573338284,0.0
Bot-IoT,RANDOM_LINF,1,20,0.14019417762756348,0.14931654930114746,76.33477502362433,0.9976012211964818,0.997597095253534,0.9976012211964818,0.9975832987124583,0.995395405704883,0.13333333333333333,0.0,0.8812270187223147,0.7628261463383941,0.7801076823670808,0.0,0.0,0.0,0.0,0.23425347096023844,0.5152526634881325,0.23425347096023844,0.3187997662678005,0.03173700036197465,1.0,0.011750165847275106,0.473114930048836,0.2066891061649411,0.15728105384412727,0.010747849564720746,0.011902840542285345,0.030449313033791312,0.0
Bot-IoT,RANDOM_L2,1,20,0.14019417762756348,0.14754843711853027,77.14072835647306,0.9976012211964818,0.997597095253534,0.9976012211964818,0.9975832987124583,0.995395405704883,0.13333333333333333,0.0,0.8812270187223147,0.7628261463383941,0.7801076823670808,0.0,0.0,0.0,0.0,0.2261939376317511,0.5033080606014134,0.2261939376317511,0.30985298104592585,0.02131909552670376,0.8666666666666667,0.012340854772312138,0.47838839563560676,0.20408269821355568,0.14847473925953633,0.011768981810000172,0.012326500968366688,0.024879316747122168,0.0
