Dataset,Attack,Resolution,AddressSize,TrainTime_s,InferTime_Adv_s,Acc_Drop_pp,Clean_Acc,Clean_Precision,Clean_Recall,Clean_F1,Clean_MCC,Clean_FAR,Clean_ASR,Clean_AUC,Clean_PR_AUC,Clean_F1_Macro,Clean_Miss_bots,Clean_Miss_brute force,Clean_Miss_ddos,Clean_Miss_dos,Clean_Miss_port scanning,Clean_Miss_web attacks,Adv_Acc,Adv_Precision,Adv_Recall,Adv_F1,Adv_MCC,Adv_FAR,Adv_ASR,Adv_AUC,Adv_PR_AUC,Adv_F1_Macro,Adv_Miss_bots,Adv_Miss_brute force,Adv_Miss_ddos,Adv_Miss_dos,Adv_Miss_port scanning,Adv_Miss_web attacks
CICIDS,RANDOM_LINF,32,20,88.73638999997638,2.962612499948591,16.804687484503646,0.9973301649704156,0.9973372425483433,0.9973301649704156,0.9971146672467222,0.9910605812357052,0.0005250446287934474,0.013119721866594627,0.920311098408783,0.8409373277456504,0.8810018249527467,0.7840616966580977,0.022950819672131147,0.004296371518962621,0.013368086918372086,0.0013231159380340703,0.27505827505827507,0.8292832901253792,0.7061192776616043,0.8292832901253792,0.7539015579655636,0.001322344885697802,0.0023555411300869664,0.9975921727997745,0.4999756329242267,0.14287296214267636,0.1300899910241787,1.0,0.9967213114754099,0.99656290278483,0.9981935017677875,0.9977948067699433,0.9976689976689976
CICIDS,RANDOM_L2,32,20,88.73638999997638,3.086316800210625,16.988957673395465,0.9973301649704156,0.9973372425483433,0.9973301649704156,0.9971146672467222,0.9910605812357052,0.0005250446287934474,0.013119721866594627,0.920311098408783,0.8409373277456504,0.8810018249527467,0.7840616966580977,0.022950819672131147,0.004296371518962621,0.013368086918372086,0.0013231159380340703,0.27505827505827507,0.8274405882364609,0.7028707830878761,0.8274405882364609,0.7532158597531667,0.0002239734393757523,0.00464664496482201,0.9955132195586042,0.5000569746956531,0.14286720050079207,0.13043654164623156,0.9974293059125964,0.9983606557377049,0.9935945006444558,0.9971096028284601,0.9944318870941066,0.9976689976689976
CICIDS,C&W,1,5,3.687246299814433,4.215991900069639,0.0,0.8988120622591248,0.8638202120988706,0.8988120622591248,0.8708555697190022,0.6093828206505854,0.005983122201750785,0.5696566790777434,0.6698652803724351,0.41302984036549123,0.45951681131992633,1.0,0.23770491803278687,0.15259930476897238,0.6505458205373041,0.9996140911847401,1.0,0.8988120622591248,0.8638202120988706,0.8988120622591248,0.8708555697190022,0.6093828206505854,0.005983122201750785,0.5696566790777434,0.6698652803724351,0.41302984036549123,0.45951681131992633,1.0,0.23770491803278687,0.15259930476897238,0.6505458205373041,0.9996140911847401,1.0
CICIDS,C&W,1,10,3.115593000082299,2.5603600998874754,0.00039670654228274316,0.9147894182496911,0.9094406565499285,0.9147894182496911,0.8916695963102551,0.6821124370709499,0.006720571248556127,0.4714173293085425,0.7101635977594002,0.47786547498930404,0.5094435765912286,1.0,0.041530054644808745,0.006639846892942234,0.553640093937908,0.9713324880092619,1.0,0.9147854511842682,0.9094373202398317,0.9147854511842682,0.8916657209771911,0.6820947257015302,0.006720571248556127,0.47144082030561785,0.7100838558185475,0.47770934830279466,0.5093618168328277,1.0,0.04262295081967213,0.006639846892942234,0.553640093937908,0.9713324880092619,1.0
CICIDS,C&W,1,15,2.952568099834025,2.0605357999447733,0.00039670654228274316,0.9341090268590164,0.9318940154214846,0.9341090268590164,0.9246947565340293,0.7621488173056684,0.006863765238227067,0.3563114436392253,0.754530850756859,0.5501784988764588,0.6020306422895343,1.0,0.030601092896174863,0.0072647736593367965,0.5148778032981496,0.5140856717569877,1.0,0.9341050597935936,0.9318905315684912,0.9341050597935936,0.9246908629624313,0.7621326143257012,0.006863765238227067,0.3563349346363006,0.7544511088160063,0.5500223469911373,0.6019497756994295,1.0,0.03169398907103825,0.0072647736593367965,0.5148778032981496,0.5140856717569877,1.0
CICIDS,C&W,1,20,2.6355789999943227,1.8281789997126907,0.000595059813435217,0.953281854047696,0.9546762844662846,0.953281854047696,0.951967955980319,0.8426184206907031,0.024342978244059836,0.15653225901173376,0.8361973492861905,0.6483247398096018,0.7125711230458087,0.6889460154241646,0.027868852459016394,0.004335429441862282,0.31069188882293736,0.023650697392359005,1.0,0.9532759034495617,0.9546693164832537,0.9532759034495617,0.9519621203439611,0.8425958025371951,0.024342978244059836,0.1565674955073468,0.8361830188584857,0.6483029507731441,0.7125588975631286,0.6889460154241646,0.027868852459016394,0.004335429441862282,0.31069188882293736,0.023816086884613265,1.0
CICIDS,C&W,2,5,9.278329299995676,2.3891469000373036,0.0007934130845765885,0.9071468667125524,0.9146280806375063,0.9071468667125524,0.8839339486019382,0.651878323969735,0.0005608431262111825,0.5467764479263323,0.6967436534082471,0.46869203456404707,0.5303596303893128,1.0,0.3185792349726776,0.47998281451392416,0.8036852563937134,0.0948233088924417,1.0,0.9071389325817066,0.9146215595560443,0.9071389325817066,0.8839257076827589,0.6518416958243857,0.0005608431262111825,0.5468234299204829,0.6966894520101159,0.46859037710469387,0.5302907654390066,1.0,0.3191256830601093,0.47998281451392416,0.8036852563937134,0.09498869838469595,1.0
CICIDS,C&W,2,10,7.458499600179493,1.5507983996067196,0.0007934130845654863,0.9658157972512204,0.9661903596219149,0.9658157972512204,0.9626884802227259,0.8822663038366972,0.000630053554552137,0.1991566732049942,0.815318295702859,0.6564843465333366,0.7170366683096662,0.7352185089974294,0.18415300546448088,0.04964262000546811,0.3446798627061344,0.07040079386956281,1.0,0.9658078631203747,0.9661829381564627,0.9658078631203747,0.9626802685565553,0.8822374474019282,0.000630053554552137,0.19920365519914493,0.8152640943047279,0.6563825338556519,0.716975929379861,0.7352185089974294,0.18469945355191256,0.04964262000546811,0.3446798627061344,0.07056618336181708,1.0
CICIDS,C&W,2,15,6.964917700039223,1.1822431997861713,0.00039670654228274316,0.972105579479164,0.9710438942286319,0.972105579479164,0.9696402607094475,0.9044884317479339,0.001071568356037536,0.15892834071342157,0.8149672520219546,0.64931008383349,0.6760482860443963,1.0,0.05683060109289618,0.006405499355544272,0.284549278691063,0.0782292298362644,1.0,0.9721016124137412,0.971040079883436,0.9721016124137412,0.9696361673297749,0.9044742871714504,0.001071568356037536,0.15895183171049695,0.8149927925646763,0.6493644522587724,0.676076496074295,1.0,0.05628415300546448,0.006405499355544272,0.284549278691063,0.07839461932851866,1.0
CICIDS,C&W,2,20,7.2848127000033855,1.1031145004089922,0.0007934130845765885,0.9794942388292397,0.9788824544098602,0.9794942388292397,0.9782487307147365,0.9301742444940995,0.00122908174467557,0.11438941025851843,0.8432079632092909,0.6993639458569396,0.7460613093885675,0.7197943444730077,0.08360655737704918,0.018825918837636214,0.18501122609615733,0.06764430233199184,0.9976689976689976,0.9794863046983939,0.9788747786934578,0.9794863046983939,0.9782405861414963,0.9301464335199481,0.00122908174467557,0.11443639225266916,0.8431537618111599,0.6992620904271417,0.7460054629854885,0.7197943444730077,0.08415300546448087,0.018825918837636214,0.18501122609615733,0.0678096918242461,0.9976689976689976
