Dataset,Attack,Estimators,Criterion,MaxDepth,MinLeaf,MinSplit,TrainTime_s,InferTime_Adv_s,Acc_Drop_pp,Clean_Acc,Clean_Precision,Clean_Recall,Clean_F1,Clean_MCC,Clean_FAR,Clean_ASR,Clean_AUC,Clean_PR_AUC,Clean_Miss_Attack,Adv_Acc,Adv_Precision,Adv_Recall,Adv_F1,Adv_MCC,Adv_FAR,Adv_ASR,Adv_AUC,Adv_PR_AUC,Adv_Miss_Attack
Bot-IoT,FGSM,100,gini,10,1,2,2.996670722961426,0.20331859588623047,95.25423420803955,0.9999818274333067,0.9999818252864789,1.0,0.9999909125606586,0.9309408763440791,0.13333333333333333,0.0,1.0,1.0,0.0,0.047439485352911245,0.9982771822358346,0.047391426831817234,0.09048713833340563,-0.030338352436331716,0.6,0.9526085731681828,0.11037249752365026,0.9995948152015218,0.9526085731681828
Bot-IoT,RANDOM_LINF,100,gini,10,1,2,2.996670722961426,0.19472765922546387,16.540670204259644,0.9999818274333067,0.9999818252864789,1.0,0.9999909125606586,0.9309408763440791,0.13333333333333333,0.0,1.0,1.0,0.0,0.8345751253907102,0.9999782227593942,0.8345707509019366,0.9098177134931642,0.022026017156330655,0.13333333333333333,0.16542924909806345,0.8944017835776362,0.9999756948422158,0.16542924909806345
Bot-IoT,RANDOM_L2,100,gini,10,1,2,2.996670722961426,0.22182798385620117,38.86930290034164,0.9999818274333067,0.9999818252864789,1.0,0.9999909125606586,0.9309408763440791,0.13333333333333333,0.0,1.0,1.0,0.0,0.6112887984298903,0.9999554016085154,0.6112630746721677,0.7587249306291877,0.009848623010615055,0.2,0.38873692532783233,0.8028783211106164,0.9999647089879695,0.38873692532783233
