Dataset,Attack,Criterion,MaxDepth,MinLeaf,MinSplit,TrainTime_s,InferTime_Adv_s,Acc_Drop_pp,Clean_Acc,Clean_Precision,Clean_Recall,Clean_F1,Clean_MCC,Clean_FAR,Clean_ASR,Clean_AUC,Clean_PR_AUC,Clean_Miss_Attack,Adv_Acc,Adv_Precision,Adv_Recall,Adv_F1,Adv_MCC,Adv_FAR,Adv_ASR,Adv_AUC,Adv_PR_AUC,Adv_Miss_Attack
Bot-IoT,FGSM,gini,10,1,2,1.0770683288574219,0.00719904899597168,99.99363960165734,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,6.360398342661917e-05,0.1,9.08752192364664e-06,1.817339233628045e-05,-0.7348190989170374,0.6,0.9999909124780764,0.20000454376096183,0.5499318534941886,0.9999909124780764
Bot-IoT,RANDOM_LINF,gini,10,1,2,1.0770683288574219,0.008229970932006836,17.59558770080686,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.8240441229919314,0.9999779444199383,0.8240383129924301,0.9035228003049008,0.021170331676166564,0.13333333333333333,0.1759616870075699,0.8453524898295484,0.9999769809268718,0.1759616870075699
Bot-IoT,RANDOM_L2,gini,10,1,2,1.0770683288574219,0.009511947631835938,41.10180271861598,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.5889819728138402,0.9999691405647276,0.5889441208276915,0.7412940160479494,0.010809504476882162,0.13333333333333333,0.4110558791723085,0.7278053937471791,0.9999565580059429,0.4110558791723085
