Dataset,Attack,Resolution,AddressSize,TrainTime_s,InferTime_Adv_s,Acc_Drop_pp,Clean_Acc,Clean_Precision,Clean_Recall,Clean_F1,Clean_MCC,Clean_FAR,Clean_ASR,Clean_AUC,Clean_PR_AUC,Clean_F1_Macro,Clean_Miss_analysis,Clean_Miss_backdoor,Clean_Miss_dos,Clean_Miss_exploits,Clean_Miss_fuzzers,Clean_Miss_generic,Clean_Miss_reconnaissance,Clean_Miss_shellcode,Clean_Miss_worms,Adv_Acc,Adv_Precision,Adv_Recall,Adv_F1,Adv_MCC,Adv_FAR,Adv_ASR,Adv_AUC,Adv_PR_AUC,Adv_F1_Macro,Adv_Miss_analysis,Adv_Miss_backdoor,Adv_Miss_dos,Adv_Miss_exploits,Adv_Miss_fuzzers,Adv_Miss_generic,Adv_Miss_reconnaissance,Adv_Miss_shellcode,Adv_Miss_worms
UNSW-NB15,FGSM,1,5,0.30774879455566406,481.5728588104248,28.127581013457704,0.6533061264150026,0.6145147934176803,0.6533061264150026,0.6237725619851833,0.5104998428413834,0.21451351351351353,0.24788229065560752,0.5970205288425363,0.20430781544058071,0.22781021987590946,0.12998522895125553,0.0686106346483705,0.2384446074834923,0.3532159540064678,0.48003959089409437,0.02617773302951619,0.7136727688787186,0.7619047619047619,0.3409090909090909,0.3720303162804256,0.23173506084725762,0.37203031628042565,0.2813484257544544,0.0038261277580534598,0.2217027027027027,0.7469999117621107,0.5012047935869433,0.10196828534938576,0.08410493916163204,0.740029542097489,0.758147512864494,0.7163120567375887,0.7586237872799138,0.8746288353678654,0.6911663398865985,0.8215102974828375,0.8333333333333334,0.3181818181818182
UNSW-NB15,RANDOM_LINF,1,5,0.30774879455566406,287.62052059173584,35.38356896467958,0.6533061264150026,0.6145147934176803,0.6533061264150026,0.6237725619851833,0.5104998428413834,0.21451351351351353,0.24788229065560752,0.5970205288425363,0.20430781544058071,0.22781021987590946,0.12998522895125553,0.0686106346483705,0.2384446074834923,0.3532159540064678,0.48003959089409437,0.02617773302951619,0.7136727688787186,0.7619047619047619,0.3409090909090909,0.2994704367682068,0.4712549503039822,0.2994704367682068,0.2594905520258064,0.014175717241943681,0.4414324324324324,0.5042133592164475,0.49941737399284003,0.10111508114039065,0.0772742524588966,0.5036927621861153,0.4751286449399657,0.49938860357055515,0.5458138699245418,0.5344770702738371,0.4672778337131048,0.527745995423341,0.5185185185185185,0.5
UNSW-NB15,RANDOM_L2,1,5,0.30774879455566406,285.71684765815735,35.46373220618957,0.6533061264150026,0.6145147934176803,0.6533061264150026,0.6237725619851833,0.5104998428413834,0.21451351351351353,0.24788229065560752,0.5970205288425363,0.20430781544058071,0.22781021987590946,0.12998522895125553,0.0686106346483705,0.2384446074834923,0.3532159540064678,0.48003959089409437,0.02617773302951619,0.7136727688787186,0.7619047619047619,0.3409090909090909,0.29866880435310694,0.24262482955925,0.29866880435310694,0.25860930843729785,0.012605209019994094,0.4431891891891892,0.5069487337862878,0.4991941081528165,0.10100789746162527,0.07707889826179781,0.4963072378138848,0.5197255574614065,0.49620934213744194,0.5480596478620194,0.5427251732101617,0.4706692809072121,0.5225972540045767,0.4947089947089947,0.5909090909090909
UNSW-NB15,FGSM,1,10,0.29361414909362793,64.75694251060486,48.41252489918865,0.6677719477238497,0.6347361492734643,0.6677719477238497,0.6470372462122371,0.52534207221082,0.16002702702702704,0.23314656313420984,0.6049392651327851,0.2097640497255719,0.24846290466195842,0.0915805022156573,0.10291595197255575,0.15651748593788212,0.41681638519583186,0.5404157043879908,0.015261512373483123,0.40217391304347827,0.5105820105820106,0.09090909090909091,0.18364669873196326,0.38169690337541273,0.18364669873196326,0.1538374690557552,-0.20552277600587532,0.6255945945945945,0.7829347921997706,0.47004761548343466,0.09393439769203556,0.04679324430895028,0.8552437223042836,0.8970840480274442,0.7813646368305209,0.6956521739130435,0.500329924117453,0.9748291028562345,0.5128718535469108,0.5978835978835979,0.06818181818181818
UNSW-NB15,RANDOM_LINF,1,10,0.29361414909362793,45.793866872787476,37.86255647864743,0.6677719477238497,0.6347361492734643,0.6677719477238497,0.6470372462122371,0.52534207221082,0.16002702702702704,0.23314656313420984,0.6049392651327851,0.2097640497255719,0.24846290466195842,0.0915805022156573,0.10291595197255575,0.15651748593788212,0.41681638519583186,0.5404157043879908,0.015261512373483123,0.40217391304347827,0.5105820105820106,0.09090909090909091,0.2891463829373755,0.313370816741128,0.2891463829373755,0.26314254301391066,0.025886728744870195,0.4531891891891892,0.48572752139768816,0.5035415278810469,0.10190350257455753,0.0841532957083547,0.5642540620384048,0.5385934819897084,0.5201760821716801,0.4997305066475027,0.4859782250082481,0.4645752742303005,0.4919908466819222,0.4894179894179894,0.3409090909090909
UNSW-NB15,RANDOM_L2,1,10,0.29361414909362793,45.84029459953308,38.02895593450906,0.6677719477238497,0.6347361492734643,0.6677719477238497,0.6470372462122371,0.52534207221082,0.16002702702702704,0.23314656313420984,0.6049392651327851,0.2097640497255719,0.24846290466195842,0.0915805022156573,0.10291595197255575,0.15651748593788212,0.41681638519583186,0.5404157043879908,0.015261512373483123,0.40217391304347827,0.5105820105820106,0.09090909090909091,0.28748238837875917,0.3018038654214204,0.28748238837875917,0.26210290733266295,0.02374065073135352,0.4547027027027027,0.48652166240183536,0.5031087490692522,0.10175277767111031,0.0842325946882322,0.534711964549483,0.5111492281303602,0.5138175593054537,0.4954186130075458,0.4828439458924447,0.47284192676593717,0.4971395881006865,0.4576719576719577,0.4090909090909091
UNSW-NB15,FGSM,1,15,0.2718989849090576,14.696049213409424,14.561774279745416,0.6041150463975125,0.6813235378302338,0.6041150463975125,0.6264480150526706,0.48399986345652385,0.3717837837837838,0.10376775787523163,0.6116789098697197,0.21838676310951333,0.26866316124652895,0.09601181683899557,0.0274442538593482,0.10980679872829542,0.3095580309019044,0.0859452325965028,0.00853160934767633,0.011727688787185355,0.013227513227513227,0.0,0.4584973036000583,0.4803867159905469,0.4584973036000583,0.415590875218212,0.1739797751084526,0.17140540540540541,0.5846642548310245,0.5207263316040706,0.13147281039461436,0.12308981870135541,0.9763663220088626,0.9691252144082333,0.9329909513328443,0.8695652173913043,0.7796106895414054,0.17153304011446135,0.977974828375286,0.9497354497354498,0.9545454545454546
UNSW-NB15,RANDOM_LINF,1,15,0.2718989849090576,11.946973323822021,19.223388233007814,0.6041150463975125,0.6813235378302338,0.6041150463975125,0.6264480150526706,0.48399986345652385,0.3717837837837838,0.10376775787523163,0.6116789098697197,0.21838676310951333,0.26866316124652895,0.09601181683899557,0.0274442538593482,0.10980679872829542,0.3095580309019044,0.0859452325965028,0.00853160934767633,0.011727688787185355,0.013227513227513227,0.0,0.4118811640674343,0.3526729164148084,0.4118811640674342,0.3067670000302734,0.04057834015071869,0.1362162162162162,0.8053692755669284,0.5042713436726679,0.10241326892273006,0.08723658542857216,0.8286558345642541,0.8336192109777015,0.8310100269014429,0.8447718289615522,0.8434510062685582,0.7575645169837316,0.8278032036613272,0.8465608465608465,0.8409090909090909
UNSW-NB15,RANDOM_L2,1,15,0.2718989849090576,11.916892766952515,19.256182286352807,0.6041150463975125,0.6813235378302338,0.6041150463975125,0.6264480150526706,0.48399986345652385,0.3717837837837838,0.10376775787523163,0.6116789098697197,0.21838676310951333,0.26866316124652895,0.09601181683899557,0.0274442538593482,0.10980679872829542,0.3095580309019044,0.0859452325965028,0.00853160934767633,0.011727688787185355,0.013227513227513227,0.0,0.4115532235339844,0.3583968992248524,0.4115532235339844,0.3082048120944404,0.041744274544863076,0.13975675675675675,0.8028765551927998,0.5046165475923164,0.10259301940374962,0.0885022458451053,0.8508124076809453,0.8456260720411664,0.8302763511861091,0.8419870643190801,0.8363576377433191,0.7542260611520322,0.829233409610984,0.8518518518518519,0.7954545454545454
UNSW-NB15,FGSM,1,20,0.28128838539123535,3.8786633014678955,37.82611864159743,0.6605208181509012,0.6558168951476635,0.6605208181509012,0.6469169570329034,0.5347093455042481,0.24186486486486486,0.15768110826789022,0.6064318106971317,0.21425844316985992,0.24312927711280308,0.0915805022156573,0.06518010291595197,0.1132306187331866,0.25,0.49406136588584626,0.009538445233426951,0.1524599542334096,0.23544973544973544,0.11363636363636363,0.2822596317349269,0.3309341016727213,0.2822596317349269,0.28571356034396084,0.110016225997891,0.4695135135135135,0.2174402188299656,0.5222520734644893,0.11332239538700299,0.08533141511247858,0.08419497784342689,0.14408233276157806,0.12741501589630716,0.2658102766798419,0.27565160013196965,0.10910921519792274,0.6618993135011442,0.48412698412698413,0.20454545454545456
