Dataset,Attack,Resolution,AddressSize,BloomSize,Hash,TrainTime_s,InferTime_Adv_s,Acc_Drop_pp,Clean_Acc,Clean_Precision,Clean_Recall,Clean_F1,Clean_MCC,Clean_FAR,Clean_ASR,Clean_AUC,Clean_PR_AUC,Clean_Miss_Attack,Adv_Acc,Adv_Precision,Adv_Recall,Adv_F1,Adv_MCC,Adv_FAR,Adv_ASR,Adv_AUC,Adv_PR_AUC,Adv_Miss_Attack
UNSW-NB15,FGSM,1,5,1024,2,5.541426420211792,1.4056358337402344,39.89821697517368,0.8037458096487392,0.9862009199386708,0.6526956675196329,0.7855151724321023,0.6630616009009235,0.011189189189189189,0.3473043324803671,0.7243696201716584,0.8729138944676996,0.3473043324803671,0.40476363989700237,0.03303684879288437,0.0028677314038648197,0.005277366188320783,-0.23310488040976815,0.10283783783783784,0.9971322685961351,0.7488573297664558,0.6655221011282952,0.9971322685961351
UNSW-NB15,RANDOM_LINF,1,5,1024,2,5.541426420211792,1.5312864780426025,25.190691347228288,0.8037458096487392,0.9862009199386708,0.6526956675196329,0.7855151724321023,0.6630616009009235,0.011189189189189189,0.3473043324803671,0.7243696201716584,0.8729138944676996,0.3473043324803671,0.5518388961764563,0.5520231926967678,0.9870952086826084,0.7080669662636876,0.022839460900887308,0.9814324324324324,0.012904791317391688,0.5535216281202229,0.5961234521464455,0.012904791317391688
UNSW-NB15,RANDOM_L2,1,5,1024,2,5.541426420211792,1.5630958080291748,25.14453675363163,0.8037458096487392,0.9862009199386708,0.6526956675196329,0.7855151724321023,0.6630616009009235,0.011189189189189189,0.3473043324803671,0.7243696201716584,0.8729138944676996,0.3473043324803671,0.5523004421124229,0.5523092121511485,0.9866319597635225,0.7081829121540313,0.02659251460357499,0.9798378378378378,0.013368040236477544,0.5512017398365453,0.5937576711714061,0.013368040236477544
UNSW-NB15,FGSM,1,5,1024,3,5.489314317703247,6.655655145645142,15.1702861584803,0.5646285769810038,0.9672938626736283,0.21660195888114356,0.3539462538074726,0.314141580013769,0.008972972972972972,0.7833980411188565,0.6010128320546788,0.8181674228636948,0.7833980411188565,0.41292571539620077,0.050314465408805034,0.0037059913526868438,0.006903494894290234,-0.20677461606012898,0.08570270270270271,0.9962940086473132,0.3168287251890556,0.4217593127925704,0.9962940086473132
UNSW-NB15,RANDOM_LINF,1,5,1024,3,5.489314317703247,1.43654203414917,1.3554875382597364,0.5646285769810038,0.9672938626736283,0.21660195888114356,0.3539462538074726,0.314141580013769,0.008972972972972972,0.7833980411188565,0.6010128320546788,0.8181674228636948,0.7833980411188565,0.5510737015984064,0.5513741085785125,0.9909335568693197,0.7085163600230279,0.015137764337985195,0.9878378378378379,0.009066443130680314,0.5331798481950581,0.5793571861275127,0.009066443130680314
UNSW-NB15,RANDOM_L2,1,5,1024,3,5.489314317703247,1.502009391784668,1.3858524024680574,0.5646285769810038,0.9672938626736283,0.21660195888114356,0.3539462538074726,0.314141580013769,0.008972972972972972,0.7833980411188565,0.6010128320546788,0.8181674228636948,0.7833980411188565,0.5507700529563232,0.55120245398773,0.9909776758139945,0.7083858963037719,0.011986693023013792,0.9885675675675676,0.009022324186005471,0.5340394542605783,0.5803626463985039,0.009022324186005471
UNSW-NB15,FGSM,1,5,2048,2,5.541142702102661,1.3631467819213867,14.419666715250445,0.5676772093475198,0.9898390342052313,0.217043148327892,0.35602113185699813,0.3272006714608344,0.0027297297297297295,0.782956851672108,0.6008167850525016,0.8165422595213814,0.782956851672108,0.4234805421950153,0.0018674136321195146,8.823788934968675e-05,0.00016851329148586595,-0.18029170629275823,0.057783783783783786,0.9999117621106504,0.6948216187598522,0.6344729968154353,0.9999117621106504
UNSW-NB15,RANDOM_LINF,1,5,2048,2,5.541142702102661,1.4852840900421143,1.6542778020696591,0.5676772093475198,0.9898390342052313,0.217043148327892,0.35602113185699813,0.3272006714608344,0.0027297297297297295,0.782956851672108,0.6008167850525016,0.8165422595213814,0.782956851672108,0.5511344313268232,0.5515331987990353,0.988749669107915,0.7080884676145339,0.016395474288265564,0.985027027027027,0.011250330892085061,0.5363442944069103,0.58040431799013,0.011250330892085061
UNSW-NB15,RANDOM_L2,1,5,2048,2,5.541142702102661,1.5546579360961914,1.67128212602633,0.5676772093475198,0.9898390342052313,0.217043148327892,0.35602113185699813,0.3272006714608344,0.0027297297297297295,0.782956851672108,0.6008167850525016,0.8165422595213814,0.782956851672108,0.5509643880872565,0.5514356715793618,0.9887937880525898,0.7080193969261874,0.014809417613447388,0.9854594594594595,0.011206211947410219,0.5350353294373523,0.5800208153423192,0.011206211947410219
UNSW-NB15,FGSM,1,5,2048,3,5.493264436721802,1.8747508525848389,38.239080794830684,0.6910921634358451,0.99399235390497,0.4416306361951822,0.6115497991538497,0.5072596270820028,0.00327027027027027,0.5583693638048178,0.7165663596624066,0.8710017284972974,0.5583693638048178,0.30870135548753824,0.00017259233690024162,4.4118944674843376e-05,7.02740688685875e-05,-0.4478420395669682,0.31313513513513513,0.9999558810553252,0.4107031823471756,0.45575854099896057,0.9999558810553252
UNSW-NB15,RANDOM_LINF,1,5,2048,3,5.493264436721802,1.437424659729004,13.949618617305548,0.6910921634358451,0.99399235390497,0.4416306361951822,0.6115497991538497,0.5072596270820028,0.00327027027027027,0.5583693638048178,0.7165663596624066,0.8710017284972974,0.5583693638048178,0.5515959772627896,0.5515854525835643,0.9923233036265773,0.7090459152309948,0.020282881268644894,0.9883783783783784,0.007676696373422748,0.5525297561414761,0.5921371143098214,0.007676696373422748
UNSW-NB15,RANDOM_L2,1,5,2048,3,5.493264436721802,1.4762532711029053,13.972695914103872,0.6910921634358451,0.99399235390497,0.4416306361951822,0.6115497991538497,0.5072596270820028,0.00327027027027027,0.5583693638048178,0.7165663596624066,0.8710017284972974,0.5583693638048178,0.5513652042948064,0.5514670721090771,0.9921468278478779,0.708903057002577,0.01788115150237038,0.9886756756756757,0.00785317215212212,0.5492629533817767,0.588500530287975,0.00785317215212212
UNSW-NB15,FGSM,1,10,1024,2,3.5645995140075684,1.2332441806793213,24.981781081475006,0.7096876062770248,0.9720680236144154,0.48672019765287217,0.648655005144789,0.5227292584555802,0.017135135135135135,0.5132798023471279,0.6397989940880615,0.82416686705959,0.5132798023471279,0.4598697954622747,0.7703889585947302,0.027089032030353833,0.052337723223799176,0.062083526837005784,0.009891891891891892,0.9729109679696462,0.7166982499684014,0.6292750992195094,0.9729109679696462
UNSW-NB15,RANDOM_LINF,1,10,1024,2,3.5645995140075684,2.1626932621002197,21.38658115920906,0.7096876062770248,0.9720680236144154,0.48672019765287217,0.648655005144789,0.5227292584555802,0.017135135135135135,0.5132798023471279,0.6397989940880615,0.82416686705959,0.5132798023471279,0.49582179468493415,0.5976295085317258,0.2580517074031589,0.3604597417804209,0.05280085540690605,0.21286486486486486,0.741948292596841,0.5169907487342632,0.6097352126161784,0.741948292596841
UNSW-NB15,RANDOM_L2,1,10,1024,2,3.5645995140075684,2.2551918029785156,21.38536656464073,0.7096876062770248,0.9720680236144154,0.48672019765287217,0.648655005144789,0.5227292584555802,0.017135135135135135,0.5132798023471279,0.6397989940880615,0.82416686705959,0.5132798023471279,0.4958339406306175,0.5990465827244935,0.2550295596929321,0.3577540189692253,0.05389045360673136,0.20913513513513513,0.7449704403070678,0.5177874364150615,0.6091275439394014,0.7449704403070678
UNSW-NB15,FGSM,1,10,1024,3,3.5069639682769775,1.1781537532806396,7.553563620463488,0.5774789875139679,0.9501408691197815,0.24549986764316598,0.39018318871066704,0.3271145430308255,0.015783783783783784,0.754500132356834,0.6056810951514471,0.8203550188003728,0.754500132356834,0.501943351309333,0.8782791185729276,0.11078267007853172,0.19674828599412342,0.17996254406451206,0.01881081081081081,0.8892173299214683,0.7723224752039608,0.7540821168285993,0.8892173299214683
UNSW-NB15,RANDOM_LINF,1,10,1024,3,3.5069639682769775,2.043034076690674,9.495700335228102,0.5774789875139679,0.9501408691197815,0.24549986764316598,0.39018318871066704,0.3271145430308255,0.015783783783783784,0.754500132356834,0.6056810951514471,0.8203550188003728,0.754500132356834,0.48252198416168685,0.5788742986058888,0.22074913968057885,0.3196154521790511,0.029302853330032307,0.19675675675675675,0.7792508603194211,0.510196556754849,0.601659322247126,0.7792508603194211
