Dataset,Attack,Resolution,AddressSize,BloomSize,Hash,TrainTime_s,InferTime_Adv_s,Acc_Drop_pp,Clean_Acc,Clean_Precision,Clean_Recall,Clean_F1,Clean_MCC,Clean_FAR,Clean_ASR,Clean_AUC,Clean_PR_AUC,Clean_F1_Macro,Clean_Miss_analysis,Clean_Miss_backdoor,Clean_Miss_dos,Clean_Miss_exploits,Clean_Miss_fuzzers,Clean_Miss_generic,Clean_Miss_reconnaissance,Clean_Miss_shellcode,Clean_Miss_worms,Adv_Acc,Adv_Precision,Adv_Recall,Adv_F1,Adv_MCC,Adv_FAR,Adv_ASR,Adv_AUC,Adv_PR_AUC,Adv_F1_Macro,Adv_Miss_analysis,Adv_Miss_backdoor,Adv_Miss_dos,Adv_Miss_exploits,Adv_Miss_fuzzers,Adv_Miss_generic,Adv_Miss_reconnaissance,Adv_Miss_shellcode,Adv_Miss_worms
UNSW-NB15,FGSM,1,5,1024,2,5.660545587539673,99.20417523384094,-26.529174561531367,0.03436088033814313,0.4121660046758458,0.03436088033814313,0.02688952822559485,-0.04210944573948376,0.9758378378378378,0.001985352510367952,0.41688884560795636,0.1368195120837409,0.018557393362128187,0.0,0.010291595197255575,0.011005135730007337,0.001706791232482932,0.001979544704717915,0.00037093953685549255,0.0002860411899313501,0.0,0.0,0.29965262595345676,0.2677898677823874,0.29965262595345676,0.2771796156313037,0.06120156808476871,0.44224324324324327,0.3675769875584576,0.5551305372699791,0.11539858286930418,0.07665417229079849,0.9911373707533235,0.9416809605488851,0.8466617754952311,0.5851598993891484,0.6778290993071594,0.012929892427534312,0.28747139588100684,0.18518518518518517,0.8863636363636364
UNSW-NB15,RANDOM_LINF,1,5,1024,2,5.660545587539673,99.57273817062378,-23.297138415197008,0.03436088033814313,0.4121660046758458,0.03436088033814313,0.02688952822559485,-0.04210944573948376,0.9758378378378378,0.001985352510367952,0.41688884560795636,0.1368195120837409,0.018557393362128187,0.0,0.010291595197255575,0.011005135730007337,0.001706791232482932,0.001979544704717915,0.00037093953685549255,0.0002860411899313501,0.0,0.0,0.2673322644901132,0.22296392582058008,0.2673322644901132,0.23996161869473984,0.0023898087411514833,0.5082972972972973,0.4982573016853437,0.4765797618166694,0.10243816052191004,0.07637282317667002,0.5036927621861153,0.46826758147512865,0.4971875764245537,0.4999101688825009,0.4884526558891455,0.4987547029834137,0.505720823798627,0.5555555555555556,0.5454545454545454
UNSW-NB15,RANDOM_L2,1,5,1024,2,5.660545587539673,98.66486287117004,-23.659087596560266,0.03436088033814313,0.4121660046758458,0.03436088033814313,0.02688952822559485,-0.04210944573948376,0.9758378378378378,0.001985352510367952,0.41688884560795636,0.1368195120837409,0.018557393362128187,0.0,0.010291595197255575,0.011005135730007337,0.001706791232482932,0.001979544704717915,0.00037093953685549255,0.0002860411899313501,0.0,0.0,0.2709517563037458,0.22520020781427688,0.2709517563037458,0.24276689597369186,0.006618920695037843,0.5022702702702703,0.49638224653666285,0.47583085316073576,0.10268368933079497,0.07762904611747182,0.5007385524372231,0.4888507718696398,0.4944974321349963,0.49308300395256915,0.49719564500164964,0.49721795347358383,0.5025743707093822,0.5026455026455027,0.5227272727272727
UNSW-NB15,FGSM,1,5,1024,3,5.3915934562683105,98.22952914237976,-12.230967303114221,0.06851527959966963,0.441925761413115,0.06851527959966963,0.09786923585113574,0.019172239916325325,0.8832702702702703,0.0034192182123003617,0.4438020443318238,0.1373947786590672,0.030634364714689232,0.0,0.010291595197255575,0.013695280019564686,0.005928853754940711,0.002144506763444408,0.0006358963488951301,0.0005720823798627002,0.0,0.0,0.19082495263081184,0.18667317269832306,0.19082495263081184,0.18687328100314848,-0.0623979659092486,0.5912972972972973,0.4801464748963205,0.5653655313108581,0.11488984955513751,0.04610897814260071,0.9778434268833087,0.9433962264150944,0.8486182440694546,0.5959396334890406,0.7838997030682943,0.214191086852843,0.40331807780320367,0.5687830687830688,0.7045454545454546
UNSW-NB15,RANDOM_LINF,1,5,1024,3,5.3915934562683105,97.52324199676514,-14.34922023028713,0.06851527959966963,0.441925761413115,0.06851527959966963,0.09786923585113574,0.019172239916325325,0.8832702702702703,0.0034192182123003617,0.4438020443318238,0.1373947786590672,0.030634364714689232,0.0,0.010291595197255575,0.013695280019564686,0.005928853754940711,0.002144506763444408,0.0006358963488951301,0.0005720823798627002,0.0,0.0,0.21200748190254093,0.20929750390573443,0.21200748190254093,0.20451869729435293,-0.020407802787139565,0.6076486486486486,0.43942468896144005,0.4932155276902713,0.1004677488256335,0.06497480932993975,0.48005908419497784,0.45969125214408235,0.4397163120567376,0.40720445562342794,0.4325305179808644,0.45514281172168936,0.45223112128146453,0.48677248677248675,0.45454545454545453
UNSW-NB15,RANDOM_L2,1,5,1024,3,5.3915934562683105,97.50143146514893,-14.674731574600397,0.06851527959966963,0.441925761413115,0.06851527959966963,0.09786923585113574,0.019172239916325325,0.8832702702702703,0.0034192182123003617,0.4438020443318238,0.1373947786590672,0.030634364714689232,0.0,0.010291595197255575,0.013695280019564686,0.005928853754940711,0.002144506763444408,0.0006358963488951301,0.0005720823798627002,0.0,0.0,0.2152625953456736,0.21274371614829737,0.2152625953456736,0.2079424468384107,-0.01605576391300185,0.6010540540540541,0.43671137386393716,0.4844481070391069,0.10049264314413912,0.06615782115916327,0.4726735598227474,0.451114922813036,0.43384690633406703,0.40010779734099894,0.43401517650940286,0.45434794128557043,0.4568077803203661,0.4312169312169312,0.4772727272727273
UNSW-NB15,FGSM,1,5,2048,2,5.3683083057403564,64.8022871017456,-31.5187290482437,0.12263761356459214,0.4432496998621072,0.12263761356459214,0.1722949880424967,0.05189067444890699,0.7689459459459459,0.0040589429100855905,0.46958767735491724,0.13681424925349264,0.048322395921309005,0.0,0.017152658662092625,0.014184397163120567,0.007905138339920948,0.0023094688221709007,0.0006358963488951301,0.0005720823798627002,0.0,0.0,0.4378249040470291,0.2904975437958679,0.4378249040470291,0.3275668413115596,0.13171072236563217,0.06643243243243244,0.7002117709344392,0.591973547940143,0.146137885574324,0.08772498310365343,0.9955686853766618,0.9828473413379074,0.9334800684764001,0.8529464606539705,0.8785879247773012,0.5196332997721371,0.5062929061784897,0.6322751322751323,0.9545454545454546
UNSW-NB15,RANDOM_LINF,1,5,2048,2,5.3683083057403564,70.8559501171112,-23.670018947675263,0.12263761356459214,0.4432496998621072,0.12263761356459214,0.1722949880424967,0.05189067444890699,0.7689459459459459,0.0040589429100855905,0.46958767735491724,0.13681424925349264,0.048322395921309005,0.0,0.017152658662092625,0.014184397163120567,0.007905138339920948,0.0023094688221709007,0.0006358963488951301,0.0005720823798627002,0.0,0.0,0.35933780304134477,0.22838599848710675,0.35933780304134477,0.2701038316644368,0.011583294580660085,0.23491891891891892,0.7467131386217242,0.4995864713650751,0.1006053140939632,0.07381199322278895,0.7444608567208272,0.6998284734133791,0.7368549767669357,0.7956342076895436,0.7649290663147477,0.7095543426421493,0.7705949656750573,0.8174603174603174,0.8636363636363636
UNSW-NB15,RANDOM_L2,1,5,2048,2,5.3683083057403564,69.58932495117188,-23.755040567458586,0.12263761356459214,0.4432496998621072,0.12263761356459214,0.1722949880424967,0.05189067444890699,0.7689459459459459,0.0040589429100855905,0.46958767735491724,0.13681424925349264,0.048322395921309005,0.0,0.017152658662092625,0.014184397163120567,0.007905138339920948,0.0023094688221709007,0.0006358963488951301,0.0005720823798627002,0.0,0.0,0.360188019239178,0.2307225795981529,0.360188019239178,0.2712320956821206,0.015108945345476929,0.235,0.7425659578222888,0.5016337818472871,0.10094123897335845,0.07556800825735452,0.7163958641063516,0.725557461406518,0.7300073367571533,0.7895256916996047,0.7650940283734741,0.7073816967834243,0.7617276887871853,0.7777777777777778,0.8181818181818182
UNSW-NB15,FGSM,1,5,2048,3,5.307307481765747,75.18879270553589,-18.367099062332993,0.07882718748481757,0.44273580389648537,0.07882718748481757,0.11363819477713985,0.03270015281862206,0.8572432432432432,0.001985352510367952,0.4274464612480527,0.13995191318079242,0.03240141375235991,0.0,0.010291595197255575,0.011005135730007337,0.001706791232482932,0.001979544704717915,0.00037093953685549255,0.0002860411899313501,0.0,0.0,0.2624981781081475,0.2293198294033002,0.2624981781081475,0.24394657967535852,0.026925055445379414,0.4237027027027027,0.4538736433424512,0.44918127441945643,0.10313029971102376,0.05614877056976508,0.9926144756277696,0.9485420240137221,0.9129371484470531,0.8234818541142652,0.7043879907621247,0.025382862593397275,0.4353546910755149,0.36243386243386244,0.9545454545454546
