Dataset,Attack,Resolution,AddressSize,BloomSize,Hash,TrainTime_s,InferTime_Adv_s,Acc_Drop_pp,Clean_Acc,Clean_Precision,Clean_Recall,Clean_F1,Clean_MCC,Clean_FAR,Clean_ASR,Clean_AUC,Clean_PR_AUC,Clean_F1_Macro,Clean_Miss_analysis,Clean_Miss_backdoor,Clean_Miss_dos,Clean_Miss_exploits,Clean_Miss_fuzzers,Clean_Miss_generic,Clean_Miss_reconnaissance,Clean_Miss_shellcode,Clean_Miss_worms,Adv_Acc,Adv_Precision,Adv_Recall,Adv_F1,Adv_MCC,Adv_FAR,Adv_ASR,Adv_AUC,Adv_PR_AUC,Adv_F1_Macro,Adv_Miss_analysis,Adv_Miss_backdoor,Adv_Miss_dos,Adv_Miss_exploits,Adv_Miss_fuzzers,Adv_Miss_generic,Adv_Miss_reconnaissance,Adv_Miss_shellcode,Adv_Miss_worms
UNSW-NB15,FGSM,1,5,1024,2,5.497223854064941,26.84728193283081,12.596560268182483,0.2430039352864014,0.755657928172795,0.2430039352864014,0.26356274416594233,0.18154715480660885,0.9341621621621622,0.002205947233742169,0.6319677148504259,0.1514439106378701,0.1229678035180956,0.0,0.0,0.0070921985815602835,0.004761049227452389,0.0013196964698119432,0.0002649568120396375,0.0014302059496567505,0.0,0.0,0.11703833260457659,0.14871262797376567,0.11703833260457659,0.1004762847664131,-0.01740541161136841,0.9085675675675675,0.20541780640607077,0.504129555735577,0.10619107490824826,0.04433854034694305,0.8847858197932054,0.8164665523156089,0.623624358033749,0.2819798778296802,0.35664797096667766,0.003020507657251868,0.09096109839816933,0.018518518518518517,0.09090909090909091
UNSW-NB15,RANDOM_LINF,1,5,1024,2,5.497223854064941,38.29092574119568,11.309090025749406,0.2430039352864014,0.755657928172795,0.2430039352864014,0.26356274416594233,0.18154715480660885,0.9341621621621622,0.002205947233742169,0.6319677148504259,0.1514439106378701,0.1229678035180956,0.0,0.0,0.0070921985815602835,0.004761049227452389,0.0013196964698119432,0.0002649568120396375,0.0014302059496567505,0.0,0.0,0.12991303502890736,0.5063784003227575,0.12991303502890736,0.0477151148346738,0.0014497113787634796,0.9884324324324324,0.007522280067060796,0.5494173360329493,0.10815445950440432,0.038110989581719955,0.0029542097488921715,0.0017152658662092624,0.007581315725116165,0.011318720804886813,0.00511382382052128,0.006464946213767156,0.006864988558352402,0.005291005291005291,0.045454545454545456
UNSW-NB15,RANDOM_L2,1,5,1024,2,5.497223854064941,38.04832410812378,11.322450566001068,0.2430039352864014,0.755657928172795,0.2430039352864014,0.26356274416594233,0.18154715480660885,0.9341621621621622,0.002205947233742169,0.6319677148504259,0.1514439106378701,0.1229678035180956,0.0,0.0,0.0070921985815602835,0.004761049227452389,0.0013196964698119432,0.0002649568120396375,0.0014302059496567505,0.0,0.0,0.12977942962639072,0.5009813947142943,0.12977942962639072,0.04784369838324103,0.0013030949895573968,0.9886756756756757,0.007764934262772434,0.5351643198180375,0.10761545236934986,0.03846473867553225,0.0014771048744460858,0.003430531732418525,0.005380288579114698,0.01167804527488322,0.007258330583965688,0.006623920300990938,0.007437070938215103,0.005291005291005291,0.0
UNSW-NB15,FGSM,1,5,1024,3,5.5493927001953125,36.16963720321655,29.677403682650734,0.4073628722732352,0.7376749413164477,0.4073628722732352,0.4684674384911096,0.3261408155028093,0.6926486486486486,0.007522280067060796,0.6263870333171502,0.14334262944318918,0.18969264792975943,0.005908419497784343,0.0,0.008559550012227928,0.0160797700323392,0.006268558231606731,0.0006888877113030576,0.02002288329519451,0.005291005291005291,0.0,0.11058883544672789,0.13507094873394548,0.11058883544672789,0.09602142061548942,-0.03785478620886669,0.9073513513513514,0.23316862260654725,0.4664073946959162,0.09631608540807193,0.04046394519166997,0.9512555391432792,0.869639794168096,0.6700904866715578,0.33093783686669065,0.39145496535796764,0.005458110328016534,0.13844393592677345,0.07671957671957672,0.13636363636363635
UNSW-NB15,RANDOM_LINF,1,5,1024,3,5.5493927001953125,47.346579790115356,27.403682650731188,0.4073628722732352,0.7376749413164477,0.4073628722732352,0.4684674384911096,0.3261408155028093,0.6926486486486486,0.007522280067060796,0.6263870333171502,0.14334262944318918,0.18969264792975943,0.005908419497784343,0.0,0.008559550012227928,0.0160797700323392,0.006268558231606731,0.0006888877113030576,0.02002288329519451,0.005291005291005291,0.0,0.13332604576592333,0.49210684093699475,0.13332604576592333,0.04775865388458988,-0.00040399135548806637,0.9868378378378379,0.010390011470925616,0.5329079395692284,0.10204106795028348,0.03359051200517211,0.005908419497784343,0.00686106346483705,0.008314991440449988,0.013025512037369746,0.008413064995051138,0.010757246568809284,0.007723112128146453,0.005291005291005291,0.022727272727272728
UNSW-NB15,RANDOM_L2,1,5,1024,3,5.5493927001953125,47.46473288536072,27.509352378176168,0.4073628722732352,0.7376749413164477,0.4073628722732352,0.4684674384911096,0.3261408155028093,0.6926486486486486,0.007522280067060796,0.6263870333171502,0.14334262944318918,0.18969264792975943,0.005908419497784343,0.0,0.008559550012227928,0.0160797700323392,0.006268558231606731,0.0006888877113030576,0.02002288329519451,0.005291005291005291,0.0,0.13226934849147354,0.36301515895613795,0.13226934849147354,0.046529527232439694,-0.0037669603304626587,0.9875135135135135,0.010654725138974676,0.5329857258175522,0.10173366470957859,0.03282296564712407,0.004431314623338257,0.0017152658662092624,0.008070432868672046,0.014822134387351778,0.008413064995051138,0.010545281119177574,0.006864988558352402,0.015873015873015872,0.022727272727272728
UNSW-NB15,FGSM,1,5,2048,2,5.508630037307739,27.36322808265686,5.117086916387309,0.1724238449205655,0.7552072813009585,0.1724238449205655,0.1964154491502516,0.06442609154910937,0.7797027027027027,0.0026030177358157595,0.6291912945844893,0.14337335339364435,0.07573647245812413,0.007385524372230428,0.0,0.00293470286133529,0.0064678404599353215,0.0024744308808973938,0.0004769222616713476,0.0011441647597254005,0.0026455026455026454,0.0,0.12125297575669242,0.16440723928338125,0.12125297575669242,0.09420752511566251,-0.008318830550333911,0.9224054054054054,0.14843818935851055,0.49320785179505755,0.10709894962930952,0.04426439613676043,0.55096011816839,0.5094339622641509,0.4372707263389582,0.18747754222062524,0.2537116463213461,0.0019076890466853903,0.16933638443935928,0.031746031746031744,0.13636363636363635
UNSW-NB15,RANDOM_LINF,1,5,2048,2,5.508630037307739,40.56961917877197,3.8587669435942273,0.1724238449205655,0.7552072813009585,0.1724238449205655,0.1964154491502516,0.06442609154910937,0.7797027027027027,0.0026030177358157595,0.6291912945844893,0.14337335339364435,0.07573647245812413,0.007385524372230428,0.0,0.00293470286133529,0.0064678404599353215,0.0024744308808973938,0.0004769222616713476,0.0011441647597254005,0.0026455026455026454,0.0,0.13383617548462323,0.3204714927822069,0.13383617548462323,0.04686336699910029,-0.0025083559539371774,0.9897837837837837,0.0060442954204535425,0.5144906046592796,0.10040913913664681,0.031822910092014295,0.0014771048744460858,0.0,0.004402054292002935,0.008893280632411068,0.0074232926426921805,0.0046632398918976204,0.006292906178489702,0.0,0.022727272727272728
UNSW-NB15,RANDOM_L2,1,5,2048,2,5.508630037307739,40.35734272003174,3.8235437011125666,0.1724238449205655,0.7552072813009585,0.1724238449205655,0.1964154491502516,0.06442609154910937,0.7797027027027027,0.0026030177358157595,0.6291912945844893,0.14337335339364435,0.07573647245812413,0.007385524372230428,0.0,0.00293470286133529,0.0064678404599353215,0.0024744308808973938,0.0004769222616713476,0.0011441647597254005,0.0026455026455026454,0.0,0.13418840790943984,0.3139378345129397,0.13418840790943984,0.04678273831517742,-0.0018835313724099652,0.9902162162162162,0.00626489014382776,0.5053598933778705,0.10043294584837692,0.031768919492447555,0.0014771048744460858,0.005145797598627788,0.003668378576669112,0.009881422924901186,0.008083140877598153,0.003762386730962853,0.008867276887871853,0.007936507936507936,0.022727272727272728
UNSW-NB15,FGSM,1,5,2048,3,5.547199487686157,45.759254932403564,1.9615702278579408,0.13876742943205558,0.529593104333343,0.13876742943205558,0.16605958123981657,0.05347178280795503,0.8378378378378378,0.002823612459189976,0.634448951882743,0.14704181973516936,0.06866293001354487,0.0,0.0,0.0046466128637808754,0.007905138339920948,0.0028043549983503796,0.00021196544963171003,0.0,0.0,0.0,0.11915172715347618,0.1519282870967148,0.11915172715347618,0.10765387764186568,-0.041918096938181305,0.8862432432432432,0.2625959587046678,0.4819139983266994,0.12030598447860744,0.04352286473069515,0.9586410635155096,0.8867924528301887,0.714844705306921,0.3606719367588933,0.4211481359287364,0.005988023952095809,0.30720823798627,0.1455026455026455,0.11363636363636363
