Dataset,Attack,Resolution,AddressSize,BloomSize,Hash,TrainTime_s,InferTime_Adv_s,Acc_Drop_pp,Clean_Acc,Clean_Precision,Clean_Recall,Clean_F1,Clean_MCC,Clean_FAR,Clean_ASR,Clean_AUC,Clean_PR_AUC,Clean_F1_Macro,Clean_Miss_bots,Clean_Miss_brute force,Clean_Miss_ddos,Clean_Miss_dos,Clean_Miss_port scanning,Clean_Miss_web attacks,Adv_Acc,Adv_Precision,Adv_Recall,Adv_F1,Adv_MCC,Adv_FAR,Adv_ASR,Adv_AUC,Adv_PR_AUC,Adv_F1_Macro,Adv_Miss_bots,Adv_Miss_brute force,Adv_Miss_ddos,Adv_Miss_dos,Adv_Miss_port scanning,Adv_Miss_web attacks
CICIDS,FGSM,1,5,1024,2,134.08483958244324,50.2695472240448,-62.105202607948804,0.05981937951129721,0.9378716595137864,0.05981937951129721,0.10129010528144843,0.13838500825974856,0.9573210313785763,0.00010570948683916889,0.5367923331734265,0.1720511324219151,0.07373734849644671,0.0,0.000546448087431694,0.0,0.00020645694082427934,0.0,0.0,0.6808714055907853,0.7488902589226669,0.6808714055907853,0.680836866732685,-0.045621070923267316,0.1832763739463309,0.9218806892258542,0.5093452007045031,0.14989671670160856,0.12419946492573322,0.6118251928020566,0.6486338797814207,0.9207124165136898,0.9298304472373481,0.9598654832129665,0.11421911421911422
CICIDS,RANDOM_LINF,1,5,1024,2,134.08483958244324,61.031015157699585,-62.37297952399182,0.05981937951129721,0.9378716595137864,0.05981937951129721,0.10129010528144843,0.13838500825974856,0.9573210313785763,0.00010570948683916889,0.5367923331734265,0.1720511324219151,0.07373734849644671,0.0,0.000546448087431694,0.0,0.00020645694082427934,0.0,0.0,0.6835491747512155,0.7870630965222477,0.6835491747512155,0.6889548869358494,0.0025153737119005533,0.1794841197865455,0.8244282878586782,0.541157065294077,0.16272431183018882,0.12381063120106746,0.8508997429305912,0.7874316939890711,0.8031871265086122,0.8522284446050221,0.7987209879265671,0.8018648018648019
CICIDS,RANDOM_L2,1,5,1024,2,134.08483958244324,42.62007188796997,-66.12046787569597,0.05981937951129721,0.9378716595137864,0.05981937951129721,0.10129010528144843,0.13838500825974856,0.9573210313785763,0.00010570948683916889,0.5367923331734265,0.1720511324219151,0.07373734849644671,0.0,0.000546448087431694,0.0,0.00020645694082427934,0.0,0.0,0.7210240582682569,0.7318488806164252,0.7210240582682569,0.7072245423238025,-0.0028921169448475922,0.13517035311637854,0.8822866136553166,0.54212930228182,0.17082461348836755,0.1310524930876548,0.8663239074550129,0.8459016393442623,0.84482287231965,0.925365815892023,0.8470147196648107,0.8881118881118881
CICIDS,FGSM,1,5,1024,3,134.85528230667114,83.91514158248901,-55.961805094108705,0.07590979686641502,0.9044493655619726,0.07590979686641502,0.1202993514764946,0.0989393701603578,0.9379755233740322,0.00011745498537685432,0.5529991434408368,0.15829249951317753,0.060103987350946055,0.0,0.000546448087431694,0.0,0.00023226405842731424,0.0,0.0,0.6355278478075022,0.732311542548813,0.6355278478075022,0.6563200098276102,-0.046538149904106006,0.2379382929367178,0.8760145174361926,0.5038641142213903,0.1472397609566795,0.12000712335545789,0.5886889460154242,0.6262295081967213,0.8428699761746671,0.9188882293736612,0.8802028777771652,0.13053613053613053
CICIDS,RANDOM_LINF,1,5,1024,3,134.85528230667114,68.60151815414429,-56.59574214868164,0.07590979686641502,0.9044493655619726,0.07590979686641502,0.1202993514764946,0.0989393701603578,0.9379755233740322,0.00011745498537685432,0.5529991434408368,0.15829249951317753,0.060103987350946055,0.0,0.000546448087431694,0.0,0.00023226405842731424,0.0,0.0,0.6418672183532315,0.7467148374587806,0.6418672183532315,0.6669024649810209,-0.003646632519149435,0.2307952994186324,0.7874534584620444,0.5414376838227549,0.16212787840339546,0.12218708685603297,0.7660668380462725,0.7371584699453552,0.7560051556458227,0.8257503419443082,0.7564915375709796,0.7482517482517482
CICIDS,RANDOM_L2,1,5,1024,3,134.85528230667114,50.33346176147461,-61.36931197200839,0.07590979686641502,0.9044493655619726,0.07590979686641502,0.1202993514764946,0.0989393701603578,0.9379755233740322,0.00011745498537685432,0.5529991434408368,0.15829249951317753,0.060103987350946055,0.0,0.000546448087431694,0.0,0.00023226405842731424,0.0,0.0,0.6896029165864989,0.7106836908215761,0.6896029165864989,0.6906966859004762,-0.012724693269027405,0.17329097973327734,0.8625306851149297,0.5396756082721259,0.17096160321725987,0.1287795059473004,0.8560411311053985,0.8092896174863388,0.8184978322852791,0.9186043510800279,0.8112354595071393,0.8275058275058275
CICIDS,FGSM,1,5,2048,2,133.40741157531738,86.16103863716125,-58.56300989187763,0.05992847381042585,0.9380209741249694,0.05992847381042585,0.101525982486433,0.13850689596271923,0.9571873836548834,0.00011745498537685432,0.537038697123444,0.1714283333592552,0.07383140075981241,0.0,0.000546448087431694,0.0,0.00023226405842731424,0.0,0.0,0.6455585727292021,0.7483692200924518,0.6455585727292021,0.6623757480964049,-0.04221211004273833,0.2258312411100398,0.8803838428922116,0.5104104411280911,0.15242391733149138,0.12112890268970844,0.5912596401028277,0.6098360655737705,0.8543530055071671,0.9249270948927715,0.8736424279177463,0.11188811188811189
CICIDS,RANDOM_LINF,1,5,2048,2,133.40741157531738,74.37231922149658,-60.417216270522125,0.05992847381042585,0.9380209741249694,0.05992847381042585,0.101525982486433,0.13850689596271923,0.9571873836548834,0.00011745498537685432,0.537038697123444,0.1714283333592552,0.07383140075981241,0.0,0.000546448087431694,0.0,0.00023226405842731424,0.0,0.0,0.6641006365156471,0.7843552941103137,0.6641006365156471,0.678623209586449,-0.0012702416261729387,0.20334023846572413,0.8110266740271791,0.543339191941462,0.16261765829049007,0.12311511430820783,0.7634961439588689,0.7688524590163934,0.7832675858297856,0.8476089705540788,0.7782678207177904,0.7715617715617715
CICIDS,RANDOM_L2,1,5,2048,2,133.40741157531738,54.21300458908081,-64.73873898891404,0.05992847381042585,0.9380209741249694,0.05992847381042585,0.101525982486433,0.13850689596271923,0.9571873836548834,0.00011745498537685432,0.537038697123444,0.1714283333592552,0.07383140075981241,0.0,0.000546448087431694,0.0,0.00023226405842731424,0.0,0.0,0.7073158636995662,0.7190349740223186,0.7073158636995662,0.6997467800816549,-0.00839123816543722,0.15163527536204213,0.8763903733893985,0.5424898732736193,0.17054666767934928,0.12955335451434455,0.8431876606683805,0.8431693989071039,0.8363082451275241,0.9263206792433353,0.8309719389161475,0.8508158508158508
CICIDS,FGSM,1,5,2048,3,139.42640852928162,110.90028095245361,-59.498642271859026,0.06000979865159446,0.9042975296736578,0.06000979865159446,0.09158653118079688,0.0942181452312496,0.9571038538275753,0.00011745498537685432,0.54729832088087,0.15756709492388538,0.055154409691904015,0.0,0.000546448087431694,0.0,0.00023226405842731424,0.0,0.0,0.6549962213701848,0.7269946176168921,0.6549962213701848,0.665191547269559,-0.05875975457535689,0.21435901597090298,0.9190852605738851,0.4901736630908629,0.1399554064417649,0.12082405682798349,0.6015424164524421,0.6234972677595628,0.9175487247588173,0.9273529639474567,0.959534704228458,0.10256410256410256
