Dataset,Attack,Resolution,AddressSize,BloomSize,Hash,TrainTime_s,InferTime_Adv_s,Acc_Drop_pp,Clean_Acc,Clean_Precision,Clean_Recall,Clean_F1,Clean_MCC,Clean_FAR,Clean_ASR,Clean_AUC,Clean_PR_AUC,Clean_F1_Macro,Clean_Miss_analysis,Clean_Miss_backdoor,Clean_Miss_dos,Clean_Miss_exploits,Clean_Miss_fuzzers,Clean_Miss_generic,Clean_Miss_reconnaissance,Clean_Miss_shellcode,Clean_Miss_worms,Adv_Acc,Adv_Precision,Adv_Recall,Adv_F1,Adv_MCC,Adv_FAR,Adv_ASR,Adv_AUC,Adv_PR_AUC,Adv_F1_Macro,Adv_Miss_analysis,Adv_Miss_backdoor,Adv_Miss_dos,Adv_Miss_exploits,Adv_Miss_fuzzers,Adv_Miss_generic,Adv_Miss_reconnaissance,Adv_Miss_shellcode,Adv_Miss_worms
UNSW-NB15,FGSM,1,5,1024,2,6.065199851989746,74.29631972312927,-12.977942962639071,0.06358402565223728,0.7952015100398077,0.06358402565223728,0.05686943450738707,-0.006663969670900968,0.9617027027027027,0.00013235683402453013,0.6796465153318774,0.17248587022268072,0.031180495640817922,0.0,0.0,0.0,0.00035932446999640676,0.0003299241174529858,0.0,0.0,0.0,0.0,0.193363455278628,0.5555195494403974,0.193363455278628,0.23961333746950636,0.07343463961942484,0.6379189189189189,0.13332745080737668,0.5561662621445258,0.1618060259321467,0.06982766973212753,0.0103397341211226,0.030874785591766724,0.06847640009782342,0.2391304347826087,0.33107885186407127,0.006729903025806793,0.23684210526315788,0.25925925925925924,0.38636363636363635
UNSW-NB15,RANDOM_LINF,1,5,1024,2,6.065199851989746,64.42893815040588,-8.974639265413206,0.06358402565223728,0.7952015100398077,0.06358402565223728,0.05686943450738707,-0.006663969670900968,0.9617027027027027,0.00013235683402453013,0.6796465153318774,0.17248587022268072,0.031180495640817922,0.0,0.0,0.0,0.00035932446999640676,0.0003299241174529858,0.0,0.0,0.0,0.0,0.15333041830636934,0.5043713933691273,0.15333041830636934,0.1826083871959894,0.029085334088341304,0.7525135135135135,0.1815494573369805,0.5843869288478634,0.1242976996536925,0.06154858324361978,0.03988183161004431,0.05317324185248713,0.13915382734164833,0.37181099532878187,0.32695480039590896,0.020083726352604525,0.2808924485125858,0.2698412698412698,0.4318181818181818
UNSW-NB15,RANDOM_L2,1,5,1024,2,6.065199851989746,63.55630326271057,-9.709468979254726,0.06358402565223728,0.7952015100398077,0.06358402565223728,0.05686943450738707,-0.006663969670900968,0.9617027027027027,0.00013235683402453013,0.6796465153318774,0.17248587022268072,0.031180495640817922,0.0,0.0,0.0,0.00035932446999640676,0.0003299241174529858,0.0,0.0,0.0,0.0,0.16067871544478454,0.4998243576794986,0.16067871544478454,0.1913016801467912,0.0331872798800021,0.7427837837837837,0.18863054795729287,0.5930327681696286,0.12533653504701928,0.06526481694036879,0.04431314623338257,0.06174957118353345,0.14208853020298362,0.37486525332375137,0.3282744968657209,0.034338402840337026,0.2768878718535469,0.2777777777777778,0.45454545454545453
UNSW-NB15,FGSM,1,5,1024,3,5.9560112953186035,84.87536334991455,-2.596803187096147,0.09996113297381334,0.7544960263845775,0.09996113297381334,0.14130228173344372,0.047522802408381554,0.8795675675675676,0.0011029736168710845,0.6705584680813681,0.17045611192301263,0.06094552206277544,0.0,0.0,0.0019564685742235266,0.0035932446999640674,0.0003299241174529858,0.0,0.0,0.0,0.0,0.12592916484477482,0.5798639976506356,0.12592916484477482,0.17684098651519295,0.05156820422235223,0.7919459459459459,0.0689579105267802,0.5130282182768349,0.1575171507469681,0.05838516521645165,0.005908419497784343,0.02058319039451115,0.041330398630472,0.09423284225655768,0.20405806664467172,0.013194849239573949,0.09897025171624714,0.11904761904761904,0.3409090909090909
UNSW-NB15,RANDOM_LINF,1,5,1024,3,5.9560112953186035,71.04498982429504,-1.9117718505562848,0.09996113297381334,0.7544960263845775,0.09996113297381334,0.14130228173344372,0.047522802408381554,0.8795675675675676,0.0011029736168710845,0.6705584680813681,0.17045611192301263,0.06094552206277544,0.0,0.0,0.0019564685742235266,0.0035932446999640674,0.0003299241174529858,0.0,0.0,0.0,0.0,0.11907885147937619,0.5308145733809959,0.11907885147937619,0.15154587135860723,0.034792390646843106,0.833,0.10502514779846465,0.5670878616589812,0.12471268749155547,0.0573853212160224,0.025110782865583457,0.024013722126929673,0.07410124724871607,0.2081386992454186,0.1791487957769713,0.021726458587250277,0.15560640732265446,0.15343915343915343,0.2727272727272727
UNSW-NB15,RANDOM_L2,1,5,1024,3,5.9560112953186035,67.53189301490784,-2.64903075353447,0.09996113297381334,0.7544960263845775,0.09996113297381334,0.14130228173344372,0.047522802408381554,0.8795675675675676,0.0011029736168710845,0.6705584680813681,0.17045611192301263,0.06094552206277544,0.0,0.0,0.0019564685742235266,0.0035932446999640674,0.0003299241174529858,0.0,0.0,0.0,0.0,0.12645144050915805,0.5207805384040166,0.12645144050915805,0.16005802094556523,0.036902708441776934,0.8218378378378378,0.11768728492014471,0.5773030410222292,0.12549909605247273,0.06072786537571191,0.025110782865583457,0.03945111492281304,0.08192712154561017,0.20993532159540065,0.18310788518640714,0.046261459382120715,0.16304347826086957,0.15079365079365079,0.29545454545454547
UNSW-NB15,FGSM,1,5,2048,2,5.89399266242981,75.27832841873169,-11.674682990817665,0.06358402565223728,0.7952015100398077,0.06358402565223728,0.05686943450738707,-0.006663969670900968,0.9617027027027027,0.00013235683402453013,0.6703721556312374,0.1704590190496064,0.031180495640817922,0.0,0.0,0.0,0.00035932446999640676,0.0003299241174529858,0.0,0.0,0.0,0.0,0.18033085556041392,0.5536197173371012,0.18033085556041392,0.22743322119274756,0.06650472570870528,0.6663513513513514,0.12538604076590487,0.5317638540615137,0.1608414785756676,0.06688659473188488,0.0103397341211226,0.0274442538593482,0.06285155294693079,0.22134387351778656,0.30320026393929395,0.01467860738699592,0.2036613272311213,0.25396825396825395,0.38636363636363635
UNSW-NB15,RANDOM_LINF,1,5,2048,2,5.89399266242981,65.14888453483582,-8.649127921099936,0.06358402565223728,0.7952015100398077,0.06358402565223728,0.05686943450738707,-0.006663969670900968,0.9617027027027027,0.00013235683402453013,0.6703721556312374,0.1704590190496064,0.031180495640817922,0.0,0.0,0.0,0.00035932446999640676,0.0003299241174529858,0.0,0.0,0.0,0.0,0.15007530486323664,0.5056301511757757,0.15007530486323664,0.17938105573975083,0.02911309937407249,0.7601081081081081,0.17438012882731846,0.5682912701746754,0.1275173630103123,0.06088616650564467,0.03988183161004431,0.04974271012006861,0.13010516018586452,0.34863456701401363,0.31573738040250743,0.024164061258014943,0.27088100686498856,0.26455026455026454,0.4318181818181818
UNSW-NB15,RANDOM_L2,1,5,2048,2,5.89399266242981,64.51034164428711,-9.258854394403148,0.06358402565223728,0.7952015100398077,0.06358402565223728,0.05686943450738707,-0.006663969670900968,0.9617027027027027,0.00013235683402453013,0.6703721556312374,0.1704590190496064,0.031180495640817922,0.0,0.0,0.0,0.00035932446999640676,0.0003299241174529858,0.0,0.0,0.0,0.0,0.15617256959626877,0.4989764952950761,0.15617256959626877,0.18633267351967506,0.03190979607245461,0.7527297297297297,0.18249801464748963,0.5780596436281187,0.12840346381897688,0.06413525036353111,0.0413589364844904,0.0548885077186964,0.1305942773294204,0.34782608695652173,0.3150775321676014,0.04414180488580361,0.26973684210526316,0.2671957671957672,0.45454545454545453
UNSW-NB15,FGSM,1,5,2048,3,5.9228034019470215,75.19369649887085,-12.06213865811592,0.06358402565223728,0.7952015100398077,0.06358402565223728,0.05686943450738707,-0.006663969670900968,0.9617027027027027,0.00013235683402453013,0.6703570353286037,0.17045262951463364,0.031180495640817922,0.0,0.0,0.0,0.00035932446999640676,0.0003299241174529858,0.0,0.0,0.0,0.0,0.18420541223339648,0.5484925646245726,0.18420541223339648,0.22449143659752277,0.06278875926395512,0.6441351351351351,0.13990117356392834,0.5296750391224585,0.1594713071391621,0.06377311778548161,0.0103397341211226,0.03430531732418525,0.07043286867204696,0.24065756378009343,0.3343780930386011,0.014996555561443485,0.2620137299771167,0.2777777777777778,0.38636363636363635
