Dataset;Attack;Binarization;Resolution;AddressSize;BloomSize;Hash;TrainTime_s;InferTime_Adv_s;Acc_Drop_pp;Clean_Acc;Clean_Precision;Clean_Recall;Clean_F1;Clean_MCC;Clean_FAR;Clean_ASR;Clean_AUC;Clean_PR_AUC;Clean_F1_Macro;Clean_Miss_bots;Clean_Miss_brute force;Clean_Miss_ddos;Clean_Miss_dos;Clean_Miss_port scanning;Clean_Miss_web attacks;Adv_Acc;Adv_Precision;Adv_Recall;Adv_F1;Adv_MCC;Adv_FAR;Adv_ASR;Adv_AUC;Adv_PR_AUC;Adv_F1_Macro;Adv_Miss_bots;Adv_Miss_brute force;Adv_Miss_ddos;Adv_Miss_dos;Adv_Miss_port scanning;Adv_Miss_web attacks
CICIDS;FGSM;distributive;1;5;1024;2;132,50718307495117;57,10918831825256;-14,036667585703489;0,6542722319305129;0,8579618482748131;0,6542722319305129;0,707390900393236;0,4122698158946566;0,3704595572441839;0,1313029281527854;0,7634695547559642;0,1998278931259676;0,4287956108807498;0,0822622107969151;0,0683060109289617;0,0020310119907823;0,0051098092854009;0,5932521087160263;0,0256410256410256;0,7946389077875478;0,693164879940532;0,7946389077875478;0,7399300024055437;-0,0195102893515439;0,04646644964822;0,9685220639190032;0,489107339790927;0,1480280023341988;0,1319572771401145;0,9897172236503856;1,0;0,9566457055813772;0,9722573485767376;0,972931253101053;1,0
CICIDS;RANDOM_LINF;distributive;1;5;1024;2;132,50718307495117;18,110109329223636;-17,123639544501547;0,6542722319305129;0,8579618482748131;0,6542722319305129;0,707390900393236;0,4122698158946566;0,3704595572441839;0,1313029281527854;0,7634695547559642;0,1998278931259676;0,4287956108807498;0,0822622107969151;0,0683060109289617;0,0020310119907823;0,0051098092854009;0,5932521087160263;0,0256410256410256;0,8255086273755283;0,7020076841247592;0,8255086273755283;0,7538551507460567;0,0114333663743249;0,008076141017441;0,9893350873277816;0,5187456701608506;0,146072454687337;0,1329184484761798;0,9922879177377892;0,994535519125683;0,9924618208803656;0,9854963999070944;0,9924472131870556;0,993006993006993
CICIDS;RANDOM_L2;distributive;1;5;1024;2;132,50718307495117;12,288227081298828;-17,144268284700416;0,6542722319305129;0,8579618482748131;0,6542722319305129;0,707390900393236;0,4122698158946566;0,3704595572441839;0,1313029281527854;0,7634695547559642;0,1998278931259676;0,4287956108807498;0,0822622107969151;0,0683060109289617;0,0020310119907823;0,0051098092854009;0,5932521087160263;0,0256410256410256;0,825714914777517;0,7022913351696524;0,825714914777517;0,7536683743858849;0,0087905652241154;0,0076131471175049;0,9902982182078718;0,5081484073655556;0,1437495769180901;0,1323641073601069;0,987146529562982;0,994535519125683;0,9926961684177636;0,9877674262561614;0,9917856552180384;0,9976689976689976
CICIDS;FGSM;distributive;1;5;1024;3;134,53012371063232;68,50811576843262;-11,94622246112772;0,6521121648077659;0,8566539974253056;0,6521121648077659;0,7057307831420963;0,4084049917464403;0,3730513684572279;0,1387613197242156;0,7580407625974438;0,2046243571338888;0,4290418743683979;0,1028277634961439;0,0655737704918032;0,0015623169159864;0,0049033523445766;0,629086498704449;0,0303030303030303;0,7715743894190431;0,6877546002521351;0,7715743894190431;0,72717798651242;-0,0462927613340545;0,0737281987150726;0,9680639894760332;0,4953648518584376;0,1463684816242992;0,1282401628271165;1,0;0,9841530054644808;0,952661797445612;0,9775478076853596;0,9665361927338884;0,9976689976689976
CICIDS;RANDOM_LINF;distributive;1;5;1024;3;134,53012371063232;18,360658168792725;-17,13097861553384;0,6521121648077659;0,8566539974253056;0,6521121648077659;0,7057307831420963;0,4084049917464403;0,3730513684572279;0,1387613197242156;0,7580407625974438;0,2046243571338888;0,4290418743683979;0,1028277634961439;0,0655737704918032;0,0015623169159864;0,0049033523445766;0,629086498704449;0,0303030303030303;0,8234219509631043;0,7072434319126683;0,8234219509631043;0,7539342387685525;0,0184666674401138;0,0113314177159604;0,9830160091145068;0,5210948618716923;0,147042097769922;0,1346357404482726;0,987146529562982;0,9907103825136612;0,9864859586767176;0,977160700921314;0,9898009813109874;0,9813519813519812
CICIDS;RANDOM_L2;distributive;1;5;1024;3;134,53012371063232;13,460718870162964;-17,13990451273527;0,6521121648077659;0,8566539974253056;0,6521121648077659;0,7057307831420963;0,4084049917464403;0,3730513684572279;0,1387613197242156;0,7580407625974438;0,2046243571338888;0,4290418743683979;0,1028277634961439;0,0655737704918032;0,0015623169159864;0,0049033523445766;0,629086498704449;0,0303030303030303;0,8235112099351186;0,7030299073958165;0,8235112099351186;0,7532288685969248;0,0100062287040516;0,0107109104273863;0,9866218771655764;0,5096247390216282;0,1444078357388671;0,1334418788208124;0,9948586118251928;0,9907103825136612;0,9896105925086904;0,9828640739115848;0,9898561111417388;0,986013986013986
CICIDS;FGSM;distributive;1;5;2048;2;131,7418110370636;46,248854875564575;-14,7757318739822;0,6473358180386432;0,856620700133289;0,6473358180386432;0,7014218746415627;0,4069819174478988;0,3789461876986816;0,1336050458661717;0,7490615246641308;0,1957722567421441;0,4279372153972826;0,0796915167095115;0,0628415300546448;0,001718548607585;0,0045678598157371;0,6062627487733613;0,0256410256410256;0,7950931367784652;0,6941437015953409;0,7950931367784652;0,7408057332691399;-0,00962071102033;0,0455571678138096;0,95534361455972;0,4780288977922172;0,1440469509561996;0,1313750013605634;0,9974293059125964;1,0;0,9028238878256454;0,9761800304523988;0,978719885329952;0,9906759906759908
CICIDS;RANDOM_LINF;distributive;1;5;2048;2;131,7418110370636;18,22821879386902;-17,741311630840762;0,6473358180386432;0,856620700133289;0,6473358180386432;0,7014218746415627;0,4069819174478988;0,3789461876986816;0,1336050458661717;0,7490615246641308;0,1957722567421441;0,4279372153972826;0,0796915167095115;0,0628415300546448;0,001718548607585;0,0045678598157371;0,6062627487733613;0,0256410256410256;0,8247489343470508;0,7091891292740263;0,8247489343470508;0,7538253675466247;0,0138972996600307;0,0091811213044017;0,9868685326348676;0,5283856769766532;0,1469358299142519;0,1333888774758177;0,9897172236503856;0,9885245901639343;0,9896105925086904;0,9831737593228213;0,9907381884337616;0,9836829836829836
CICIDS;RANDOM_L2;distributive;1;5;2048;2;131,7418110370636;14,62423324584961;-17,71691417849017;0,6473358180386432;0,856620700133289;0,6473358180386432;0,7014218746415627;0,4069819174478988;0,3789461876986816;0,1336050458661717;0,7490615246641308;0,1957722567421441;0,4279372153972826;0,0796915167095115;0,0628415300546448;0,001718548607585;0,0045678598157371;0,6062627487733613;0,0256410256410256;0,8245049598235449;0,7006536827016009;0,8245049598235449;0,7531261317018326;0,0059656609880305;0,0090880452111156;0,9893468328263192;0,5139016685031764;0,1443762062443529;0,1322812772578693;0,9922879177377892;0,9918032786885246;0,991251025270476;0,987431933727322;0,9904625392800044;0,9883449883449884
CICIDS;FGSM;distributive;1;5;2048;3;132,05090832710266;48,809818744659424;-12,788232097129637;0,6552263111647105;0,8493442097375382;0,6552263111647105;0,7054110894355703;0,4029967083861842;0,3692901396618712;0,1674673181503189;0,7606172295389959;0,201418865476981;0,4306139320042229;0,0951156812339331;0,0688524590163934;0,0016794906846853;0,00518723063821;0,76310711726115;0,0209790209790209;0,7831086321360069;0,6906920944251554;0,7831086321360069;0,7338152168037477;-0,0315803910560758;0,0602226189226084;0,9650806328474612;0,4691687643711959;0,1459650086799984;0,1302354810170687;1,0;1,0;0,932625082998086;0,9734960902216832;0,9878163074039362;1,0
