Dataset;Attack;Binarization;Resolution;AddressSize;BloomSize;Hash;TrainTime_s;InferTime_Adv_s;Acc_Drop_pp;Clean_Acc;Clean_Precision;Clean_Recall;Clean_F1;Clean_MCC;Clean_FAR;Clean_ASR;Clean_AUC;Clean_PR_AUC;Clean_F1_Macro;Clean_Miss_ddos;Clean_Miss_dos;Clean_Miss_reconnaissance;Clean_Miss_theft;Adv_Acc;Adv_Precision;Adv_Recall;Adv_F1;Adv_MCC;Adv_FAR;Adv_ASR;Adv_AUC;Adv_PR_AUC;Adv_F1_Macro;Adv_Miss_ddos;Adv_Miss_dos;Adv_Miss_reconnaissance;Adv_Miss_theft
Bot-IoT;FGSM;distributive;1;5;1024;2;3,632481336593628;4,445910215377808;77,00170822126917;0,9626644617285746;0,9638151366022116;0,9626644617285746;0,9549145392834212;0,9283883896878098;1,0;0,0;0,921726354286436;0,3933943028070008;0,4372585289369753;0,0;0,0;0,0;0,0;0,1926473795158828;0,1780260011872033;0,1926473795158828;0,1847957924234146;-0,5951718768707575;1,0;0,0;0,4774488539077681;0,178412104320556;0,0722084441812442;0,0;0,0;0,0;0,0
Bot-IoT;RANDOM_LINF;distributive;1;5;1024;2;3,632481336593628;3,730256319046021;44,35560078505488;0,9626644617285746;0,9638151366022116;0,9626644617285746;0,9549145392834212;0,9283883896878098;1,0;0,0;0,921726354286436;0,3933943028070008;0,4372585289369753;0,0;0,0;0,0;0,0;0,5191084538780257;0,5010967200240009;0,5191084538780257;0,4948349442756505;0,0396981975414346;1,0;0,0;0,6847643077159187;0,2152784637757986;0,2160796872804025;0,0;0,0;0,0;0,0
Bot-IoT;RANDOM_L2;distributive;1;5;1024;2;3,632481336593628;3,6505606174468994;44,60274769208403;0,9626644617285746;0,9638151366022116;0,9626644617285746;0,9549145392834212;0,9283883896878098;1,0;0,0;0,921726354286436;0,3933943028070008;0,4372585289369753;0,0;0,0;0,0;0,0;0,5166369848077342;0,4980743028647027;0,5166369848077342;0,4907812764569513;0,0324697820085537;1,0;0,0;0,6926184420250389;0,2094123107029635;0,2089118861152624;0,0;0,0;0,0;0,0
Bot-IoT;FGSM;distributive;1;5;1024;3;3,642841339111328;2,100342035293579;88,2241767827288;0,9615468488769354;0,9631407568163278;0,9615468488769354;0,9561213501844402;0,9264676752577764;1,0;0,0;0,903641862730533;0,4641582296978613;0,4657191036019841;0,0;0,0;0,0;0,0;0,0793050810496474;0,0811658628351279;0,0793050810496474;0,0797981596556441;-0,7814980860602533;1,0;0,0;0,5846701634590958;0,1618437614534081;0,0354245199012319;0,0;0,0;0,0;0,0
Bot-IoT;RANDOM_LINF;distributive;1;5;1024;3;3,642841339111328;2,8496038913726807;43,73955077415135;0,9615468488769354;0,9631407568163278;0,9615468488769354;0,9561213501844402;0,9264676752577764;1,0;0,0;0,903641862730533;0,4641582296978613;0,4657191036019841;0,0;0,0;0,0;0,0;0,5241513411354219;0,5042708256667936;0,5241513411354219;0,4865037102842611;0,0531630857312179;1,0;9,996274116011304e-05;0,7055417855490289;0,2230574867840931;0,2360297236929981;0,0001211512833382;6,05229180116204e-05;0,0003713330857779;0,0
Bot-IoT;RANDOM_L2;distributive;1;5;1024;3;3,642841339111328;2,8479533195495605;44,21930653485499;0,9615468488769354;0,9631407568163278;0,9615468488769354;0,9561213501844402;0,9264676752577764;1,0;0,0;0,903641862730533;0,4641582296978613;0,4657191036019841;0,0;0,0;0,0;0,0;0,5193537835283856;0,4983934991696229;0,5193537835283856;0,4792142453282813;0,0387750653553785;1,0;9,08752192364664e-05;0,7059170504327421;0,2154230510832568;0,2155860082128075;1,7307326191176726e-05;0,0001815687540348;0,0;0,0
Bot-IoT;FGSM;distributive;1;5;2048;2;4,182576894760132;2,29545521736145;88,72483099512975;0,9849531147779312;0,98513320222553;0,9849531147779312;0,9817475457183716;0,9712064356642768;1,0;0,0;0,9226019287210556;0,3969933404704442;0,5099233049654859;0,0;0,0;0,0;0,0;0,0977048048266337;0,0982262794966723;0,0977048048266337;0,0972379840947039;-0,7550296301591937;1,0;0,0;0,6311423193244436;0,1801693070411965;0,040530072181905;0,0;0,0;0,0;0,0
Bot-IoT;RANDOM_LINF;distributive;1;5;2048;2;4,182576894760132;3,5289535522460938;46,33095878461874;0,9849531147779312;0,98513320222553;0,9849531147779312;0,9817475457183716;0,9712064356642768;1,0;0,0;0,9226019287210556;0,3969933404704442;0,5099233049654859;0,0;0,0;0,0;0,0;0,5216435269317439;0,5021884132253583;0,5216435269317439;0,4858000202773229;0,0385243640226395;1,0;0,0;0,6637477005529895;0,2188390822091599;0,2108630294580795;0,0;0,0;0,0;0,0
Bot-IoT;RANDOM_L2;distributive;1;5;2048;2;4,182576894760132;3,494473457336426;46,30369993457876;0,9849531147779312;0,98513320222553;0,9849531147779312;0,9817475457183716;0,9712064356642768;1,0;0,0;0,9226019287210556;0,3969933404704442;0,5099233049654859;0,0;0,0;0,0;0,0;0,5219161154321437;0,5004388080026911;0,5219161154321437;0,4848714133807829;0,0378588587762574;1,0;0,0;0,6936355354795122;0,2120085969138582;0,2022253090564437;0,0;0,0;0,0;0,0
Bot-IoT;FGSM;distributive;1;5;2048;3;4,547385931015015;1,788802146911621;86,90303118412444;0,9405575343461512;0,9450069279127604;0,9405575343461512;0,9344187112012764;0,887339240992003;0,7333333333333333;9,08752192364664e-06;0,8761960740743998;0,3419962565945625;0,5264600501185195;0,0;0,0;0,0003713330857779;0,0;0,0715272225049065;0,0691179138604626;0,0715272225049065;0,0693380941171746;-0,8093183852162754;1,0;0,0;0,5826600997311988;0,160191158005961;0,0295083205991513;0,0;0,0;0,0;0,0
Bot-IoT;RANDOM_LINF;distributive;1;5;2048;3;4,547385931015015;2,7998664379119877;41,274442102202514;0,9405575343461512;0,9450069279127604;0,9405575343461512;0,9344187112012764;0,887339240992003;0,7333333333333333;9,08752192364664e-06;0,8761960740743998;0,3419962565945625;0,5264600501185195;0,0;0,0;0,0003713330857779;0,0;0,527813113324126;0,5058414154140831;0,527813113324126;0,4846451205097363;0,050964756153842;1,0;7,270017538917312e-05;0,7256112353913607;0,2179725724766985;0,2131692255314627;3,461465238235345e-05;2,0174306003873465e-05;0,0018566654288897;0,0
Bot-IoT;RANDOM_L2;distributive;1;5;2048;3;4,547385931015015;2,8093512058258057;41,63244166606091;0,9405575343461512;0,9450069279127604;0,9405575343461512;0,9344187112012764;0,887339240992003;0,7333333333333333;9,08752192364664e-06;0,8761960740743998;0,3419962565945625;0,5264600501185195;0,0;0,0;0,0003713330857779;0,0;0,5242331176855419;0,5005071271078404;0,5242331176855419;0,479402515036973;0,0408634105856616;1,0;5,452513154187984e-05;0,683449826110534;0,2136602829116869;0,2013962425391059;0,0;8,069722401549386e-05;0,0007426661715558;0,0
Bot-IoT;FGSM;distributive;1;10;1024;2;3,002309560775757;1,5839579105377195;53,03936177945773;0,9993276150323472;0,9993191583464166;0,9993276150323472;0,9993165460649056;0,9987094314935498;0,2666666666666666;0,0;0,9401809967619398;0,4474963664536273;0,7664882505528845;0,0;0,0;0,0;0,0;0,4689339972377698;0,3726026213212556;0,4689339972377698;0,3819283200785695;-0,1224885693863225;1,0;0,0005725138811897;0,5825129784319155;0,2168700961388766;0,1503573029679495;0,0;0,001270981278244;0,0;0,0
Bot-IoT;RANDOM_LINF;distributive;1;10;1024;2;3,002309560775757;2,0893380641937256;46,642618303409165;0,9993276150323472;0,9993191583464166;0,9993276150323472;0,9993165460649056;0,9987094314935498;0,2666666666666666;0,0;0,9401809967619398;0,4474963664536273;0,7664882505528845;0,0;0,0;0,0;0,0;0,5329014319982555;0,5170516835872078;0,5329014319982555;0,497980652127518;0,0696661541365453;1,0;0,000127225306931;0,6070385310500374;0,219774134336782;0,2236915267642426;8,653663095588362e-05;0,0001613944480309;0,0003713330857779;0,0
Bot-IoT;RANDOM_L2;distributive;1;10;1024;2;3,002309560775757;2,1510255336761475;47,43130769789925;0,9993276150323472;0,9993191583464166;0,9993276150323472;0,9993165460649056;0,9987094314935498;0,2666666666666666;0,0;0,9401809967619398;0,4474963664536273;0,7664882505528845;0,0;0,0;0,0;0,0;0,5250145380533546;0,5056498089262769;0,5250145380533546;0,4875582522472576;0,049569438783076;1,0;9,08752192364664e-05;0,6663799788776898;0,2138956195093723;0,2091494182824288;5,192197857353018e-05;0,0001008715300193;0,0007426661715558;0,0
Bot-IoT;FGSM;distributive;1;10;1024;3;2,921091794967652;2,606829166412353;79,8620702187977;0,9668895834847714;0,96839581395719;0,9668895834847714;0,9626352648667948;0,936690727866664;0,3333333333333333;0,0;0,974420294208401;0,5030140895777258;0,6436462676859662;0,0;0,0;0,0;0,0;0,1682688812967943;0,1561353346935917;0,1682688812967943;0,1581914353081676;-0,6195317887748186;0,8666666666666667;0,0;0,4154489026762396;0,1442159139523939;0,1144613498092458;0,0;0,0;0,0;0,0
