Dataset;Attack;Binarization;Resolution;AddressSize;BloomSize;Hash;TrainTime_s;InferTime_Adv_s;Acc_Drop_pp;Clean_Acc;Clean_Precision;Clean_Recall;Clean_F1;Clean_MCC;Clean_FAR;Clean_ASR;Clean_AUC;Clean_PR_AUC;Clean_Miss_Attack;Adv_Acc;Adv_Precision;Adv_Recall;Adv_F1;Adv_MCC;Adv_FAR;Adv_ASR;Adv_AUC;Adv_PR_AUC;Adv_Miss_Attack
Edge-IIoT;FGSM;distributive;1;10;1024;3;112,24646830558775;2,530256509780884;62,94348651882093;0,9014061341786812;1,0;0,6374842600569952;0,7786142140197507;0,7492993500456473;0,0;0,3625157399430048;1,0;1,0;0,3625157399430048;0,2719712689904718;0,2719712689904718;1,0;0,4276374405945943;0,0;1,0;0,0;0,4286249367051834;0,2730338653134004;0,0
Edge-IIoT;RANDOM_LINF;distributive;1;10;1024;3;112,24646830558775;12,894975185394289;14,893396509110246;0,9014061341786812;1,0;0,6374842600569952;0,7786142140197507;0,7492993500456473;0,0;0,3625157399430048;1,0;1,0;0,3625157399430048;0,7524721690875786;0,5255914891609463;0,9229157001789384;0,6697607589343417;0,5449445076716839;0,3112007897774573;0,0770842998210617;0,8540766928545565;0,6296977451604563;0,0770842998210617
Edge-IIoT;RANDOM_L2;distributive;1;10;1024;3;112,24646830558775;12,266815900802612;15,038944126387598;0,9014061341786812;1,0;0,6374842600569952;0,7786142140197507;0,7492993500456473;0,0;0,3625157399430048;1,0;1,0;0,3625157399430048;0,7510166929148051;0,5239690467352951;0,9238518125786996;0,6686873592785468;0,5435941222096005;0,3135496968702902;0,0761481874213002;0,8556394564449447;0,6346138144899077;0,0761481874213002
Edge-IIoT;C&W;distributive;1;10;1024;3;112,24646830558775;2,5103094577789307;62,94348651882093;0,9014061341786812;1,0;0,6374842600569952;0,7786142140197507;0,7492993500456473;0,0;0,3625157399430048;1,0;1,0;0,3625157399430048;0,2719712689904718;0,2719712689904718;1,0;0,4276374405945943;0,0;1,0;0,0;0,4632962429452607;0,2760925083346115;0,0
Edge-IIoT;FGSM;distributive;1;10;2048;2;113,61530542373656;2,5442190170288086;68,65859620900277;0,9585572310804996;1,0;0,8476207833521108;0,9175267901179214;0,8955272146302321;0,0;0,1523792166478892;1,0;1,0;0,1523792166478892;0,2719712689904718;0,2719712689904718;1,0;0,4276374405945943;0,0;1,0;0,0;0,5078044411832459;0,2545363122638834;0,0
Edge-IIoT;RANDOM_LINF;distributive;1;10;2048;2;113,61530542373656;13,200833320617676;22,66802751435761;0,9585572310804996;1,0;0,8476207833521108;0,9175267901179214;0,8955272146302321;0,0;0,1523792166478892;1,0;1,0;0,1523792166478892;0,7318769559369234;0,5036898455795304;0,9657449135131552;0,662072138074387;0,5435979048333819;0,3554896032234804;0,0342550864868447;0,8647364906253835;0,6403074792015618;0,0342550864868447
Edge-IIoT;RANDOM_L2;distributive;1;10;2048;2;113,61530542373656;11,59808897972107;22,97849905709477;0,9585572310804996;1,0;0,8476207833521108;0,9175267901179214;0,8955272146302321;0,0;0,1523792166478892;1,0;1,0;0,1523792166478892;0,7287722405095518;0,5007096530011871;0,964436012989595;0,6591869090085499;0,5391859495475985;0,3592651851118284;0,0355639870104049;0,8646142455278764;0,6431791374306199;0,0355639870104049
Edge-IIoT;C&W;distributive;1;10;2048;2;113,61530542373656;2,547210931777954;68,65859620900277;0,9585572310804996;1,0;0,8476207833521108;0,9175267901179214;0,8955272146302321;0,0;0,1523792166478892;1,0;1,0;0,1523792166478892;0,2719712689904718;0,2719712689904718;1,0;0,4276374405945943;0,0;1,0;0,0;0,4905597449641031;0,2583921954012013;0,0
Edge-IIoT;FGSM;distributive;1;10;2048;3;112,36282634735107;2,581120491027832;68,69509576627667;0,9589222266532385;1,0;0,8489628205977865;0,9183124843184344;0,89644851647543;0,0;0,1510371794022135;1,0;1,0;0,1510371794022135;0,2719712689904718;0,2719712689904718;1,0;0,4276374405945943;0,0;1,0;0,0;0,4717961525938058;0,2339875236161326;0,0
Edge-IIoT;RANDOM_LINF;distributive;1;10;2048;3;112,36282634735107;17,249024629592896;20,40099945701276;0,9589222266532385;1,0;0,8489628205977865;0,9183124843184344;0,89644851647543;0,0;0,1510371794022135;1,0;1,0;0,1510371794022135;0,7549122320831109;0,5271908555594043;0,9582477301345352;0,6801754654184944;0,5671121195649178;0,3210482500796895;0,0417522698654649;0,853819737586576;0,6236949957973639;0,0417522698654649
