Dataset;Attack;Binarization;Resolution;AddressSize;TrainTime_s;InferTime_Adv_s;Acc_Drop_pp;Clean_Acc;Clean_Precision;Clean_Recall;Clean_F1;Clean_MCC;Clean_FAR;Clean_ASR;Clean_AUC;Clean_PR_AUC;Clean_F1_Macro;Clean_Miss_bots;Clean_Miss_brute force;Clean_Miss_ddos;Clean_Miss_dos;Clean_Miss_port scanning;Clean_Miss_web attacks;Adv_Acc;Adv_Precision;Adv_Recall;Adv_F1;Adv_MCC;Adv_FAR;Adv_ASR;Adv_AUC;Adv_PR_AUC;Adv_F1_Macro;Adv_Miss_bots;Adv_Miss_brute force;Adv_Miss_ddos;Adv_Miss_dos;Adv_Miss_port scanning;Adv_Miss_web attacks
CICIDS;FGSM;distributive;1;5;3,352468099910766;1,4699159997981042;6,901107009606255;0,8988120622591248;0,8638202120988706;0,8988120622591248;0,8708555697190022;0,6093828206505854;0,0059831222017507;0,5696566790777434;0,6698652803724351;0,4130298403654912;0,4595168113199263;1,0;0,2377049180327868;0,1525993047689723;0,6505458205373041;0,99961409118474;1,0;0,8298009921630622;0,7273459169628865;0,8298009921630622;0,7539837125220137;-0,0063453315243973;0,0016968487776006;0,9994831980643418;0,4999656812850356;0,1430553988037295;0,1302026761051593;1,0;0,9994535519125683;0,9983205093153146;1,0;1,0;1,0
CICIDS;RANDOM_LINF;distributive;1;5;3,352468099910766;0,8685211995616555;6,771185617007614;0,8988120622591248;0,8638202120988706;0,8988120622591248;0,8708555697190022;0,6093828206505854;0,0059831222017507;0,5696566790777434;0,6698652803724351;0,4130298403654912;0,4595168113199263;1,0;0,2377049180327868;0,1525993047689723;0,6505458205373041;0,99961409118474;1,0;0,8311002060890487;0,6939512245445963;0,8311002060890487;0,7544726874896289;0,0023823714526311;3,1025364428703715e-05;0,9998825450146231;0,5000057291009637;0,1428589412510611;0,1296924575479037;1,0;1,0;0,9999609420771004;0,9997935430591756;1,0;0,9976689976689976
CICIDS;RANDOM_L2;distributive;1;5;3,352468099910766;0,8594814999960363;6,77078891046532;0,8988120622591248;0,8638202120988706;0,8988120622591248;0,8708555697190022;0,6093828206505854;0,0059831222017507;0,5696566790777434;0,6698652803724351;0,4130298403654912;0,4595168113199263;1,0;0,2377049180327868;0,1525993047689723;0,6505458205373041;0,99961409118474;1,0;0,8311041731544716;0,7009264133579608;0,8311041731544716;0,754469752227215;0,0010228161807897;2,625223143967237e-05;0,9999530180058492;0,5000022515341775;0,1428583910895857;0,1296919575203152;1,0;1,0;0,9999609420771004;0,999974192882397;0,9998897403384972;1,0
CICIDS;FGSM;distributive;1;10;2,9343912000767887;1,3546263000462204;8,683311150825846;0,9147894182496912;0,9094406565499285;0,9147894182496912;0,8916695963102551;0,6821124370709499;0,0067205712485561;0,4714173293085425;0,7101635977594002;0,477865474989304;0,5094435765912286;1,0;0,0415300546448087;0,0066398468929422;0,553640093937908;0,971332488009262;1,0;0,8279563067414326;0,6996757348704393;0,8279563067414326;0,7537750503883135;0,0109752466402554;0,0040118182772808;0,9908385111406054;0,5002419210652969;0,1430277863307078;0,1304041628427119;1,0;0,9994535519125683;0,998281451392415;0,9989677152958786;0,9616847676277632;1,0
CICIDS;RANDOM_LINF;distributive;1;10;2,9343912000767887;1,303527700016275;8,824141973337351;0,9147894182496912;0,9094406565499285;0,9147894182496912;0,8916695963102551;0,6821124370709499;0,0067205712485561;0,4714173293085425;0,7101635977594002;0,477865474989304;0,5094435765912286;1,0;0,0415300546448087;0,0066398468929422;0,553640093937908;0,971332488009262;1,0;0,8265479985163176;0,7029961361626593;0,8265479985163176;0,7535153972001426;0,0061410818030841;0,0061645012553339;0,9922009889709767;0,5002900518305126;0,1429230202158867;0,1317062642535304;0,9974293059125964;0,9972677595628416;0,992305589188767;0,9909675088389378;0,9939908484480952;0,9953379953379954
CICIDS;RANDOM_L2;distributive;1;10;2,9343912000767887;1,2750228997319937;8,826720565862212;0,9147894182496912;0,9094406565499285;0,9147894182496912;0,8916695963102551;0,6821124370709499;0,0067205712485561;0,4714173293085425;0,7101635977594002;0,477865474989304;0,5094435765912286;1,0;0,0415300546448087;0,0066398468929422;0,553640093937908;0,971332488009262;1,0;0,826522212591069;0,7034980842866797;0,826522212591069;0,7531668556032527;0,0010524518665746;0,0059902819012343;0,9935869577984238;0,5000076304814778;0,1428672511233261;0,1309033292806037;1,0;0,996174863387978;0,9933601531070576;0,993419185011226;0,9938805887865924;0,993006993006993
CICIDS;FGSM;distributive;1;15;2,543472700053826;1,474886099807918;37,131732357964175;0,9341090268590164;0,9318940154214846;0,9341090268590164;0,9246947565340292;0,7621488173056684;0,006863765238227;0,3563114436392253;0,754530850756859;0,5501784988764588;0,6020306422895343;1,0;0,0306010928961748;0,0072647736593367;0,5148778032981496;0,5140856717569877;1,0;0,5627917032793747;0,6546798832997938;0,5627917032793747;0,6026485652990525;-0,1051878284213714;0,3237616106459958;0,9383713691727644;0,5051785799272482;0,1379968207700276;0,1052846732526024;0,3881748071979434;0,9562841530054644;0,9771901730265984;0,8908100854215593;0,9974640277854347;0,8414918414918415
CICIDS;RANDOM_LINF;distributive;1;15;2,543472700053826;1,296071799704805;37,29299356740341;0,9341090268590164;0,9318940154214846;0,9341090268590164;0,9246947565340292;0,7621488173056684;0,006863765238227;0,3563114436392253;0,754530850756859;0,5501784988764588;0,6020306422895343;1,0;0,0306010928961748;0,0072647736593367;0,5148778032981496;0,5140856717569877;1,0;0,5611790911849823;0,7016830562124331;0,5611790911849823;0,6208572295397474;-0,0082172619966597;0,3308520997012019;0,7079246878633764;0,5016088993051285;0,1427969086968683;0,1209306790741211;0,6580976863753213;0,653551912568306;0,698629066906222;0,7419030168520478;0,6559898561111417;0,6666666666666666
CICIDS;RANDOM_L2;distributive;1;15;2,543472700053826;1,271043200045824;37,77042989104454;0,9341090268590164;0,9318940154214846;0,9341090268590164;0,9246947565340292;0,7621488173056684;0,006863765238227;0,3563114436392253;0,754530850756859;0,5501784988764588;0,6020306422895343;1,0;0,0306010928961748;0,0072647736593367;0,5148778032981496;0,5140856717569877;1,0;0,556404727948571;0,7017760136828896;0,556404727948571;0,618242516898589;-0,0028981321482952;0,334754135919735;0,6804989487778809;0,5023138087170312;0,1427812204505155;0,1167245791302102;0,6426735218508998;0,6781420765027323;0,6710541733390618;0,7001212934527342;0,6535641435580792;0,655011655011655
CICIDS;FGSM;distributive;1;20;2,528296099975705;1,5896091000176966;56,81908793198863;0,953281854047696;0,9546762844662846;0,953281854047696;0,951967955980319;0,8426184206907031;0,0243429782440598;0,1565322590117337;0,8361973492861905;0,6483247398096018;0,7125711230458087;0,6889460154241646;0,0278688524590163;0,0043354294418622;0,3106918888229373;0,023650697392359;1,0;0,3850909747278097;0,6757355486090277;0,3850909747278097;0,4842379638817979;-0,0638641629754212;0,5402566036294904;0,6525446622581895;0,5082612678331603;0,1404748628797812;0,0913337304524829;0,2185089974293059;0,0114754098360655;0,9300472600867086;0,4465405558853131;0,7897899553448371;0,0233100233100233
