Dataset;Mode;Binarization;Attack;surrogate_success_rate;l2_mean;l2_median;l2_max;l2_min;batch_size;binary_search_steps;max_iterations;confidence;learning_rate;initial_const;abort_early
Bot-IoT;binary;N/A;C&W;0,0;1,7544336969876897e-06;0,0;0,1930761784315109;0,0;128;5;500;0,0;0,005;0,01;True
Bot-IoT;multiclass;N/A;C&W;0,0;1,7544336969876897e-06;0,0;0,1930761784315109;0,0;128;5;500;0,0;0,005;0,01;True
